MAG_status	sequencing	file
HQ	Short-read	LIB-MJ259-G6_04.44
HQ	Short-read	LIB-MJ259-G6_04.44
HQ	Short-read	LIB-MJ251-H4_04.6
HQ	Short-read	LIB-MJ254-G11_02.4
HQ	Short-read	LIB-MJ227-E5_02.13
HQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.50
HQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.50
HQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.50
HQ	Short-read	LIB-MJ227-E5_02.21
HQ	Short-read	LIB-MJ301-F5_01.30
HQ	Short-read	LIB-MJ106-H9_01.20
HQ	Short-read	LIB-MJ259-G6_04.3
HQ	Short-read	LIB-MJ259-G6_04.18
HQ	Short-read	LIB-MJ148-G5_02.23
HQ	Short-read	LIB-MJ190-D11_02.7
HQ	Short-read	LIB-MJ190-D11_02.7
HQ	Short-read	LIB-MJ190-D11_02.7
HQ	Short-read	LIB-MJ190-D11_02.7
HQ	Short-read	LIB-MJ190-D11_02.7
HQ	Short-read	LIB-MJ106-H9_01.5
HQ	Short-read	LIB-MJ106-H9_01.23
HQ	Short-read	LIB-MJ146-C6_01.1
HQ	Short-read	LIB-MJ146-C6_01.1
HQ	Short-read	LIB-MJ110-D2_04_v_LIB-MJ415-F1_04.4
HQ	Short-read	LIB-MJ306-H8_01.26
HQ	Short-read	LIB-MJ227-E5_02.29
HQ	Short-read	LIB-MJ227-E5_02.29
HQ	Short-read	LIB-MJ227-E5_02.29
HQ	Short-read	LIB-MJ227-E5_02.29
HQ	Short-read	LIB-MJ227-E5_02.29
HQ	Short-read	LIB-MJ301-F5_01.12
HQ	Short-read	LIB-MJ227-E5_02.6
HQ	Short-read	LIB-MJ256-H7_03.22
HQ	Short-read	LIB-MJ301-F5_01.5
HQ	Short-read	LIB-MJ148-G5_02.15
HQ	Short-read	LIB-MJ106-H9_01.34
HQ	Short-read	LIB-MJ198-E1_03.18
MQ	Short-read	LIB-MJ175-B12_02.8
HQ	Short-read	LIB-MJ352-B11_03.25
HQ	Short-read	LIB-MJ352-B11_03.25
HQ	Short-read	LIB-MJ352-B11_03.25
HQ	Short-read	LIB-MJ167-G7_02.15
HQ	Short-read	LIB-MJ167-G7_02.15
HQ	Short-read	LIB-MJ167-G7_02.15
HQ	Short-read	LIB-MJ167-G7_02.15
HQ	Short-read	LIB-MJ167-G7_02.15
HQ	Short-read	LIB-MJ167-G7_02.15
MQ	Short-read	LIB-MJ173-A9_01.1
HQ	Short-read	LIB-MJ259-G6_04.21
MQ	Short-read	LIB-MJ251-H4_04.37
MQ	Short-read	LIB-MJ259-B6_04.24
MQ	Short-read	LIB-MJ259-B6_04.24
MQ	Short-read	LIB-MJ259-B6_04.24
HQ	Short-read	LIB-MJ167-G7_02.6
HQ	Short-read	LIB-MJ167-G7_02.6
HQ	Short-read	LIB-MJ167-G7_02.6
HQ	Short-read	LIB-MJ167-G7_02.6
HQ	Short-read	LIB-MJ231-B7_04.36
HQ	Short-read	LIB-MJ231-B7_04.36
HQ	Short-read	LIB-MJ231-B7_04.36
HQ	Short-read	LIB-MJ231-B7_04.36
HQ	Short-read	LIB-MJ231-B7_04.36
HQ	Short-read	LIB-MJ231-B7_04.36
HQ	Short-read	LIB-MJ106-H9_01.18
HQ	Short-read	LIB-MJ105-H8_01.39
HQ	Short-read	LIB-MJ105-H8_01.39
HQ	Short-read	LIB-MJ105-H8_01.39
HQ	Short-read	LIB-MJ175-G4_02.15
HQ	Short-read	LIB-MJ259-B6_04.55
HQ	Short-read	LIB-MJ259-B6_04.55
HQ	Short-read	LIB-MJ259-B6_04.55
HQ	Short-read	LIB-MJ280-F11_02.3
HQ	Short-read	LIB-MJ280-F11_02.3
MQ	Short-read	LIB-MJ135-D8_04.6
HQ	Short-read	LIB-MJ259-G6_04.36
HQ	Short-read	LIB-MJ259-G6_04.36
HQ	Short-read	LIB-MJ259-G6_04.36
HQ	Short-read	LIB-MJ259-G6_04.36
HQ	Short-read	LIB-MJ259-G6_04.36
MQ	Short-read	LIB-MJ130-F1_01.16
HQ	Short-read	LIB-MJ106-H9_01.15
HQ	Short-read	LIB-MJ106-H9_01.15
HQ	Short-read	LIB-MJ301-F5_01.28
HQ	Short-read	LIB-MJ259-G6_04.13
HQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.39
HQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.39
HQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.39
HQ	Short-read	LIB-MJ106-H9_01.9
HQ	Short-read	LIB-MJ259-B6_04.29
HQ	Short-read	LIB-MJ259-B6_04.29
HQ	Short-read	LIB-MJ259-B6_04.29
HQ	Short-read	LIB-MJ259-B6_04.29
HQ	Short-read	LIB-MJ259-B6_04.29
HQ	Short-read	LIB-MJ227-E5_02.17
HQ	Short-read	LIB-MJ227-E5_02.17
HQ	Short-read	LIB-MJ227-E5_02.17
HQ	Short-read	LIB-MJ227-E5_02.17
MQ	Short-read	LIB-MJ190-H7_02.13
MQ	Short-read	LIB-MJ190-H7_02.13
MQ	Short-read	LIB-MJ190-H7_02.13
MQ	Short-read	LIB-MJ190-H7_02.13
MQ	Short-read	LIB-MJ190-H7_02.13
MQ	Short-read	LIB-MJ175-B12_02.10
HQ	Short-read	LIB-MJ301-F5_01.35
HQ	Short-read	LIB-MJ256-H7_03.46
MQ	Short-read	LIB-MJ105-E3_01.4
MQ	Short-read	LIB-MJ175-G4_02.29
MQ	Short-read	LIB-MJ146-C6_01.19
HQ	Short-read	LIB-MJ190-D2_02.9
HQ	Short-read	LIB-MJ190-D2_02.9
HQ	Short-read	LIB-MJ190-D2_02.9
HQ	Short-read	LIB-MJ190-D2_02.9
HQ	Short-read	LIB-MJ133-H11_03.15
MQ	Short-read	LIB-MJ254-E3_02.1
MQ	Short-read	LIB-MJ254-E3_02.1
