Genus	V1-V3 core	V4 core	Best	HQ-MAG
Acidovorax	Strict core	CRAT	Strict core	Yes
Bdellovibrio	General core	Strict core	Strict core	Yes
Azonexus	Strict core	Strict core	Strict core	Yes
Ferruginibacter	Strict core	Strict core	Strict core	Yes
Flavobacterium	Strict core	Strict core	Strict core	Yes
Haliangium	Strict core	Strict core	Strict core	Yes
Hyphomicrobium	Strict core	General core	Strict core	No
Lautropia	Strict core	Strict core	Strict core	Yes
midas_g_81	Strict core	General core	Strict core	Yes
Novosphingobium	Strict core	Strict core	Strict core	Yes
Pirellula	General core	Strict core	Strict core	No
Rhodobacter	Strict core	General core	Strict core	Yes
Sulfuritalea	Strict core	General core	Strict core	Yes
Terrimonas	Strict core	Strict core	Strict core	Yes
Zoogloea	Strict core	General core	Strict core	Yes
Acinetobacter	CRAT	General core	General core	No
Aeromonas	CRAT	General core	General core	Yes
Agitococcus_lubricus_group	Loose core	General core	General core	Yes
Ahniella	General core	General core	General core	Yes
Aquabacterium	General core	General core	General core	No
Arcobacter	General core	General core	General core	Yes
Bacteroides	Loose core	General core	General core	No
BD1-7_clade	Loose core	General core	General core	Yes
Ca_Accumulibacter	General core	General core	General core	Yes
Ca_Competibacter	General core	Loose core	General core	Yes
Ca_Epiflobacter	General core	General core	General core	Yes
Ca_Villigracilis	General core	CRAT	General core	Yes
CL500-29_marine_group	General core	Loose core	General core	Yes
Clostridium_sensu_stricto_1	General core	General core	General core	No
Comamonas	General core	Loose core	General core	Yes
Defluviimonas	General core	CRAT	General core	No
Devosia	General core	General core	General core	Yes
Dokdonella	General core	Loose core	General core	Yes
Ellin6067	General core	General core	General core	Yes
Haliscomenobacter	General core	General core	General core	Yes
Iamia	General core	General core	General core	Yes
IMCC26207	General core	General core	General core	No
JGI_0001001-H03	General core	General core	General core	Yes
Lacunisphaera	General core	General core	General core	Yes
Leptothrix	General core	Loose core	General core	Yes
midas_g_120	General core	Loose core	General core	Yes
midas_g_1221	Loose core	General core	General core	No
midas_g_1291	Loose core	General core	General core	No
Ca_Opimibacter	Loose core	General core	General core	Yes
midas_g_225	General core	Loose core	General core	Yes
midas_g_300	Loose core	General core	General core	Yes
midas_g_33	General core	CRAT	General core	Yes
midas_g_3838	General core	General core	General core	Yes
midas_g_4089	Loose core	General core	General core	No
midas_g_433	General core	General core	General core	No
midas_g_5504	Loose core	General core	General core	No
midas_g_558	General core	General core	General core	Yes
midas_g_59	General core	General core	General core	Yes
midas_g_679	General core	General core	General core	Yes
midas_g_729	General core	Loose core	General core	Yes
Ca_Amarobacter	General core	General core	General core	Yes
midas_g_990	Loose core	General core	General core	Yes
Mycobacterium	General core	General core	General core	No
Nannocystis	General core	General core	General core	Yes
Nitrosomonas	General core	General core	General core	Yes
Nitrospira	General core	General core	General core	Yes
Oikopleura	Loose core	General core	General core	No
OLB12	General core	General core	General core	Yes
OLB8	General core	General core	General core	Yes
OM27_clade	Loose core	General core	General core	Yes
Ottowia	General core	CRAT	General core	Yes
P3OB-42	General core	General core	General core	Yes
Pajaroellobacter	General core	General core	General core	Yes
Paracoccus	General core	CRAT	General core	No
Phaselicystis	General core	General core	General core	Yes
Prosthecobacter	CRAT	General core	General core	Yes
Rhodoferax	General core	Loose core	General core	Yes
Romboutsia	General core	Loose core	General core	No
SH-PL14	Loose core	General core	General core	No
Sphingobium	General core	Loose core	General core	No
Tetrasphaera	General core	General core	General core	Yes
Thauera	General core	General core	General core	Yes
Thermomonas	General core	General core	General core	Yes
Trichococcus	General core	General core	General core	No
AAP99	General core	General core	General core	No
Acidibacter	Loose core	Loose core	Loose core	Yes
Arenimonas	Loose core	Loose core	Loose core	No
Azospira	Loose core	CRAT	Loose core	No
Blastocatella	CRAT	Loose core	Loose core	Yes
Blautia	Loose core	Loose core	Loose core	No
Bryobacter	Loose core	Loose core	Loose core	Yes
Ca_Microthrix	Loose core	Loose core	Loose core	Yes
Ca_Obscuribacter	Loose core	Loose core	Loose core	Yes
Ca_Omnitrophus	Loose core	CRAT	Loose core	No
Ca_Promineofilum	Loose core	Loose core	Loose core	Yes
Ca_Sarcinithrix	Loose core	Loose core	Loose core	No
Cellvibrio	CRAT	Loose core	Loose core	Yes
Chitinivorax	Loose core	Loose core	Loose core	No
Christensenellaceae_R-7_group	Loose core	Loose core	Loose core	No
Chryseobacterium	Loose core	Loose core	Loose core	No
Cloacibacterium	Loose core	Loose core	Loose core	No
Conexibacter	Loose core	Loose core	Loose core	No
Crocinitomix	Loose core	Loose core	Loose core	Yes
Defluviicoccus	Loose core	Loose core	Loose core	Yes
Denitratisoma	Loose core	Loose core	Loose core	Yes
DEV114	CRAT	Loose core	Loose core	No
Fimbriiglobus	CRAT	Loose core	Loose core	No
Fluviicoccus	CRAT	Loose core	Loose core	No
Gemmata	CRAT	Loose core	Loose core	No
Geothrix	Loose core	Loose core	Loose core	Yes
Gordonia	Loose core	Loose core	Loose core	No
Halomonas	CRAT	Loose core	Loose core	Yes
Hirschia	Loose core	Loose core	Loose core	Yes
Hydrogenophaga	Loose core	Loose core	Loose core	No
Inhella	Loose core	CRAT	Loose core	No
Kouleothrix	CRAT	Loose core	Loose core	Yes
Lacihabitans	Loose core	Loose core	Loose core	Yes
Lentimicrobium	CRAT	Loose core	Loose core	Yes
Leptospira	Loose core	CRAT	Loose core	Yes
Leptotrichia	Loose core	Loose core	Loose core	No
Limnohabitans	Loose core	CRAT	Loose core	Yes
Luteitalea	CRAT	Loose core	Loose core	No
Mesorhizobium	Loose core	Loose core	Loose core	No
Methyloversatilis	Loose core	CRAT	Loose core	No
Microbacterium	Loose core	CRAT	Loose core	No
Micropruina	Loose core	CRAT	Loose core	Yes
midas_g_100	Loose core	Loose core	Loose core	No
midas_g_1061	Loose core	Loose core	Loose core	Yes
midas_g_1063	Loose core	Loose core	Loose core	Yes
midas_g_108	Loose core	Loose core	Loose core	Yes
midas_g_1096	Loose core	Loose core	Loose core	No
midas_g_111	Loose core	Loose core	Loose core	Yes
midas_g_11201	CRAT	Loose core	Loose core	No
midas_g_1159	Loose core	Loose core	Loose core	No
midas_g_1166	Loose core	Loose core	Loose core	No
midas_g_12057	Loose core	Loose core	Loose core	No
midas_g_1226	Loose core	Loose core	Loose core	Yes
midas_g_1247	Loose core	Loose core	Loose core	Yes
midas_g_1334	Loose core	Loose core	Loose core	No
midas_g_1341	Loose core	Loose core	Loose core	Yes
midas_g_1400	CRAT	Loose core	Loose core	No
midas_g_1409	Loose core	CRAT	Loose core	Yes
Ca_Amarobacillus	Loose core	Loose core	Loose core	Yes
midas_g_142	Loose core	Loose core	Loose core	Yes
midas_g_1498	CRAT	Loose core	Loose core	No
midas_g_153	Loose core	CRAT	Loose core	Yes
midas_g_1586	Loose core	CRAT	Loose core	No
midas_g_1668	Loose core	Loose core	Loose core	No
midas_g_171	Loose core	CRAT	Loose core	No
midas_g_179	Loose core	Loose core	Loose core	Yes
midas_g_1851	Loose core	Loose core	Loose core	Yes
midas_g_1853	Loose core	Loose core	Loose core	Yes
Ca_Methylophosphatis	Loose core	Loose core	Loose core	Yes
midas_g_20	Loose core	Loose core	Loose core	Yes
midas_g_2126	Loose core	Loose core	Loose core	Yes
midas_g_2143	Loose core	Loose core	Loose core	Yes
midas_g_2243	CRAT	Loose core	Loose core	No
midas_g_2505	Loose core	Loose core	Loose core	Yes
midas_g_2555	Loose core	Loose core	Loose core	Yes
midas_g_2686	CRAT	Loose core	Loose core	Yes
midas_g_273	Loose core	Loose core	Loose core	Yes
midas_g_283	Loose core	Loose core	Loose core	Yes
midas_g_2835	Loose core	Loose core	Loose core	Yes
midas_g_2842	CRAT	Loose core	Loose core	No
midas_g_31	Loose core	Loose core	Loose core	Yes
midas_g_3108	CRAT	Loose core	Loose core	No
midas_g_3186	Loose core	CRAT	Loose core	Yes
midas_g_343	CRAT	Loose core	Loose core	Yes
midas_g_3432	CRAT	Loose core	Loose core	No
midas_g_3487	Loose core	Loose core	Loose core	Yes
midas_g_3704	CRAT	Loose core	Loose core	Yes
midas_g_380	CRAT	Loose core	Loose core	Yes
midas_g_3846	CRAT	Loose core	Loose core	Yes
midas_g_385	Loose core	Loose core	Loose core	Yes
midas_g_399	Loose core	Loose core	Loose core	Yes
midas_g_41102	Loose core	Loose core	Loose core	Yes
midas_g_422	CRAT	Loose core	Loose core	Yes
midas_g_424	Loose core	Loose core	Loose core	No
midas_g_4375	Loose core	CRAT	Loose core	No
midas_g_4851	Loose core	Loose core	Loose core	Yes
Ca_Flexifilum	Loose core	Loose core	Loose core	Yes
midas_g_4975	CRAT	Loose core	Loose core	No
midas_g_502	CRAT	Loose core	Loose core	Yes
midas_g_52	Loose core	Loose core	Loose core	Yes
midas_g_523	Loose core	Loose core	Loose core	No
midas_g_534	Loose core	CRAT	Loose core	Yes
midas_g_536	CRAT	Loose core	Loose core	Yes
midas_g_543	Loose core	CRAT	Loose core	Yes
midas_g_5463	Loose core	Loose core	Loose core	No
midas_g_547	Loose core	Loose core	Loose core	No
Ca_Pachofilum	Loose core	Loose core	Loose core	No
midas_g_5535	Loose core	Loose core	Loose core	Yes
midas_g_56	Loose core	Loose core	Loose core	Yes
midas_g_57	Loose core	Loose core	Loose core	No
midas_g_595	CRAT	Loose core	Loose core	Yes
midas_g_6	Loose core	Loose core	Loose core	Yes
Ca_Vicinibacter	Loose core	Loose core	Loose core	Yes
midas_g_6692	CRAT	Loose core	Loose core	No
midas_g_67	Loose core	CRAT	Loose core	Yes
midas_g_694	Loose core	CRAT	Loose core	No
midas_g_70	Loose core	Loose core	Loose core	Yes
Ca_Brachythrix	Loose core	Loose core	Loose core	Yes
midas_g_75	Loose core	Loose core	Loose core	Yes
midas_g_764	Loose core	Loose core	Loose core	Yes
midas_g_843	Loose core	Loose core	Loose core	Yes
midas_g_913	Loose core	CRAT	Loose core	Yes
midas_g_94	Loose core	Loose core	Loose core	Yes
midas_g_940	CRAT	Loose core	Loose core	No
midas_g_945	CRAT	Loose core	Loose core	Yes
midas_g_957	Loose core	CRAT	Loose core	Yes
midas_g_98	Loose core	Loose core	Loose core	Yes
midas_g_9818	Loose core	CRAT	Loose core	Yes
midas_g_99	Loose core	CRAT	Loose core	No
midas_g_9954	CRAT	Loose core	Loose core	No
Nitrotoga	Loose core	Loose core	Loose core	Yes
Nocardioides	Loose core	Loose core	Loose core	No
oc32	Loose core	Loose core	Loose core	Yes
OM60NOR5_clade	CRAT	Loose core	Loose core	Yes
Paludibacter	Loose core	Loose core	Loose core	No
Pedobacter	Loose core	Loose core	Loose core	No
Pedomicrobium	Loose core	CRAT	Loose core	No
Phaeodactylibacter	Loose core	Loose core	Loose core	Yes
Phenylobacterium	Loose core	Loose core	Loose core	No
Pir4_lineage	CRAT	Loose core	Loose core	No
Piscinibacter	Loose core	CRAT	Loose core	Yes
Prevotella	Loose core	Loose core	Loose core	No
Propioniciclava	Loose core	CRAT	Loose core	Yes
Propionivibrio	Loose core	Loose core	Loose core	Yes
Pseudarcobacter	Loose core	Loose core	Loose core	No
Pseudomonas	CRAT	Loose core	Loose core	Yes
Pseudorhodobacter	Loose core	CRAT	Loose core	No
Ramlibacter	Loose core	CRAT	Loose core	No
Reyranella	Loose core	Loose core	Loose core	No
Rhizobacter	Loose core	Loose core	Loose core	Yes
Rhodoplanes	Loose core	Loose core	Loose core	No
Rubrivivax	Loose core	CRAT	Loose core	No
Ruminococcus	Loose core	Loose core	Loose core	No
Runella	Loose core	Loose core	Loose core	No
Sandaracinus	Loose core	Loose core	Loose core	No
Sediminibacterium	Loose core	Loose core	Loose core	No
SH3-11	CRAT	Loose core	Loose core	No
Simplicispira	Loose core	CRAT	Loose core	No
SM1A02	Loose core	Loose core	Loose core	Yes
Sphaerotilus	Loose core	CRAT	Loose core	Yes
Sphingopyxis	Loose core	CRAT	Loose core	Yes
Stella	Loose core	Loose core	Loose core	Yes
Stenotrophobacter	Loose core	Loose core	Loose core	Yes
Streptococcus	Loose core	Loose core	Loose core	Yes
Subdoligranulum	Loose core	Loose core	Loose core	No
Subgroup_10	Loose core	Loose core	Loose core	Yes
SWB02	Loose core	Loose core	Loose core	Yes
Tabrizicola	Loose core	CRAT	Loose core	No
Thiothrix	Loose core	Loose core	Loose core	Yes
