genome_id,gtdb_classification,Database
001-SG-02.bin.1.102,d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Simkaniaceae;g__JAAKFF01;s__JAAKFF01 sp029556005,MiDAS Global
001-SG-02.bin.1.108,d__Bacteria;p__Bdellovibrionota;c__UBA2394;o__UBA2394;f__UBA2394;g__;s__,MiDAS Global
001-SG-02.bin.1.111,d__Bacteria;p__Omnitrophota;c__Koll11;o__Zapsychrales;f__Fredricksoniimonadaceae;g__JAGNTT01;s__,MiDAS Global
001-SG-02.bin.1.114,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__JAOBWM01;s__,MiDAS Global
001-SG-02.bin.1.119,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__CAMCXE01;s__,MiDAS Global
001-SG-02.bin.1.12,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__UBA2475;s__,MiDAS Global
001-SG-02.bin.1.126,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__ELB16-189 sp019694905,MiDAS Global
001-SG-02.bin.1.129,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__,MiDAS Global
001-SG-02.bin.1.13,d__Bacteria;p__Bdellovibrionota_G;c__JALEGL01;o__;f__;g__;s__,MiDAS Global
001-SG-02.bin.1.135,d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptospiraceae;g__UBA2033;s__,MiDAS Global
001-SG-02.bin.1.139,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__SXRF01;g__JAJTHB01;s__,MiDAS Global
001-SG-02.bin.1.147,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__CAILAD01;f__JACPPH01;g__;s__,MiDAS Global
001-SG-02.bin.1.15,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__,MiDAS Global
001-SG-02.bin.1.150,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Fen-336;f__JAGNNV01;g__;s__,MiDAS Global
001-SG-02.bin.1.165,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter;s__,MiDAS Global
001-SG-02.bin.1.17,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__SCUB01;s__,MiDAS Global
001-SG-02.bin.1.182,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Fen-336;f__Fen-336;g__;s__,MiDAS Global
001-SG-02.bin.1.187,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__,MiDAS Global
