Strain	Wavelength	Initial OD~600~	OD
Wild-type	620	0.00029297	0.0118333333333333
Wild-type	620	0.00029297	0.0158333333333333
Wild-type	620	0.00029297	0.00783333333333332
Wild-type	620	0.00029297	0.0128333333333333
Wild-type	620	0.00029297	0.0148333333333333
Wild-type	620	0.00029297	0.00883333333333333
Wild-type	620	0.00058594	0.0138333333333333
Wild-type	620	0.00058594	0.00983333333333333
Wild-type	620	0.00058594	0.0128333333333333
Wild-type	620	0.00058594	0.0158333333333333
Wild-type	620	0.00058594	0.0168333333333333
Wild-type	620	0.00058594	0.00983333333333333
Wild-type	620	0.00117188	0.0308333333333333
Wild-type	620	0.00117188	0.0228333333333333
Wild-type	620	0.00117188	0.0128333333333333
Wild-type	620	0.00117188	0.0178333333333333
Wild-type	620	0.00117188	0.0248333333333333
Wild-type	620	0.00117188	0.0168333333333333
Wild-type	620	0.00234375	0.0468333333333333
Wild-type	620	0.00234375	0.0388333333333333
Wild-type	620	0.00234375	0.0378333333333333
Wild-type	620	0.00234375	0.0378333333333333
Wild-type	620	0.00234375	0.0298333333333333
Wild-type	620	0.00234375	0.0218333333333333
Wild-type	620	0.0046875	0.0638333333333333
Wild-type	620	0.0046875	0.0638333333333333
Wild-type	620	0.0046875	0.0488333333333333
Wild-type	620	0.0046875	0.0518333333333333
Wild-type	620	0.0046875	0.0428333333333333
Wild-type	620	0.0046875	0.0398333333333333
Wild-type	620	0.009375	0.0868333333333333
Wild-type	620	0.009375	0.0948333333333333
Wild-type	620	0.009375	0.0828333333333333
Wild-type	620	0.009375	0.0948333333333333
Wild-type	620	0.009375	0.0758333333333333
Wild-type	620	0.009375	0.0638333333333333
Wild-type	620	0.01875	0.105833333333333
Wild-type	620	0.01875	0.116833333333333
Wild-type	620	0.01875	0.126833333333333
Wild-type	620	0.01875	0.116833333333333
Wild-type	620	0.01875	0.112833333333333
Wild-type	620	0.01875	0.0918333333333333
Wild-type	620	0.0375	0.166833333333333
Wild-type	620	0.0375	0.187833333333333
Wild-type	620	0.0375	0.206833333333333
Wild-type	620	0.0375	0.190833333333333
Wild-type	620	0.0375	0.205833333333333
Wild-type	620	0.0375	0.167833333333333
Wild-type	620	0.075	0.187833333333333
Wild-type	620	0.075	0.219833333333333
Wild-type	620	0.075	0.230833333333333
Wild-type	620	0.075	0.318833333333333
Wild-type	620	0.075	0.270833333333333
Wild-type	620	0.075	0.232833333333333
Wild-type	620	0.15	0.276833333333333
Wild-type	620	0.15	0.283833333333333
Wild-type	620	0.15	0.312833333333333
Wild-type	620	0.15	0.302833333333333
Wild-type	620	0.15	0.318833333333333
Wild-type	620	0.15	0.276833333333333
Wild-type	600	0.00029297	0.183333333333333
Wild-type	600	0.00029297	0.181333333333333
Wild-type	600	0.00029297	0.247333333333333
Wild-type	600	0.00029297	0.202333333333333
Wild-type	600	0.00029297	0.186333333333333
Wild-type	600	0.00029297	0.140333333333333
Wild-type	600	0.00058594	0.362333333333333
Wild-type	600	0.00058594	0.287333333333333
Wild-type	600	0.00058594	0.321333333333333
Wild-type	600	0.00058594	0.267333333333333
Wild-type	600	0.00058594	0.236333333333333
Wild-type	600	0.00058594	0.176333333333333
Wild-type	600	0.00117188	0.527333333333333
Wild-type	600	0.00117188	0.422333333333333
Wild-type	600	0.00117188	0.278333333333333
Wild-type	600	0.00117188	0.339333333333333
Wild-type	600	0.00117188	0.344333333333333
Wild-type	600	0.00117188	0.242333333333333
Wild-type	600	0.00234375	0.626333333333333
Wild-type	600	0.00234375	0.669333333333333
Wild-type	600	0.00234375	0.582333333333333
Wild-type	600	0.00234375	0.619333333333333
Wild-type	600	0.00234375	0.570333333333333
Wild-type	600	0.00234375	0.352333333333333
Wild-type	600	0.0046875	0.894333333333333
Wild-type	600	0.0046875	0.815333333333333
Wild-type	600	0.0046875	0.883333333333333
Wild-type	600	0.0046875	0.925333333333333
Wild-type	600	0.0046875	0.867333333333333
Wild-type	600	0.0046875	0.749333333333333
Wild-type	600	0.009375	1.13133333333333
Wild-type	600	0.009375	1.03633333333333
Wild-type	600	0.009375	0.995333333333333
Wild-type	600	0.009375	1.07033333333333
Wild-type	600	0.009375	1.05733333333333
Wild-type	600	0.009375	1.10433333333333
Wild-type	600	0.01875	1.46933333333333
Wild-type	600	0.01875	1.34833333333333
Wild-type	600	0.01875	1.30733333333333
Wild-type	600	0.01875	1.34133333333333
Wild-type	600	0.01875	1.47533333333333
Wild-type	600	0.01875	1.41633333333333
Wild-type	600	0.0375	2.10433333333333
Wild-type	600	0.0375	2.03933333333333
Wild-type	600	0.0375	1.97133333333333
Wild-type	600	0.0375	1.78233333333333
Wild-type	600	0.0375	1.74633333333333
Wild-type	600	0.0375	2.04333333333333
Wild-type	600	0.075	2.82633333333333
Wild-type	600	0.075	2.41833333333333
Wild-type	600	0.075	2.45633333333333
Wild-type	600	0.075	2.42533333333333
Wild-type	600	0.075	2.56433333333333
Wild-type	600	0.075	2.81833333333333
Wild-type	600	0.15	3.96833333333333
Wild-type	600	0.15	3.69633333333333
Wild-type	600	0.15	3.79933333333333
Wild-type	600	0.15	3.74833333333333
Wild-type	600	0.15	4.23533333333333
Wild-type	600	0.15	4.25533333333333
Δ2730-2732	620	0.00029297	0.003
Δ2730-2732	620	0.00029297	0.01
Δ2730-2732	620	0.00029297	0.017
Δ2730-2732	620	0.00029297	0.005
Δ2730-2732	620	0.00029297	0.00700000000000001
Δ2730-2732	620	0.00029297	0.004
Δ2730-2732	620	0.00058594	0.005
Δ2730-2732	620	0.00058594	0.00800000000000001
Δ2730-2732	620	0.00058594	0.004
Δ2730-2732	620	0.00058594	0.00900000000000001
Δ2730-2732	620	0.00058594	0.00600000000000001
Δ2730-2732	620	0.00058594	0.002
Δ2730-2732	620	0.00117188	0.00600000000000001
Δ2730-2732	620	0.00117188	0.024
Δ2730-2732	620	0.00117188	0.01
Δ2730-2732	620	0.00117188	0.012
Δ2730-2732	620	0.00117188	0.036
Δ2730-2732	620	0.00117188	0.01
Δ2730-2732	620	0.00234375	0.005
Δ2730-2732	620	0.00234375	0.018
Δ2730-2732	620	0.00234375	0.018
Δ2730-2732	620	0.00234375	0.014
Δ2730-2732	620	0.00234375	0.03
Δ2730-2732	620	0.00234375	0.015
Δ2730-2732	620	0.0046875	0.00800000000000001
Δ2730-2732	620	0.0046875	0.023
Δ2730-2732	620	0.0046875	0.00700000000000001
Δ2730-2732	620	0.0046875	0.021
Δ2730-2732	620	0.0046875	0.011
Δ2730-2732	620	0.0046875	0.024
Δ2730-2732	620	0.009375	0.00900000000000001
Δ2730-2732	620	0.009375	0.024
Δ2730-2732	620	0.009375	0.025
Δ2730-2732	620	0.009375	0.028
Δ2730-2732	620	0.009375	0.022
Δ2730-2732	620	0.009375	0.00900000000000001
Δ2730-2732	620	0.01875	0.014
Δ2730-2732	620	0.01875	0.03
Δ2730-2732	620	0.01875	0.031
Δ2730-2732	620	0.01875	0.031
Δ2730-2732	620	0.01875	0.03
Δ2730-2732	620	0.01875	0.02
Δ2730-2732	620	0.0375	0.019
Δ2730-2732	620	0.0375	0.032
Δ2730-2732	620	0.0375	0.034
Δ2730-2732	620	0.0375	0.031
