Query	gene_function
eg_acetan	degradation
gumE_acetan	polymerisation
gumF_acetan	modification
gumK_acetan	glycosyltransferase
aceR_acetan	glycosyltransferase
aceQ_acetan	glycosyltransferase
aceP_acetan	glycosyltransferase
aceM_acetan	precursor
aceF_acetan	precursor
aceA_acetan	glycosyltransferase
aceB_acetan	glycosyltransferase
aceD_acetan	transport
aceC_acetan	glycosyltransferase
aceE_acetan	transport
aceG_acetan	transport
aceH_acetan	transport
aceI_acetan	modification
epsA_lactobacillus	regulatory
epsB_lactobacillus	transport
epsC_lactobacillus	transport
epsD_lactobacillus	regulatory
epsE_lactobacillus	glycosyltransferase
1026_lactobacillus	glycosyltransferase
1027_lactobacillus	glycosyltransferase
1028_lactobacillus	glycosyltransferase
1029_lactobacillus	glycosyltransferase
1030_lactobacillus	glycosyltransferase
1031_lactobacillus	polymerisation
1032_lactobacillus	modification
1033_lactobacillus	glycosyltransferase
1034_lactobacillus	transport
epsA_pnag	regulatory
epsB_pnag	regulatory
epsC_pnag	glycosyltransferase
epsD_pnag	glycosyltransferase
epsE_pnag	glycosyltransferase
epsF_pnag	glycosyltransferase
epsG_pnag	biosynthetic-additional
epsH_pnag	glycosyltransferase
epsI_pnag	modification
epsJ_pnag	glycosyltransferase
epsK_pnag	transport
epsL_pnag	precursor
epsM_pnag	precursor
epsN_pnag	precursor
epsO_pnag	glycosyltransferase
pslA_psl	glycosyltransferase
pslB_psl	precursor
pslC_psl	glycosyltransferase
pslD_psl	transport
pslE_psl	transport
pslF_psl	glycosyltransferase
pslG_psl	degradation
pslH_psl	glycosyltransferase
pslI_psl	glycosyltransferase
pslJ_psl	polymerisation
pslK_psl	transport
pslL_psl	modification
exsA_succinoglycan	transport
exsB_succinoglycan	regulatory
exsC_succinoglycan	biosynthetic-additional
exsD_succinoglycan	biosynthetic-additional
exsE_succinoglycan	transport
exsF_succinoglycan	regulatory
exsG_succinoglycan	regulatory
exsH_succinoglycan	degradation
exsI_succinoglycan	regulatory
exoA_succinoglycan	glycosyltransferase
exoB_succinoglycan	precursor
exoF_succinoglycan	precursor
exoH_succinoglycan	modification
exoI_succinoglycan	degradation
exoK_succinoglycan	degradation
exoL_succinoglycan	glycosyltransferase
exoM_succinoglycan	glycosyltransferase
exoN_succinoglycan	precursor
exoO_succinoglycan	glycosyltransferase
exoP_succinoglycan	transport
exoQ_succinoglycan	polymerisation
exoT_succinoglycan	transport
exoU_succinoglycan	glycosyltransferase
exoV_succinoglycan	modification
exoW_succinoglycan	glycosyltransferase
exoX_succinoglycan	regulatory
exoY_succinoglycan	precursor
exoZ_succinoglycan	modification
wgeH_galactoglucan	biosynthetic-additional
wgeG_galactoglucan	glycosyltransferase
wgeF_galactoglucan	biosynthetic-additional
wgeE_galactoglucan	biosynthetic-additional
wgeD_galactoglucan	glycosyltransferase
wgeC_galactoglucan	modification
wgeB_galactoglucan	glycosyltransferase
wgeA_galactoglucan	modification
wgdB_galactoglucan	polymerisation
wgdA_galactoglucan	transport
wggR_galactoglucan	regulatory
wgcA_galactoglucan	glycosyltransferase
wgaA_galactoglucan	biosynthetic-additional
wgaB_galactoglucan	glycosyltransferase
wgaC_galactoglucan	glycosyltransferase
wgaD_galactoglucan	biosynthetic-additional
wgaE_galactoglucan	biosynthetic-additional
wgaF_galactoglucan	biosynthetic-additional
wgaG_galactoglucan	precursor
wgaH_galactoglucan	precursor
wgaI_galactoglucan	precursor
wgaJ_galactoglucan	precursor
gumB_xanthan	transport
gumC_xanthan	transport
gumD_xanthan	glycosyltransferase
gumE_xanthan	polymerisation
gumF_xanthan	modification
gumG_xanthan	modification
gumH_xanthan	glycosyltransferase
gumI_xanthan	glycosyltransferase
gumJ_xanthan	transport
gumK_xanthan	glycosyltransferase
gumL_xanthan	modification
gumM_xanthan	glycosyltransferase
wza_colanic	transport
wzb_colanic	transport
wzc_colanic	polymerisation
wcaA_colanic	glycosyltransferase
wcaB_colanic	modification
wcaC_colanic	glycosyltransferase
wcaD_colanic	polymerisation
wcaE_colanic	glycosyltransferase
wcaF_colanic	modification
gmd_colanic	precursor
wcaG_colanic	precursor
wcaH_colanic	biosynthetic-additional
wcaI_colanic	glycosyltransferase
manC_colanic	precursor
manB_colanic	precursor
wcaJ_colanic	glycosyltransferase
wzx_colanic	transport
wcaK_colanic	biosynthetic-additional
wcaL_colanic	glycosyltransferase
amsG_amylovoran	glycosyltransferase
amsH_amylovoran	transport
amsI_amylovoran	regulatory
amsA_amylovoran	transport
amsB_amylovoran	glycosyltransferase
amsC_amylovoran	polymerisation
amsD_amylovoran	glycosyltransferase
amsE_amylovoran	glycosyltransferase
amsF_amylovoran	degradation
amsJ_amylovoran	modification
amsK_amylovoran	glycosyltransferase
amsL_amylovoran	transport
galF_amylovoran	precursor
galE_amylovoran	precursor
spnS_sphingans	transport
spnG_sphingans	polymerisation
spnR_sphingans	transport
spnQ_sphingans	glycosyltransferase
spnI_sphingans	biosynthetic-additional
spnK_sphingans	glycosyltransferase
spnL_sphingans	glycosyltransferase
spnJ_sphingans	biosynthetic-additional
spnF_sphingans	biosynthetic-additional
spnD_sphingans	transport
spnC_sphingans	transport
spnE_sphingans	transport
spnM_sphingans	transport
spnN_sphingans	transport
atrD_sphingans	biosynthetic-additional
atrB_sphingans	biosynthetic-additional
spnB_sphingans	glycosyltransferase
rmlA_sphingans	precursor
rmlC_sphingans	precursor
rmlB_sphingans	precursor
rmlD_sphingans	precursor
urf314_sphingans	modification
urf31_sphingans	modification
urf34_sphingans	modification
wzc_emulsan	transport
wzb_emulsan	regulatory
wza_emulsan	transport
weeA_emulsan	precursor
weeB_emulsan	precursor
weeC_emulsan	modification
wzx_emulsan	transport
wzy_emulsan	polymerisation
weeD_emulsan	glycosyltransferase
weeE_emulsan	biosynthetic-additional
weeF_emulsan	biosynthetic-additional
weeG_emulsan	glycosyltransferase
weeH_emulsan	glycosyltransferase
weeI_emulsan	modification
weeJ_emulsan	precursor
weeK_emulsan	precursor
galU_emulsan	biosynthetic-additional
ugd_emulsan	biosynthetic-additional
pgi_emulsan	biosynthetic-additional
galE_emulsan	precursor
asnB_zooglan	regulatory
zooTRP_zooglan	biosynthetic-additional
wzxC_zooglan	transport
zooGT8_zooglan	glycosyltransferase
zooGT7_zooglan	glycosyltransferase
zooGH_zooglan	degradation
zooM1_zooglan	modification
zooGT6_zooglan	glycosyltransferase
zooGT5_zooglan	glycosyltransferase
epsH_zooglan	polymerisation
wzy_zooglan	polymerisation
capK_zooglan	biosynthetic-additional
