Tree node ID	Genus	Genus_new
037-NO2-03.bin.1.193'	OLB10	Jeddahiana
013-IT-11.bin.1.124'	Novosphingobium	Novosphingobium
016-PL-06.bin.1.5'	Mesorhizobium_G	Mesorhizobium_G
004-NL-18.bin.1.309'	Propionivibrio	Propionivibrio
041-UK2-07.bin.1.426'	Azonexus	Azonexus
006-MY-06.bin.c.45'	JADIYM01	Lumpuribacterium
035-MX-06.bin.1.32'	JADJBW01	Potosimorpha
063-AU-32.bin.1.219'	JABWCE01	Pincourtiana
061-AU-11.bin.1.112'	VBCG01	VBCG01
004-NL-18.bin.2.186'	JAAKGP01	Rotterdamiella
028-AU-34.bin.1.325'	Marimicrobium	Marimicrobium
011-CY-01.bin.1.362'	Rubrivivax	Rubrivivax
071-HK-01.bin.1.58'	UBA964	Anglicoccus
052-CH-10.bin.1.119'	Tabrizicola	Tabrizicola
058-AR-20.bin.1.186'	Aestuariivirga	Aestuariivirga
083-NL-13.bin.1.381'	UBA10799	Newcastleum
063-AU-32.bin.1.155'	Ferruginibacter	Ferruginibacter
090-US1-124.bin.1.717'	Flavobacterium	Flavobacterium
032-ES-07.bin.1.207'	RXIV01	Barcelonousia
001-SG-02.bin.2.200'	67-14	67-14
053-PL-24.bin.1.591'	ZC4RG30	Thuwalimonas
021-CZ-11.bin.1.329'	Nitrosomonas	Nitrosomonas
094-US2-01.bin.1.358'	Labilithrix	Labilithrix
090-US1-124.bin.1.571'	TMP-24	Haagium
065-CA-03.bin.1.197'	OLB17	Yanbumicrobium
045-US1-87.bin.1.495'	JACKQF01	Punevivens
027-AU-18.bin.1.2'	Pirellula_B	Pirellula_B
023-IN-14.bin.1.304'	Defluviicoccus	Defluviicoccus
040-UK-14.bin.1.460'	JAGPCH01	Thuwalibacter
073-IL-01.bin.1.849'	JAGQSZ01	Leoniana
058-AR-20.bin.1.176'	UBA7239	Pincourtisoma
035-MX-06.bin.1.6'	UBA5518	Zurichimorpha
014-ES-23.bin.c.10'	Pseudobdellovibrio	Pseudobdellovibrio
045-US1-87.bin.1.37'	QY30	Espooum
040-UK-14.bin.1.190'	PFJX01	Shevamonas
017-IL-02.bin.1.504'	Phosphoribacter	Phosphoribacter
008-AR-23.bin.1.434'	UBA4416	Potosius
073-IL-01.bin.1.133'	JAEUMD01	Nestemiceousia
017-IL-02.bin.1.274'	UBA6669	Zillertaliella
064-CA-01.bin.c.11'	Mycobacterium	Mycobacterium
043-US1-27.bin.1.342'	JJ008	Olathebacter
017-IL-02.bin.1.255'	JARSSO01	Morpethibacter
053-PL-24.bin.1.493'	Aquabacterium	Aquabacterium
014-ES-23.bin.1.416'	UBA7672	Ittigenibacterium
076-IN-18.bin.1.12'	CADEFD01	CADEFD01
035-MX-06.bin.1.88'	Methylophosphatis	Methylophosphatis
060-AU-05.bin.1.144'	Aquihabitans	Aquihabitans
008-AR-23.bin.1.344'	WYBB01	Haagiplasma
009-AU-01.bin.1.80'	Paludibacter	Paludibacter
065-CA-03.bin.1.251'	UBA2031	Karnatakaria
053-PL-24.bin.2.317'	V1-33	Chicopeebacter
063-AU-32.bin.c.21'	RPQJ01	RPQJ01
043-US1-27.bin.2.125'	JAEUWI01	Sydneycoccus
028-AU-34.bin.1.275'	PHOS-HE28	PHOS-HE28
091-US1-126.bin.c.23'	UBA2329	Varelavivens
028-AU-34.bin.1.230'	OLB9	Randabergiula
066-CH-22.bin.1.152'	JADJVJ01	Warsawicoccus
027-AU-18.bin.1.120'	JADJVK01	Hongkongium
020-NO1-03.bin.1.469'	SSF14	SSF14
087-SA-04.bin.1.353'	Promineifilum	Promineifilum
020-NO1-03.bin.1.403'	Daejeonella	Daejeonella
063-AU-32.bin.1.252'	F1-60-MAGs163	Josebacter
018-CH-08.bin.1.184'	Phenylobacterium	Phenylobacterium
066-CH-22.bin.1.569'	Sediminibacterium	Sediminibacterium
053-PL-24.bin.1.433'	OLB11	Lleidaella
028-AU-34.bin.1.403'	ELB16-189	Montevideoana
065-CA-03.bin.1.267'	JADJXV01	Bonzium
091-US1-126.bin.1.343'	Micropruina	Micropruina
043-US1-27.bin.1.122'	VFMC01	Limassolivita
021-CZ-11.bin.1.6'	SSSZ01	Chicopeemonas
071-HK-01.bin.1.379'	Quisquiliibacterium	Quisquiliibacterium
009-AU-01.bin.1.72'	M3007	Montevideovita
052-CH-10.bin.2.341'	Acidovorax	Acidovorax
009-AU-01.bin.1.75'	JADKHK01	Deurnemicrobium
026-AT-03.bin.2.33'	Anatilimnocola	Anatilimnocola
066-CH-22.bin.1.32'	WHSN01	Karnatakaum
098-UY-13.bin.1.121'	SXSK01	Montevideoaria
043-US1-27.bin.1.163'	Vitreimonas	Vitreimonas
014-ES-23.bin.2.36'	JBEISR01	Shevaousia
028-AU-34.bin.1.61'	Rhodoplanes	Rhodoplanes
036-NL-06.bin.1.521'	Aurantibacillus	Aurantibacillus
