Tree node ID	Genus
098-UY-13.bin.c.25'	DAISWL01
042-US1-105.bin.c.24'	JAGXIT01
017-IL-02.bin.1.118'	JAGQHB01
061-AU-11.bin.1.630'	Tepidiforma
064-CA-01.bin.1.307'	Amarobacillus
011-CY-01.bin.2.80'	JAAEKA01
065-CA-03.bin.1.128'	Fredericiella
008-AR-23.bin.2.57'	UBA5069
087-SA-04.bin.1.353'	Promineifilum
008-AR-23.bin.2.319'	CFX2
012-PT-06.bin.2.575'	Brachythrix
018-CH-08.bin.1.561'	Villigracilis
001-SG-02.bin.2.200'	67-14
073-IL-01.bin.1.863'	Baekduia
063-AU-32.bin.1.252'	F1-60-MAGs163
020-NO1-03.bin.2.161'	JBBQCW01
089-SG-01.bin.1.327'	JAKOUY01
052-CH-10.bin.1.502'	UBA668
043-US1-27.bin.1.122'	VFMC01
013-IT-11.bin.1.129'	JAGQSI01
027-AU-18.bin.1.31'	JAAZBK01
095-US2-13.bin.1.640'	JAGQSN01
060-AU-05.bin.1.144'	Aquihabitans
063-AU-32.bin.1.12'	Microthrix
035-MX-06.bin.1.32'	JADJBW01
016-PL-06.bin.1.333'	UBA11034
020-NO1-03.bin.1.469'	SSF14
023-IN-14.bin.1.603'	Dermatobacter
066-CH-22.bin.1.540'	JBAOHV01
073-IL-01.bin.1.849'	JAGQSZ01
064-CA-01.bin.c.11'	Mycobacterium
008-AR-23.bin.1.350'	Gordonia
076-IN-18.bin.1.537'	JAWKJK01
034-IT-09.bin.1.12'	UBA10649
078-MX-10.bin.1.612'	JADKAV01
083-NL-13.bin.1.381'	UBA10799
064-CA-01.bin.1.64'	JACJWR01
091-US1-126.bin.1.343'	Micropruina
029-CA-06.bin.1.84'	Propioniciclava
078-MX-10.bin.1.111'	Nocardioides
035-MX-06.bin.1.203'	Marmoricola
091-US1-126.bin.1.353'	Ancrocorticia
037-NO2-03.bin.1.67'	Microbacterium
061-AU-11.bin.1.332'	Lutibacillus
017-IL-02.bin.1.504'	Phosphoribacter
025-FI-01.bin.1.451'	Nostocoides_A
034-IT-09.bin.1.492'	Phycicoccus_A
066-CH-22.bin.1.152'	JADJVJ01
017-IL-02.bin.1.567'	Fodinibacter
