Tree node ID	Genus	Alginate	Cellulose	Curdlan	Pel	PNAG (pga)
043-US1-27.bin.1.249'	2-12-FULL-35-15	0	0	0	0	0
001-SG-02.bin.2.200'	67-14	0	0	0	0	0
012-PT-06.bin.1.125'	AAP99	0	0	0	0	0
002-MX-07.bin.1.575'	AWTP1-13	0	0	8.33	0	0
002-MX-07.bin.1.567'	Accumulibacter	0	0	0	6.15	13.85
052-CH-10.bin.2.341'	Acidovorax	0	23.08	0	23.08	0
018-CH-08.bin.2.379'	Acinetobacter	0	0	0	0	55.56
055-AR-06.bin.1.59'	Aeromonas	0	78.57	0	0	7.14
058-AR-20.bin.1.186'	Aestuariivirga	0	0	0	0	0
015-DE-14.bin.2.151'	Agitococcus	0	0	0	77.78	3.7
016-PL-06.bin.1.122'	Albidovulum	0	0	0	0	0
042-US1-105.bin.2.126'	Aliarcobacter	0	0	0	0	0
064-CA-01.bin.1.307'	Amarobacillus	0	0	0	0	0
026-AT-03.bin.2.33'	Anatilimnocola	0	0	0	0	0
091-US1-126.bin.1.353'	Ancrocorticia	0	0	0	0	0
053-PL-24.bin.1.493'	Aquabacterium	0	0	0	5.26	0
040-UK-14.bin.1.542'	Aquabacterium_A	0	1.96	0	0	1.96
060-AU-05.bin.1.144'	Aquihabitans	0	0	0	0	0
052-CH-10.bin.1.90'	Aquisediminimonas	0	0	0	0	0
028-AU-34.bin.1.194'	Archangium_A	0	0	0	0	0
089-SG-01.bin.1.87'	Arenimonas	0	0	0	0	0
036-NL-06.bin.1.521'	Aurantibacillus	0	0	0	0	0
032-ES-07.bin.2.219'	Aureliella	0	0	0	0	0
041-UK2-07.bin.1.426'	Azonexus	0	1.19	0	20.24	30.95
073-IL-01.bin.1.863'	Baekduia	0	0	0	1.96	0
014-ES-23.bin.1.375'	Bog-950	0	0	0	0	0
012-PT-06.bin.2.575'	Brachythrix	0	0	0	0	0
076-IN-18.bin.1.12'	CADEFD01	0	0	0	0	0
062-AU-26.bin.1.41'	CADEFQ01	0	0	0	0	0
009-AU-01.bin.1.280'	CAIKUF01	0	0	0	0	0
008-AR-23.bin.1.298'	CAIKXD01	0	0	0	0	0
027-AU-18.bin.1.140'	CAIMTB01	0	0	0	0	0
017-IL-02.bin.1.635'	CAISIP01	0	0	0	0	0
025-FI-01.bin.1.312'	CAISKJ01	0	0	0	0	0
013-IT-11.bin.1.606'	CAITIQ01	0	0	0	0	0
036-NL-06.bin.1.318'	CAIWHR01	0	0	0	0	0
018-CH-08.bin.1.178'	CAIXRL01	0	0	0	0	0
002-MX-07.bin.1.328'	CAJCBL01	0	0	0	0	0
002-MX-07.bin.1.716'	CALMFQ01	0	0	0	100	0
008-AR-23.bin.2.319'	CFX2	0	0	0	0	0
090-US1-124.bin.1.337'	Casimicrobium	0	0	0	0	0
042-US1-105.bin.c.20'	Competibacter	0	0	0	0	0
001-SG-02.bin.1.226'	Competibacter_A	0	5	0	0	0
015-DE-14.bin.c.1'	Cypionkella	46.15	0	0	0	0
098-UY-13.bin.c.25'	DAISWL01	0	0	0	0	0
015-DE-14.bin.1.300'	DASXPC01	0	0	0	0	0
019-HK-04.bin.1.611'	DUSC01	0	0	0	0	0
020-NO1-03.bin.1.403'	Daejeonella	0	0	0	0	0
023-IN-14.bin.1.304'	Defluviicoccus	0	0	12.5	0	0
017-IL-02.bin.1.135'	Denitratimonas	0	0	0	0	0
023-IN-14.bin.1.603'	Dermatobacter	0	0	0	0	0
012-PT-06.bin.1.383'	Desulfobacillus	0	0	0	0	5.56
043-US1-27.bin.1.517'	Devosia_A	18.64	1.69	0	0	0
053-PL-24.bin.1.182'	Dokdonella	0	0	0	0	0
065-CA-03.bin.1.148'	Draconibacterium	0	0	0	0	0
028-AU-34.bin.1.403'	ELB16-189	0	0	0	0	0
063-AU-32.bin.1.252'	F1-60-MAGs163	0	0	0	0	0
035-MX-06.bin.1.258'	FEB-7	0	0	0	0	0
093-US1-47.bin.1.555'	Fen-999	0	0	0	0	0
063-AU-32.bin.1.155'	Ferruginibacter	0	0	0	0	0
090-US1-124.bin.1.717'	Flavobacterium	0	0	0	0	0
023-IN-14.bin.2.241'	Fluviicoccus	0	0	0	100	10
017-IL-02.bin.1.567'	Fodinibacter	0	0	0	0	0
065-CA-03.bin.1.128'	Fredericiella	0	0	0	0	0
095-US2-13.bin.1.487'	Ga0074137	0	0	0	0	0
015-DE-14.bin.1.95'	Ga0077523	0	0	0	0	0
066-CH-22.bin.2.119'	Ga0077546	0	0	26.67	0	0
094-US2-01.bin.1.160'	Ga0077550	0	0	0	0	0
011-CY-01.bin.1.245'	Ga0077555	0	0	8	96	0
035-MX-06.bin.1.145'	Geothrix	0	0	0	0	0
008-AR-23.bin.1.350'	Gordonia	0	0	0	0	0
058-AR-20.bin.c.12'	Haliscomenobacter	0	0	0	0	0
