Tree node ID	Genus	Uncharacterised	MiDAS_GCF_1	MiDAS_GCF_2	MiDAS_GCF_3	MiDAS_GCF_4	MiDAS_GCF_5	MiDAS_GCF_6	MiDAS_GCF_7	MiDAS_GCF_8	MiDAS_GCF_9	MiDAS_GCF_10	MiDAS_GCF_11	MiDAS_GCF_12	MiDAS_GCF_13	MiDAS_GCF_14	MiDAS_GCF_15
043-US1-27.bin.1.249'	2-12-FULL-35-15	100	0	34.15	0	85.37	0	0	0	0	0	0	0	0	0	0	0
001-SG-02.bin.2.200'	67-14	81.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
012-PT-06.bin.1.125'	AAP99	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
002-MX-07.bin.1.575'	AWTP1-13	91.67	0	0	0	0	0	83.33	0	0	0	0	0	0	0	0	0
002-MX-07.bin.1.567'	Accumulibacter	56.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
052-CH-10.bin.2.341'	Acidovorax	7.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
018-CH-08.bin.2.379'	Acinetobacter	44.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
055-AR-06.bin.1.59'	Aeromonas	14.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
058-AR-20.bin.1.186'	Aestuariivirga	62.92	0	0	0	0	0	73.03	0	0	0	0	0	0	0	0	0
015-DE-14.bin.2.151'	Agitococcus	14.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
016-PL-06.bin.1.122'	Albidovulum	97.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
042-US1-105.bin.2.126'	Aliarcobacter	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
064-CA-01.bin.1.307'	Amarobacillus	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
026-AT-03.bin.2.33'	Anatilimnocola	81.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
091-US1-126.bin.1.353'	Ancrocorticia	89.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
053-PL-24.bin.1.493'	Aquabacterium	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
040-UK-14.bin.1.542'	Aquabacterium_A	92.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
060-AU-05.bin.1.144'	Aquihabitans	100	0	0	0	0	0	0	0	91.67	0	0	0	0	0	0	0
052-CH-10.bin.1.90'	Aquisediminimonas	85.19	35.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
028-AU-34.bin.1.194'	Archangium_A	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
089-SG-01.bin.1.87'	Arenimonas	88.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
036-NL-06.bin.1.521'	Aurantibacillus	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032-ES-07.bin.2.219'	Aureliella	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
