file	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_%	record_desc
088-SA-05.bin.2.157	contig_14061	1	41469	78467	False	wzy_dependent_putative_NO_OPX				088-SA-05.bin.2.157_contig_14061
088-SA-05.bin.2.157	contig_14061	2	385347	427431	False	wzy_dependent_putative_NO_OPX				088-SA-05.bin.2.157_contig_14061
088-SA-05.bin.2.157	contig_14600	1	407693	453204	False	wzy_dependent_putative_NO_OPX				088-SA-05.bin.2.157_contig_14600
088-SA-05.bin.2.157	contig_20511	1	811590	848345	False	wzy_dependent_putative_NO_OPX				088-SA-05.bin.2.157_contig_20511
088-SA-05.bin.2.157	contig_60319	1	120228	169139	False	ABC_dependent_putative_NO_OPX				088-SA-05.bin.2.157_contig_60319
091-US1-126.bin.1.841	contig_13514	1	901673	926486	False	wzy_dependent_putative_NO_OPX				091-US1-126.bin.1.841_contig_13514
008-AR-23.bin.4.1000	contig_141513	1	14879	47365	True	wzy_dependent_putative				008-AR-23.bin.4.1000_contig_141513
008-AR-23.bin.4.1000	contig_142152	1	245458	272477	True	wzy_dependent_putative				008-AR-23.bin.4.1000_contig_142152
099-UY-16.bin.1.217	contig_32475	1	85211	98483	False	PNAG-pga-like				099-UY-16.bin.1.217_contig_32475
099-UY-16.bin.1.217	contig_32475	2	305010	336674	False	wzy_dependent_putative				099-UY-16.bin.1.217_contig_32475
061-AU-11.bin.2.159	contig_41442	1	13351	65770	True	ABC_dependent_putative_NO_OPX				contig_41442
013-IT-11.bin.2.370	contig_9710	1	21633	57752	False	wzy_dependent_putative_NO_OPX				contig_9710
013-IT-11.bin.2.370	contig_9710	2	864338	901656	False	wzy_dependent_putative_NO_OPX				contig_9710
013-IT-11.bin.2.370	contig_9710	3	1459940	1481607	False	wzy_dependent_putative_NO_OPX				contig_9710
048-UY-15.bin.2.324	contig_28361	1	12871	69413	True	wzy_dependent_putative				contig_28361
060-AU-05.bin.1.463	contig_1947	1	41613	78194	False	wzy_dependent_putative_NO_OPX				060-AU-05.bin.1.463_contig_1947
060-AU-05.bin.1.463	contig_1947	2	454758	487117	False	wzy_dependent_putative				060-AU-05.bin.1.463_contig_1947
007-SA-08.bin.2.321	contig_48063	1	544	22441	True	wzy_dependent_putative				contig_48063
095-US2-13.bin.3.538	contig_10953	1	709907	826570	False	wzy_dependent_putative				095-US2-13.bin.3.538_contig_10953
095-US2-13.bin.3.538	contig_9278	1	208647	263548	False	wzy_dependent_putative				095-US2-13.bin.3.538_contig_9278
041-UK2-07.bin.3.483	contig_185497	1	1388	23668	True	ABC_dependent_putative				contig_185497
041-UK2-07.bin.3.483	contig_67246	1	2895	44064	True	wzy_dependent_putative				contig_67246
096-US2-26.bin.1.431	contig_10089	1	149974	168102	True	type-3-cellulose				096-US2-26.bin.1.431_contig_10089
096-US2-26.bin.1.431	contig_965	1	1626422	1643581	False	wzy_dependent_putative				096-US2-26.bin.1.431_contig_965
017-IL-02.bin.2.238	contig_22686	1	518360	544925	False	wzy_dependent_putative				017-IL-02.bin.2.238_contig_22686
017-IL-02.bin.2.238	contig_53937	1	331176	387952	False	wzy_dependent_putative_NO_OPX				017-IL-02.bin.2.238_contig_53937
061-AU-11.bin.1.86	contig_29913	1	1285404	1309651	False	wzy_dependent_putative				061-AU-11.bin.1.86_contig_29913
061-AU-11.bin.1.86	contig_47158	1	432345	457092	False	wzy_dependent_putative_NO_OPX				061-AU-11.bin.1.86_contig_47158
061-AU-11.bin.1.86	contig_9537	1	1041809	1085557	False	ABC_dependent_putative_NO_OPX				061-AU-11.bin.1.86_contig_9537
040-UK-14.bin.1.558	contig_12853	1	166899	222803	True	wzy_dependent_putative				040-UK-14.bin.1.558_contig_12853
025-FI-01.bin.1.30	contig_1962	1	255462	330500	False	wzy_dependent_putative				025-FI-01.bin.1.30_contig_1962
028-AU-34.bin.3.468	contig_2413	1	8372	34389	True	wzy_dependent_putative_NO_OPX				contig_2413
033-IN-11.bin.3.216	contig_162112	1	6062	34268	True	wzy_dependent_putative				contig_162112
033-IN-11.bin.3.216	contig_63463	1	229353	265529	False	wzy_dependent_putative				contig_63463
089-SG-01.bin.2.399	contig_21373	1	17713	129760	True	zooglan				contig_21373
089-SG-01.bin.2.399	contig_3133	1	499584	539854	True	wzy_dependent_putative_NO_OPX				contig_3133
029-CA-06.bin.1.18	contig_7259	1	596398	658398	True	wzy_dependent_putative_NO_OPX				029-CA-06.bin.1.18_contig_7259
092-US1-44.bin.2.41	contig_21780	1	57875	91233	False	wzy_dependent_putative_NO_OPX				contig_21780
092-US1-44.bin.2.41	contig_75347	1	45686	84662	False	ABC_dependent_putative_NO_OPX				contig_75347
031-CZ-17.bin.c.23	contig_37095	1	3847512	3864593	False	wzy_dependent_putative				031-CZ-17.bin.c.23_contig_37095
011-CY-01.bin.1.531	contig_22425	1	293864	323831	False	wzy_dependent_putative				011-CY-01.bin.1.531_contig_22425
033-IN-11.bin.2.239	contig_129720	1	158251	211632	True	wzy_dependent_putative_NO_OPX				contig_129720
033-IN-11.bin.2.239	contig_162498	1	154076	191847	False	wzy_dependent_putative				contig_162498
076-IN-18.bin.1.648	contig_29051	1	948886	991415	False	ABC_wzy_dependent_putative_NO_OPX				076-IN-18.bin.1.648_contig_29051
076-IN-18.bin.1.648	contig_62550	1	107667	136815	False	wzy_dependent_putative_NO_OPX				076-IN-18.bin.1.648_contig_62550
029-CA-06.bin.3.120	contig_1601	1	150839	205906	False	wzy_dependent_putative				contig_1601
