# If you find multiSMASH useful, please cite the Zenodo DOI: 10.5281/zenodo.8276143
record	total_count	PNAG-pga	PNAG-pga-like	alginate	cellulose-like	curdlan-like	fructansucrase	generic-cellulose	pel-like	putative_ABC_dependent	putative_ABC_dependent_NO_OPX	putative_ABC_or_wzy_dependent	putative_wzy_dependent	putative_wzy_dependent_NO_OPX	sphingans	sphingomonadales_eps	type-1-cellulose	hybrid	description
GCF_009746585.1_genomic.fna	4	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	NZ_WRPO01000001.1 Novosphingobium aquimarinum strain M24A2M contig1, whole genome shotgun sequence [57 total records]
GCF_011044255.1_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	NZ_CP049107.1 Rhizorhabdus phycosphaerae strain MK52 chromosome, complete genome [1 total record]
GCF_024628865.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_CP102384.1 Sphingopyxis sp. DBS4 chromosome, complete genome [5 total records]
GCF_011320115.1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	NZ_JAANOZ010000001.1 Altererythrobacter segetis strain YJ20 1, whole genome shotgun sequence [34 total records]
GCF_001015195.1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	NZ_LDES01000186.1 Sphingomonas sp. Y57 C10148, whole genome shotgun sequence [130 total records]
GCF_023051225.1_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	NZ_JALKHS010000001.1 Sphingobium agri strain MAH-33 platanus_K_25_97_1, whole genome shotgun sequence [27 total records]
GCF_040049295.1_genomic.fna	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	NZ_JBDZDQ010000001.1 Sphingomonas sp. KR3-1 contig1, whole genome shotgun sequence [7 total records]
GCF_015240255.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	NZ_CP061205.1 Kordiimonas pumila strain N18 chromosome, complete genome [1 total record]
GCA_947501325.1_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	CANMVC010000001.1 uncultured Sphingomonadaceae bacterium isolate 245.fasta genome assembly, contig: NODE_1, whole genome shotgun sequence [11 total records]
GCF_009827305.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_WTYJ01000001.1 Croceibacterium xixiisoli strain S36 NODE_1_length_1905001, whole genome shotgun sequence [7 total records]
GCF_014237875.1_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NZ_JACJVJ010000001.1 Parasphingopyxis marina strain GrpM-11 GrpM-11_1, whole genome shotgun sequence [5 total records]
GCF_001586275.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_CP014545.1 Sphingorhabdus sp. M41 chromosome, complete genome [1 total record]
GCF_036687315.1_genomic.fna	4	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	NZ_CP144683.1 Sphingopyxis sp. TUF1 chromosome, complete genome [1 total record]
GCF_019711565.1_genomic.fna	5	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	NZ_JAIGNN010000001.1 Qipengyuania proteolytica strain 6B39 NODE_1_length_1826534_cov_227.504389, whole genome shotgun sequence [7 total records]
GCF_031157375.1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_JAVIFV010000001.1 Sphingosinicella sp. LHD-64 LHD.64_ctg01, whole genome shotgun sequence [8 total records]
GCF_029167225.1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	NZ_JARFNK010000001.1 Sphingobium arseniciresistens strain H39-3-25 spades_K_21_77_1, whole genome shotgun sequence [101 total records]
GCF_039830145.1_genomic.fna	4	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	NZ_CP156082.1 Croceibacterium sp. TMG7-5b_MA50 chromosome, complete genome [2 total records]
GCF_025961835.1_genomic.fna	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	NZ_JAOQOK010000001.1 Sphingobium sp. B2D3C Ga0417173_01, whole genome shotgun sequence [1 total record]
GCF_014204495.1_genomic.fna	4	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	NZ_JACHLN010000001.1 Sphingomonas kyeonggiensis strain S00224 Ga0436334_01, whole genome shotgun sequence [8 total records]
GCF_009769755.1_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	NZ_SDWJ01000001.1 Sphingorhabdus profundilacus strain IMCC26285 NODE_1_length_1651815_cov_67.7969, whole genome shotgun sequence [2 total records]
GCF_002374835.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NZ_NWVD01000001.1 Sphingomonas ginsenosidimutans strain KACC 14949 contig1, whole genome shotgun sequence [49 total records]
GCF_023266535.1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NZ_JAHFPY010000102.1 MAG: Sphingomonas sp. isolate nzgw538 NODE_10107_length_8309_cov_4.326209, whole genome shotgun sequence [121 total records]
GCF_003053745.1_genomic.fna	6	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	1	0	NZ_QAYE01000001.1 Sphingomonas faeni strain MA-olki Ga0191658_101, whole genome shotgun sequence [33 total records]
GCF_001519055.1_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	NZ_KQ954285.1 Novosphingobium sp. Fuku2-ISO-50 PRJNA299316_s001, whole genome shotgun sequence [38 total records]
GCF_012972675.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_JABCRE010000001.1 Pontixanthobacter rizhaonensis strain RZ02 NODE_1, whole genome shotgun sequence [4 total records]
GCF_006715975.1_genomic.fna	3	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	NZ_VFOF01000001.1 Zymomonas mobilis strain AN0101 Ga0314526_11, whole genome shotgun sequence [7 total records]
GCF_014489075.1_genomic.fna	5	0	0	0	0	0	0	0	0	0	1	0	2	0	1	1	0	0	NZ_JACTGR010000001.1 Sphingomonas sp. JC676 1, whole genome shotgun sequence [28 total records]
GCF_004358425.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	NZ_CP037948.1 Qipengyuania sediminis strain CGMCC 1.12928 chromosome, complete genome [1 total record]
GCF_019737615.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_JAHKKS010000001.1 Sphingobium xanthum strain NL9 Scaffold1, whole genome shotgun sequence [21 total records]
GCF_023822045.1_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	NZ_CP084712.1 Sphingopyxis sp. USTB-05 chromosome, complete genome [1 total record]
GCF_019443285.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	NZ_CP080327.1 Aquisediminimonas profunda strain DS48-3 chromosome, complete genome [1 total record]
GCF_009827655.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_WTYV01000010.1 Alteraurantiacibacter buctensis strain M0322 NODE_10_length_59022, whole genome shotgun sequence [22 total records]
GCF_030818415.1_genomic.fna	4	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	NZ_JAUTAE010000001.1 Sphingomonas sp. SORGH_AS_0950 Ga0558188_01, whole genome shotgun sequence [3 total records]
GCF_003340475.1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_QBKA01000001.1 Alteripontixanthobacter maritimus strain HME9302 contig00001, whole genome shotgun sequence [2 total records]
GCF_023006325.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NZ_JAINDF010000010.1 Kordiimonas marina strain A6E486 scaffold_10_length=30497, whole genome shotgun sequence [16 total records]
GCF_032229225.1_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	NZ_CP135076.1 Stakelama saccharophila strain W311 chromosome [1 total record]
GCF_025153475.1_genomic.fna	5	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	NZ_JANZXA010000010.1 Novosphingobium mangrovi (ex Huang et al. 2023) strain HK4-1 NODE_10_length_196146_cov_39.344621, whole genome shotgun sequence [51 total records]
GCF_009827325.1_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NZ_WTYC01000010.1 Qipengyuania vulgaris strain DSM 17792 NODE_10_length_25946, whole genome shotgun sequence [19 total records]
GCF_031843765.1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_JAVTIV010000001.1 Sphingobium sp. WCS2017Hpa-17 NODE_1_length_903924_cov_18.912380, whole genome shotgun sequence [63 total records]
GCF_013149295.1_genomic.fna	6	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	1	0	NZ_JABGCB010000001.1 Novosphingobium sp. SG751A Ga0365358_01, whole genome shotgun sequence [75 total records]
GCF_002197665.1_genomic.fna	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	NZ_NBBJ01000001.1 Sphingomonas mucosissima strain DSM 17494 SPMU_contig000001, whole genome shotgun sequence [15 total records]
GCF_039710615.1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_JBDLBR010000001.1 Aurantiacibacter sp. DGU5 contig1, whole genome shotgun sequence [22 total records]
GCA_005503165.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	SCNT01000010.1 Sphingomonadaceae bacterium 3R27E2-A NODE_10_length_124449_cov_20.485346, whole genome shotgun sequence [92 total records]
GCF_037154085.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_JBANRM010000001.1 Altererythrobacter fulvus strain KACC 19119 NODE_1_length_1200119_cov_259.731839, whole genome shotgun sequence [11 total records]
GCF_003860345.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_CP034179.1 Caenibius tardaugens NBRC 16725 chromosome, complete genome [1 total record]
GCF_009913435.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	NZ_CP047895.1 Sphingomonas changnyeongensis strain C33 chromosome, complete genome [2 total records]
GCF_029623345.1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	NZ_JAPYKH010000001.1 Sphingomonas phyllosphaerae strain RIT-Gs-4 1, whole genome shotgun sequence [53 total records]
GCA_016721875.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	JADKHG010000001.1 MAG: Sphingomonadales bacterium isolate Skiv_18-Q3-R9-52_BAT3C.184 tig00003393-10-5945580, whole genome shotgun sequence [15 total records]
GCF_018682675.1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_JAFMTR010000001.1 Sphingopyxis soli strain BL03 1, whole genome shotgun sequence [116 total records]
GCF_014199335.1_genomic.fna	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	NZ_JACIJI010000001.1 Stakelama sediminis strain DSM 27203 Ga0373343_01, whole genome shotgun sequence [24 total records]
GCF_012927105.1_genomic.fna	6	0	0	0	0	0	0	0	0	1	0	0	2	1	0	1	0	1	NZ_JABBFV010000001.1 Sphingobium psychrophilum strain AR-3-1 contig1, whole genome shotgun sequence [83 total records]
GCF_000971055.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	NZ_LARW01000101.1 Sphingomonas sp. SRS2 contig101, whole genome shotgun sequence [140 total records]
