genome_id	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_%	record_desc	Category	n_Category	OLD_gtdb_classification	gtdbtk_organism_name	ncbi_organism_name	Contamination (%)	Completeness (%)	cluster95	Database	Domain	Phylum	Class	Order	Family	Genus	Species	MiDAS_classification	HQ	shared_name
GCF_002159835.1_ASM215983v1_genomic	GCF_002159835.1_ASM215983v1_genomic_krakentaxid3012715HumGut_12715_4.region001	1	72566	115799	TRUE	Uncharacterised				kraken:taxid|3012715|HumGut_12715_4 NZ_NFJL01000012.1 Blautia sp. An249 An249_contig_12, whole genome shotgun sequence	Uncharacterised	1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp002159835	s__Blautia_A sp002159835	Blautia sp. An249	0.949367088607595	99.367088607595	1669	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A avistercoris			GCF_002159835.1_ASM215983v1_genomic_krakentaxid3012715HumGut_12715_4.region001.gbk_region_1
GUT_GENOME018582	GUT_GENOME018582_krakentaxid3000616HumGut_616_2.region001	1	171	22043	TRUE	Uncharacterised				kraken:taxid|3000616|HumGut_616_2 GUT_GENOME018582_2	Uncharacterised	1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_G	s__Faecalibacterium prausnitzii_G	Faecalibacterium prausnitzii	3.57	68.57	4	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium longum			GUT_GENOME018582_krakentaxid3000616HumGut_616_2.region001.gbk_region_1
GUT_GENOME223519	GUT_GENOME223519_krakentaxid3005265HumGut_5265_400.region001	1	0	3261	TRUE	pel-like				kraken:taxid|3005265|HumGut_5265_400 GUT_GENOME223519_400	Synthase	2	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	s__Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505	3.45	95.45	158	HumGut	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium pseudocatenulatum			GUT_GENOME223519_krakentaxid3005265HumGut_5265_400.region001.gbk_region_1
GCF_014287855.1_ASM1428785v1_genomic	GCF_014287855.1_ASM1428785v1_genomic_krakentaxid3011369HumGut_11369_1.region001	1	112172	144987	FALSE	PNAG_eps				kraken:taxid|3011369|HumGut_11369_1 NZ_JACOOV010000001.1 Blautia sp. M16 M6_ctg001, whole genome shotgun sequence	Wzx/Wzy	3	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp001916075	s__Clostridium sp001916075	Clostridium sp. 29_15	0.967741935483871	99.1705069124424	1455	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium lentum			GCF_014287855.1_ASM1428785v1_genomic_krakentaxid3011369HumGut_11369_1.region001.gbk_region_1
GUT_GENOME075582	GUT_GENOME075582_krakentaxid3019237HumGut_19237_81.region001	1	10020	35855	TRUE	lactobacillus_eps				kraken:taxid|3019237|HumGut_19237_81 GUT_GENOME075582_81	Wzx/Wzy	3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	g__Streptococcus	Streptococcus oralis subsp. tigurinus AZ_3a	2.99	84.76	2887	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus sp900755085			GUT_GENOME075582_krakentaxid3019237HumGut_19237_81.region001.gbk_region_1
GUT_GENOME181517	GUT_GENOME181517_krakentaxid3010498HumGut_10498_8.region001	1	2045	15214	TRUE	pel-positive				kraken:taxid|3010498|HumGut_10498_8 GUT_GENOME181517_8	Synthase	2	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum	s__Bifidobacterium catenulatum	Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043	0	54.81	316	HumGut	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium catenulatum			GUT_GENOME181517_krakentaxid3010498HumGut_10498_8.region001.gbk_region_1
GUT_GENOME038492	GUT_GENOME038492_krakentaxid3005921HumGut_5921_1.region001	1	0	22130	TRUE	Uncharacterised				kraken:taxid|3005921|HumGut_5921_1 GUT_GENOME038492_1	Uncharacterised	1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B	s__Ruminococcus_E bromii_B	Ruminococcus bromii	1.01	77.07	83	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Ruminococcus_E	s__Ruminococcus_E bromii_B			GUT_GENOME038492_krakentaxid3005921HumGut_5921_1.region001.gbk_region_1
GCF_009717815.1_ASM971781v1_genomic	GCF_009717815.1_ASM971781v1_genomic_krakentaxid3011104HumGut_11104_10.region001	1	115898	142345	FALSE	lactobacillus_eps				kraken:taxid|3011104|HumGut_11104_10 NZ_WMZH01000006.1 Streptococcus parasanguinis strain BIOML-A3 scaffold6_size221256, whole genome shotgun sequence	Wzx/Wzy	3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis_B	s__Streptococcus parasanguinis_B	Streptococcus parasanguinis	0	100	595	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus parasanguinis_F			GCF_009717815.1_ASM971781v1_genomic_krakentaxid3011104HumGut_11104_10.region001.gbk_region_1
GUT_GENOME127304	GUT_GENOME127304_krakentaxid3000654HumGut_654_39.region001	1	0	12889	TRUE	pel-positive				kraken:taxid|3000654|HumGut_654_39 GUT_GENOME127304_39	Synthase	2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D	s__Faecalibacterium prausnitzii_D	Faecalibacterium prausnitzii	1.59	83.66	5	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii_D			GUT_GENOME127304_krakentaxid3000654HumGut_654_39.region001.gbk_region_1
GUT_GENOME155119	GUT_GENOME155119_krakentaxid3000543HumGut_543_13.region001	1	0	8047	TRUE	pel-positive				kraken:taxid|3000543|HumGut_543_13 GUT_GENOME155119_13	Synthase	2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	s__Blautia_A wexlerae	Blautia wexlerae DSM 19850	2.43	63.49	3	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A wexlerae			GUT_GENOME155119_krakentaxid3000543HumGut_543_13.region001.gbk_region_1
