# If you find multiSMASH useful, please cite the Zenodo DOI: 10.5281/zenodo.8276143
record	total_count	PNAG-pga	PNAG-pga-like	cellulose-like	curdlan-like	fructansucrase	generic-cellulose	pel-like	putative_ABC_dependent	putative_ABC_dependent_NO_OPX	putative_ABC_or_wzy_dependent	putative_wzy_dependent	putative_wzy_dependent_NO_OPX	sphingans	sphingomonadales_eps	type-1-cellulose	hybrid	description
GCF_009909235.1_ASM990923v1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_JAAAPO010000001.1 Novosphingobium ovatum strain FSY-8 contig00001, whole genome shotgun sequence [11 total records]
GCF_001886695.1_ASM188669v1_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	NZ_CP018097.1 Aurantiacibacter gangjinensis strain JCM 15420 chromosome I, complete sequence [2 total records]
GCF_900168325.1_IMG-taxon_2706795032_annotated_assembly_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	NZ_FVZE01000036.1 Novosphingobium mathurense strain SM117, whole genome shotgun sequence [37 total records]
GCF_001922385.1_ASM192238v1_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	NZ_CP018820.1 Sphingomonas koreensis strain ABOJV chromosome, complete genome [2 total records]
GCF_000422985.1_ASM42298v1_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NZ_AUHC01000001.1 Erythrobacter cryptus DSM 12079 G524DRAFT_scaffold00001.1_C, whole genome shotgun sequence [34 total records]
GCF_042652045.1_ASM4265204v1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	NZ_JBHSDR010000001.1 Novosphingobium tardum strain CGMCC 1.12989 platanus_K_17_124_1, whole genome shotgun sequence [10 total records]
GCF_001598535.1_ASM159853v1_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	NZ_BCZD01000001.1 Sphingobium herbicidovorans NBRC 16415, whole genome shotgun sequence [79 total records]
GCF_014230315.1_ASM1423031v1_genomic.fna	3	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	NZ_JACLAW010000010.1 Novosphingobium flavum strain NBRC 111647 NODE_10_length_179269_cov_69.110795, whole genome shotgun sequence [26 total records]
GCF_009827315.1_ASM982731v1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_WTYF01000004.1 Qipengyuania gaetbuli strain DSM 16225 DSM16225_1_2293368, whole genome shotgun sequence [4 total records]
GCF_013371215.1_ASM1337121v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_JABWMH010000001.1 Parasphingorhabdus flavimaris strain SW-151 contig1, whole genome shotgun sequence [8 total records]
GCF_039522995.1_ASM3952299v1_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	NZ_BAAAEL010000001.1 Sphingomonas molluscorum strain JCM 14122 sequence01, whole genome shotgun sequence [29 total records]
GCF_003626915.1_ASM362691v1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_CP032570.1 Tsuneonella amylolytica strain NS1 chromosome [1 total record]
GCF_036480755.1_ASM3648075v1_genomic.fna	3	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	NZ_JAZGHD010000001.1 MAG: Sphingomonas aquatilis isolate SCS5bin.31 SCS5bin.31_1, whole genome shotgun sequence [25 total records]
GCF_004361835.1_ASM436183v1_genomic.fna	4	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	NZ_SNWD01000001.1 Stakelama pacifica strain DSM 25059 Ga0310488_101, whole genome shotgun sequence [31 total records]
GCF_039542285.1_ASM3954228v1_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NZ_BAABHV010000001.1 Erythrobacter westpacificensis strain JCM 18014 sequence01, whole genome shotgun sequence [38 total records]
