genome	contig	length
MFD00008.bin.1.10.fa	contig_104734	185889
MFD00008.bin.1.10.fa	contig_19500	433629
MFD00008.bin.1.10.fa	contig_25486	350941
MFD00008.bin.1.10.fa	contig_38022	1047456
MFD00008.bin.1.10.fa	contig_38104	148084
MFD00008.bin.1.10.fa	contig_39705	1296838
MFD00008.bin.1.10.fa	contig_4729	881101
MFD00008.bin.1.10.fa	contig_50387	1093044
MFD00008.bin.1.116.fa	contig_105604	78996
MFD00008.bin.1.116.fa	contig_10865	567105
MFD00008.bin.1.116.fa	contig_11622	1641603
MFD00008.bin.1.116.fa	contig_22156	397196
MFD00008.bin.1.116.fa	contig_26656	627721
MFD00008.bin.1.116.fa	contig_52381	210754
MFD00008.bin.1.116.fa	contig_57895	319123
MFD00008.bin.1.116.fa	contig_61419	335875
MFD00008.bin.1.116.fa	contig_64199	289629
MFD00008.bin.1.116.fa	contig_76106	450309
MFD00008.bin.1.116.fa	contig_93741	153277
MFD00008.bin.1.117.fa	contig_22557	448494
MFD00008.bin.1.117.fa	contig_4297	4227881
MFD00008.bin.1.117.fa	contig_4307	836305
MFD00008.bin.1.117.fa	contig_99552	270513
MFD00008.bin.1.121.fa	contig_110536	17083
MFD00008.bin.1.121.fa	contig_14403	332502
MFD00008.bin.1.121.fa	contig_14766	65608
MFD00008.bin.1.121.fa	contig_15966	1000301
MFD00008.bin.1.121.fa	contig_22383	1029750
MFD00008.bin.1.121.fa	contig_23303	1176939
MFD00008.bin.1.121.fa	contig_24048	744635
MFD00008.bin.1.121.fa	contig_24058	220189
MFD00008.bin.1.121.fa	contig_31143	327960
MFD00008.bin.1.121.fa	contig_31193	151279
MFD00008.bin.1.121.fa	contig_48090	76357
MFD00008.bin.1.121.fa	contig_5598	453743
MFD00008.bin.1.121.fa	contig_64886	40888
MFD00008.bin.1.121.fa	contig_74215	116763
MFD00008.bin.1.121.fa	contig_81100	43452
MFD00008.bin.1.121.fa	contig_81102	47543
MFD00008.bin.1.121.fa	contig_83224	309447
MFD00008.bin.1.123.fa	contig_8367	4864187
MFD00008.bin.1.128.fa	contig_100984	13142
MFD00008.bin.1.128.fa	contig_101674	38127
MFD00008.bin.1.128.fa	contig_102674	20617
MFD00008.bin.1.128.fa	contig_106149	21748
MFD00008.bin.1.128.fa	contig_10667	209543
MFD00008.bin.1.128.fa	contig_10672	16524
MFD00008.bin.1.128.fa	contig_12635	182300
MFD00008.bin.1.128.fa	contig_15627	26046
MFD00008.bin.1.128.fa	contig_15629	166136
MFD00008.bin.1.128.fa	contig_17046	21751
MFD00008.bin.1.128.fa	contig_17672	125341
MFD00008.bin.1.128.fa	contig_24236	89194
MFD00008.bin.1.128.fa	contig_24241	28783
MFD00008.bin.1.128.fa	contig_24252	27572
MFD00008.bin.1.128.fa	contig_24258	34597
MFD00008.bin.1.128.fa	contig_24259	289444
MFD00008.bin.1.128.fa	contig_24274	66757
MFD00008.bin.1.128.fa	contig_24278	188989
MFD00008.bin.1.128.fa	contig_24303	55536
MFD00008.bin.1.128.fa	contig_24305	135264
MFD00008.bin.1.128.fa	contig_26468	178513
MFD00008.bin.1.128.fa	contig_26475	168113
MFD00008.bin.1.128.fa	contig_26769	216064
MFD00008.bin.1.128.fa	contig_27813	172396
MFD00008.bin.1.128.fa	contig_29515	407011
MFD00008.bin.1.128.fa	contig_30254	157736
MFD00008.bin.1.128.fa	contig_32668	131578
MFD00008.bin.1.128.fa	contig_32939	248709
MFD00008.bin.1.128.fa	contig_3308	44010
MFD00008.bin.1.128.fa	contig_3309	94794
MFD00008.bin.1.128.fa	contig_33710	26905
MFD00008.bin.1.128.fa	contig_33725	112959
MFD00008.bin.1.128.fa	contig_33742	187332
MFD00008.bin.1.128.fa	contig_33810	141083
MFD00008.bin.1.128.fa	contig_33814	94013
MFD00008.bin.1.128.fa	contig_36502	52498
MFD00008.bin.1.128.fa	contig_36505	28935
MFD00008.bin.1.128.fa	contig_36509	22953
MFD00008.bin.1.128.fa	contig_36516	38035
MFD00008.bin.1.128.fa	contig_36530	47696
MFD00008.bin.1.128.fa	contig_37261	71208
MFD00008.bin.1.128.fa	contig_41718	248848
MFD00008.bin.1.128.fa	contig_41726	167043
MFD00008.bin.1.128.fa	contig_41727	64989
MFD00008.bin.1.128.fa	contig_42721	93196
MFD00008.bin.1.128.fa	contig_45104	56263
MFD00008.bin.1.128.fa	contig_47478	220169
MFD00008.bin.1.128.fa	contig_4755	501387
MFD00008.bin.1.128.fa	contig_49757	96657
MFD00008.bin.1.128.fa	contig_49758	32360
MFD00008.bin.1.128.fa	contig_56599	24139
MFD00008.bin.1.128.fa	contig_6179	47002
MFD00008.bin.1.128.fa	contig_6192	230168
MFD00008.bin.1.128.fa	contig_70497	15934
MFD00008.bin.1.128.fa	contig_75365	240272
MFD00008.bin.1.128.fa	contig_75594	96222
MFD00008.bin.1.128.fa	contig_75607	38756
MFD00008.bin.1.128.fa	contig_7933	83813
MFD00008.bin.1.128.fa	contig_8063	624402
MFD00008.bin.1.128.fa	contig_8067	25034
MFD00008.bin.1.128.fa	contig_8069	17452
MFD00008.bin.1.128.fa	contig_8071	42725
MFD00008.bin.1.128.fa	contig_87610	66354
MFD00008.bin.1.128.fa	contig_95776	20736
MFD00008.bin.1.129.fa	contig_19119	117099
MFD00008.bin.1.129.fa	contig_19124	433168
MFD00008.bin.1.129.fa	contig_24148	752104
MFD00008.bin.1.129.fa	contig_26461	565803
MFD00008.bin.1.129.fa	contig_270	47626
MFD00008.bin.1.129.fa	contig_28170	411921
MFD00008.bin.1.129.fa	contig_30887	181509
MFD00008.bin.1.129.fa	contig_7938	34857
MFD00008.bin.1.132.fa	contig_104508	21965
MFD00008.bin.1.132.fa	contig_13175	826635
MFD00008.bin.1.132.fa	contig_15906	165386
MFD00008.bin.1.132.fa	contig_16334	393695
MFD00008.bin.1.132.fa	contig_31016	668761
MFD00008.bin.1.132.fa	contig_73501	61776
MFD00008.bin.1.132.fa	contig_9442	2862869
MFD00008.bin.1.132.fa	contig_9834	651136
MFD00008.bin.1.139.fa	contig_14793	1124257
MFD00008.bin.1.139.fa	contig_30926	493331
MFD00008.bin.1.139.fa	contig_31698	113356
MFD00008.bin.1.139.fa	contig_31699	203910
MFD00008.bin.1.139.fa	contig_34885	298509
MFD00008.bin.1.139.fa	contig_37169	683424
MFD00008.bin.1.139.fa	contig_40962	773636
MFD00008.bin.1.139.fa	contig_4304	1053918
MFD00008.bin.1.139.fa	contig_4305	490578
MFD00008.bin.1.139.fa	contig_4722	960754
MFD00008.bin.1.139.fa	contig_9334	534659
MFD00008.bin.1.15.fa	contig_100756	208551
MFD00008.bin.1.15.fa	contig_100757	55877
MFD00008.bin.1.15.fa	contig_102455	455198
MFD00008.bin.1.15.fa	contig_106389	15781
MFD00008.bin.1.15.fa	contig_22450	1934545
MFD00008.bin.1.15.fa	contig_30264	623601
MFD00008.bin.1.15.fa	contig_30672	118407
MFD00008.bin.1.15.fa	contig_30673	1147877
MFD00008.bin.1.15.fa	contig_5274	641059
MFD00008.bin.1.15.fa	contig_57984	18346
MFD00008.bin.1.15.fa	contig_6480	100851
MFD00008.bin.1.15.fa	contig_64999	516791
MFD00008.bin.1.15.fa	contig_90368	289069
MFD00008.bin.1.15.fa	contig_9714	34371
MFD00008.bin.1.150.fa	contig_12591	1630524
MFD00008.bin.1.150.fa	contig_21524	2084478
MFD00008.bin.1.150.fa	contig_30391	476953
MFD00008.bin.1.150.fa	contig_31418	107284
MFD00008.bin.1.150.fa	contig_38443	337142
MFD00008.bin.1.150.fa	contig_42540	342796
MFD00008.bin.1.150.fa	contig_45608	485074
MFD00008.bin.1.150.fa	contig_49007	477618
MFD00008.bin.1.150.fa	contig_49017	394954
MFD00008.bin.1.150.fa	contig_61110	38715
MFD00008.bin.1.150.fa	contig_82477	323680
MFD00008.bin.1.150.fa	contig_86110	211613
MFD00008.bin.1.161.fa	contig_100380	76957
MFD00008.bin.1.161.fa	contig_100477	109184
MFD00008.bin.1.161.fa	contig_100869	41589
MFD00008.bin.1.161.fa	contig_100871	41458
MFD00008.bin.1.161.fa	contig_106651	93736
MFD00008.bin.1.161.fa	contig_106709	28947
MFD00008.bin.1.161.fa	contig_107058	305185
MFD00008.bin.1.161.fa	contig_12184	281301
MFD00008.bin.1.161.fa	contig_12192	127250
MFD00008.bin.1.161.fa	contig_12232	104687
MFD00008.bin.1.161.fa	contig_19503	133161
MFD00008.bin.1.161.fa	contig_19516	175150
MFD00008.bin.1.161.fa	contig_22527	172723
MFD00008.bin.1.161.fa	contig_23449	366998
MFD00008.bin.1.161.fa	contig_37979	165272
MFD00008.bin.1.161.fa	contig_39114	115272
MFD00008.bin.1.161.fa	contig_40085	19479
MFD00008.bin.1.161.fa	contig_40225	267902
MFD00008.bin.1.161.fa	contig_40945	88362
MFD00008.bin.1.161.fa	contig_42407	352984
MFD00008.bin.1.161.fa	contig_64603	158775
MFD00008.bin.1.161.fa	contig_65840	432168
MFD00008.bin.1.161.fa	contig_65851	21824
MFD00008.bin.1.161.fa	contig_71735	208595
MFD00008.bin.1.161.fa	contig_72077	125383
MFD00008.bin.1.161.fa	contig_72078	291469
MFD00008.bin.1.161.fa	contig_72219	242398
MFD00008.bin.1.161.fa	contig_73497	285320
MFD00008.bin.1.161.fa	contig_74643	133635
MFD00008.bin.1.161.fa	contig_89548	133072
