file	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_%	record_desc
GCF_002159835.1_ASM215983v1_genomic	krakentaxid3012715HumGut_12715_4	1	72566	115799	True	putative_ABC_dependent_NO_OPX				kraken:taxid|3012715|HumGut_12715_4 NZ_NFJL01000012.1 Blautia sp. An249 An249_contig_12, whole genome shotgun sequence
GUT_GENOME231257	krakentaxid3019174HumGut_19174_3	1	89271	120418	False	colanic				kraken:taxid|3019174|HumGut_19174_3 GUT_GENOME231257_3
GUT_GENOME231257	krakentaxid3019174HumGut_19174_17	1	33483	53229	False	putative_wzy_dependent_NO_OPX				kraken:taxid|3019174|HumGut_19174_17 GUT_GENOME231257_17
GUT_GENOME231257	krakentaxid3019174HumGut_19174_30	1	33019	66049	False	type-1-cellulose / type-2-cellulose				kraken:taxid|3019174|HumGut_19174_30 GUT_GENOME231257_30
GUT_GENOME231257	krakentaxid3019174HumGut_19174_36	1	83484	96656	True	PNAG-pga				kraken:taxid|3019174|HumGut_19174_36 GUT_GENOME231257_36
GUT_GENOME231257	krakentaxid3019174HumGut_19174_44	1	70789	86370	False	PNAG-pga				kraken:taxid|3019174|HumGut_19174_44 GUT_GENOME231257_44
GCF_014287855.1_ASM1428785v1_genomic	krakentaxid3011369HumGut_11369_1	1	112172	144987	False	PNAG_eps				kraken:taxid|3011369|HumGut_11369_1 NZ_JACOOV010000001.1 Blautia sp. M16 M6_ctg001, whole genome shotgun sequence
GCF_014287855.1_ASM1428785v1_genomic	krakentaxid3011369HumGut_11369_1	2	172694	231210	False	putative_wzy_dependent_NO_OPX				kraken:taxid|3011369|HumGut_11369_1 NZ_JACOOV010000001.1 Blautia sp. M16 M6_ctg001, whole genome shotgun sequence
GCF_000449425.2_ASM44942v2_genomic	krakentaxid3029805HumGut_29805_88	1	67273	84289	False	cellulose-gram-positive				kraken:taxid|3029805|HumGut_29805_88 NZ_AVHW01000089.1 Clostridioides difficile CD160 gcdCD160.contig.89, whole genome shotgun sequence
GCF_014269395.1_ASM1426939v1_genomic	krakentaxid3020604HumGut_20604_11	1	4085	21849	True	pel-positive				kraken:taxid|3020604|HumGut_20604_11 NZ_JACOGK010000011.1 Megasphaera hominis strain NSJ-59 N28_ctg011, whole genome shotgun sequence
GCF_000220255.1_ASM22025v1_genomic	krakentaxid3018795HumGut_18795_1	1	1722470	1744449	False	putative_wzy_dependent				kraken:taxid|3018795|HumGut_18795_1 NZ_GL982513.1 Prevotella pallens ATCC 700821 SCAFFOLD1, whole genome shotgun sequence
GUT_GENOME216695	krakentaxid3006896HumGut_6896_12	1	23667	51156	True	putative_wzy_dependent				kraken:taxid|3006896|HumGut_6896_12 GUT_GENOME216695_12
GUT_GENOME096295	krakentaxid3026046HumGut_26046_12	1	80347	109150	False	PNAG_eps				kraken:taxid|3026046|HumGut_26046_12 GUT_GENOME096295_12
GCF_014895905.1_ASM1489590v1_genomic	krakentaxid3018276HumGut_18276_1	1	21282	75213	False	putative_wzy_dependent_NO_OPX				kraken:taxid|3018276|HumGut_18276_1 NZ_JADBQL010000001.1 Enterobacter cloacae complex sp. P15RS 1702007545_S63_R1_(paired)_contig_1, whole genome shotgun sequence
GCF_014895905.1_ASM1489590v1_genomic	krakentaxid3018276HumGut_18276_15	1	26843	42552	False	PNAG-pga				kraken:taxid|3018276|HumGut_18276_15 NZ_JADBQL010000022.1 Enterobacter cloacae complex sp. P15RS 1702007545_S63_R1_(paired)_contig_22, whole genome shotgun sequence
GCF_014895905.1_ASM1489590v1_genomic	krakentaxid3018276HumGut_18276_30	1	10939	32243	True	type-2-cellulose				kraken:taxid|3018276|HumGut_18276_30 NZ_JADBQL010000036.1 Enterobacter cloacae complex sp. P15RS 1702007545_S63_R1_(paired)_contig_36, whole genome shotgun sequence
GUT_GENOME103818	krakentaxid3019585HumGut_19585_2	1	98079	138873	False	putative_wzy_dependent_NO_OPX				kraken:taxid|3019585|HumGut_19585_2 GUT_GENOME103818_2
GCF_002092045.1_ASM209204v1_genomic	krakentaxid3021459HumGut_21459_41	1	0	14206	True	putative_wzy_dependent_NO_OPX				kraken:taxid|3021459|HumGut_21459_41 NZ_MPAM01000041.1 Leuconostoc mesenteroides subsp. cremoris strain LMGCF01 contig000041, whole genome shotgun sequence
GCF_000722775.1_ASM72277v1_genomic	krakentaxid3015284HumGut_15284_11	1	63652	88293	False	lactobacillus_eps				kraken:taxid|3015284|HumGut_15284_11 NZ_JPFZ01000011.1 Streptococcus mitis strain SK608 gsmSK608.contig.10_1, whole genome shotgun sequence
GCF_900155615.1_Massilimalia_massiliensis_genomic	krakentaxid3018018HumGut_18018_3	1	691036	735990	False	putative_wzy_dependent_NO_OPX / pel-like				kraken:taxid|3018018|HumGut_18018_3 NZ_FUHT01000002.1 Massilimaliae massiliensis strain Marseille-P2963T, whole genome shotgun sequence
GCF_001278755.1_ASM127875v1_genomic	krakentaxid3023849HumGut_23849_1	1	188489	208066	False	putative_wzy_dependent_NO_OPX				kraken:taxid|3023849|HumGut_23849_1 NZ_CP012601.1 Bacillus sp. FJAT-22090 genome
GCF_001278755.1_ASM127875v1_genomic	krakentaxid3023849HumGut_23849_1	2	2396643	2416614	False	putative_wzy_dependent_NO_OPX				kraken:taxid|3023849|HumGut_23849_1 NZ_CP012601.1 Bacillus sp. FJAT-22090 genome
GUT_GENOME224277	krakentaxid3020811HumGut_20811_3	1	2636	19318	True	putative_wzy_dependent				kraken:taxid|3020811|HumGut_20811_3 GUT_GENOME224277_3
GUT_GENOME224277	krakentaxid3020811HumGut_20811_168	1	0	11069	True	putative_wzy_dependent				kraken:taxid|3020811|HumGut_20811_168 GUT_GENOME224277_168
GCF_000279535.1_ASM27953v1_genomic	krakentaxid3013679HumGut_13679_10	1	12038	31247	True	lactobacillus_eps				kraken:taxid|3013679|HumGut_13679_10 NZ_ALCH01000010.1 Streptococcus infantis SPAR10 GA06201.contig.9, whole genome shotgun sequence
GCF_004792675.1_ASM479267v1_genomic	krakentaxid3019227HumGut_19227_43	1	4164	42888	True	putative_ABC_dependent				kraken:taxid|3019227|HumGut_19227_43 NZ_SRVL01000013.1 Muribaculum intestinale strain NM75_1-48a NODE_13_length_63105_cov_554.294, whole genome shotgun sequence
GCF_004792675.1_ASM479267v1_genomic	krakentaxid3019227HumGut_19227_55	1	197149	222901	True	putative_wzy_dependent				kraken:taxid|3019227|HumGut_19227_55 NZ_SRVL01000001.1 Muribaculum intestinale strain NM75_1-48a NODE_1_length_233350_cov_571.033, whole genome shotgun sequence
GUT_GENOME140043	krakentaxid3013496HumGut_13496_1	1	502926	526917	False	putative_wzy_dependent_NO_OPX				kraken:taxid|3013496|HumGut_13496_1 GUT_GENOME140043_1
GUT_GENOME140043	krakentaxid3013496HumGut_13496_45	1	0	29320	True	putative_wzy_dependent_NO_OPX				kraken:taxid|3013496|HumGut_13496_45 GUT_GENOME140043_45
GUT_GENOME000758	krakentaxid3005622HumGut_5622_16	1	30353	65390	True	putative_wzy_dependent				kraken:taxid|3005622|HumGut_5622_16 GUT_GENOME000758_16
GUT_GENOME000758	krakentaxid3005622HumGut_5622_46	1	18422	33982	True	putative_wzy_dependent				kraken:taxid|3005622|HumGut_5622_46 GUT_GENOME000758_46
GUT_GENOME118228	krakentaxid3010090HumGut_10090_23	1	5659	30286	True	putative_wzy_dependent				kraken:taxid|3010090|HumGut_10090_23 GUT_GENOME118228_23
GUT_GENOME118228	krakentaxid3010090HumGut_10090_110	1	0	14576	True	putative_wzy_dependent				kraken:taxid|3010090|HumGut_10090_110 GUT_GENOME118228_110
GCF_004353185.1_ASM435318v1_genomic	krakentaxid3021495HumGut_21495_4	1	2103	26974	True	putative_wzy_dependent_NO_OPX				kraken:taxid|3021495|HumGut_21495_4 NZ_SMUS01000004.1 Clostridium cuniculi strain 1 CLCU001.0001.d01_CNTG00004, whole genome shotgun sequence
GCF_004353185.1_ASM435318v1_genomic	krakentaxid3021495HumGut_21495_6	1	60418	106069	False	putative_wzy_dependent_NO_OPX				kraken:taxid|3021495|HumGut_21495_6 NZ_SMUS01000006.1 Clostridium cuniculi strain 1 CLCU001.0001.d01_CNTG00006, whole genome shotgun sequence
GCF_004353185.1_ASM435318v1_genomic	krakentaxid3021495HumGut_21495_6	2	114117	155011	True	putative_ABC_dependent_NO_OPX				kraken:taxid|3021495|HumGut_21495_6 NZ_SMUS01000006.1 Clostridium cuniculi strain 1 CLCU001.0001.d01_CNTG00006, whole genome shotgun sequence
GCF_004353185.1_ASM435318v1_genomic	krakentaxid3021495HumGut_21495_14	1	31626	93603	True	putative_wzy_dependent_NO_OPX				kraken:taxid|3021495|HumGut_21495_14 NZ_SMUS01000014.1 Clostridium cuniculi strain 1 CLCU001.0001.d01_CNTG00014, whole genome shotgun sequence
GUT_GENOME074035	krakentaxid3007107HumGut_7107_197	1	0	5613	True	cellulose-like				kraken:taxid|3007107|HumGut_7107_197 GUT_GENOME074035_197
GCF_001588645.1_ASM158864v1_genomic	krakentaxid3015725HumGut_15725_5	1	2270	16995	False	alpha-glucansucrase				kraken:taxid|3015725|HumGut_15725_5 NZ_LAYF01000013.1 Streptococcus oralis strain JPIIBV3 Contig13, whole genome shotgun sequence
GCF_001588645.1_ASM158864v1_genomic	krakentaxid3015725HumGut_15725_45	1	74675	99246	True	lactobacillus_eps				kraken:taxid|3015725|HumGut_15725_45 NZ_LAYF01000005.1 Streptococcus oralis strain JPIIBV3 Contig5, whole genome shotgun sequence
GCF_900104265.1_IMG-taxon_2663762796_annotated_assembly_genomic	krakentaxid3026411HumGut_26411_9	1	154524	180271	False	alginate				kraken:taxid|3026411|HumGut_26411_9 NZ_FNJJ01000011.1 Pseudomonas guguanensis strain JCM 18416, whole genome shotgun sequence
