file	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_%	record_desc
MFD05502.bin.c.1	contig_5934	1	550003	603054	False	putative_wzy_dependent				contig_5934
MFD05502.bin.c.1	contig_5934	2	2185397	2235174	False	putative_ABC_dependent_NO_OPX				contig_5934
MFD05502.bin.c.1	contig_5934	3	2649832	2709206	False	putative_wzy_dependent				contig_5934
MFD05502.bin.c.1	contig_5934	4	2941911	2990809	False	putative_wzy_dependent				contig_5934
MFD05502.bin.c.1	contig_5934	5	4570147	4625846	False	putative_wzy_dependent				contig_5934
MFD02199.bin.2.95	contig_27722	1	171682	186696	True	putative_wzy_dependent_NO_OPX				contig_27722
MFD03323.bin.3.142	contig_26719	1	55968	127969	False	putative_wzy_dependent				contig_26719
MFD03323.bin.3.142	contig_26895	1	89768	113696	True	putative_ABC_or_wzy_dependent				contig_26895
MFD10043.bin.2.4	contig_7484	1	570016	585898	False	PNAG-pga				contig_7484
MFD10043.bin.2.4	contig_7484	2	1518077	1549726	False	putative_wzy_dependent				contig_7484
MFD10043.bin.2.4	contig_7484	3	1871094	1912327	False	putative_wzy_dependent_NO_OPX				contig_7484
MFD10043.bin.2.4	contig_7484	4	2569322	2592148	False	pel				contig_7484
MFD09222.bin.1.130	contig_41420	1	2161873	2219271	False	putative_wzy_dependent_NO_OPX				contig_41420
MFD09222.bin.1.130	contig_50536	1	39487	72308	False	putative_wzy_dependent_NO_OPX				contig_50536
MFD09222.bin.1.130	contig_56941	1	649295	725656	False	putative_ABC_dependent_NO_OPX				contig_56941
MFD05684.bin.2.73	contig_81095	1	534296	568926	False	putative_wzy_dependent				contig_81095
MFD05684.bin.2.73	contig_89824	1	12613	76682	True	putative_wzy_dependent				contig_89824
MFD02581.bin.1.212	contig_10236	1	476938	538976	False	putative_wzy_dependent_NO_OPX				contig_10236
MFD02581.bin.1.212	contig_10236	2	799039	825847	False	putative_wzy_dependent_NO_OPX				contig_10236
MFD02581.bin.1.212	contig_10236	3	1018925	1078033	False	putative_ABC_dependent_NO_OPX				contig_10236
MFD02581.bin.1.212	contig_21995	1	190087	238409	False	putative_wzy_dependent_NO_OPX				contig_21995
MFD04212.bin.1.158	contig_15725	1	81419	112089	False	putative_wzy_dependent_NO_OPX				contig_15725
MFD09018.bin.2.20	contig_11311	1	166352	212496	False	putative_ABC_dependent_NO_OPX				contig_11311
MFD10007.bin.2.196	contig_27075	1	182463	219973	False	putative_wzy_dependent_NO_OPX				contig_27075
MFD10007.bin.2.196	contig_27075	2	280334	310933	False	putative_wzy_dependent				contig_27075
MFD06526.bin.2.110	contig_3542	1	561107	594232	False	putative_wzy_dependent				contig_3542
MFD06526.bin.2.110	contig_3542	2	817254	872795	False	putative_wzy_dependent				contig_3542
MFD06526.bin.2.110	contig_5409	1	316861	340969	False	putative_wzy_dependent				contig_5409
MFD00031.bin.2.51	contig_54275	1	155641	188354	False	putative_wzy_dependent_NO_OPX				contig_54275
MFD04967.bin.2.22	contig_19287	1	554124	601507	False	putative_ABC_dependent_NO_OPX				contig_19287
MFD09495.bin.2.6	contig_4431	1	284864	344936	False	putative_ABC_dependent				contig_4431
MFD09495.bin.2.6	contig_4431	2	392997	425980	False	putative_wzy_dependent				contig_4431
