file	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_%	record_desc
OceanDNA-b41242	OceanDNA-b41242_00001	1	13982	39856	True	alginate				OceanDNA-b41242_00001 megahit:Arc_Ant_S06_N0000011
OceanDNA-b41242	OceanDNA-b41242_00002	1	163480	189223	False	alginate				OceanDNA-b41242_00002 megahit:Arc_Ant_S06_N0000019
GOMC.bin.8588	k63_383928	1	35447	66503	False	wzy_dependent_putative				k63_383928
GOMC.bin.8588	k63_245702	1	36259	53241	False	cellulose-like				k63_245702
GCA_002954645.1_ASM295464v1_genomic	MSCL01000001.1	1	21814	77671	False	wzy_dependent_putative				MSCL01000001.1 Polaribacter gangjinensis strain KCTC 22729 scaffold00001, whole genome shotgun sequence
GOMC.bin.2175	SRR5189949_k53_43482_1	1	0	12112	True	wzy_dependent_putative_NO_OPX				SRR5189949_k53_43482_1
GOMC.bin.11744	k63_100279	1	28087	65285	True	wzy_dependent_putative				k63_100279
GOMC.bin.11744	k63_229348	1	0	27014	True	wzy_dependent_putative				k63_229348
GOMC.bin.15938	k141_282837	1	199710	259777	False	wzy_dependent_putative				k141_282837
GOMC.bin.15938	k141_282837	2	331418	372488	False	wzy_dependent_putative				k141_282837
GOMC.bin.15938	k141_527095	1	70678	101509	False	wzy_dependent_putative_NO_OPX				k141_527095
GOMC.bin.15780	k63_174	1	0	30565	True	ABC_dependent_putative				k63_174
GCA_002863765.1_ASM286376v1_genomic	CP019174.1	1	228280	252486	False	type-2-cellulose				CP019174.1 Salmonella enterica subsp. enterica serovar Give strain CFSAN024229 chromosome, complete genome
GCA_002863765.1_ASM286376v1_genomic	CP019174.1	2	1715968	1747177	False	colanic				CP019174.1 Salmonella enterica subsp. enterica serovar Give strain CFSAN024229 chromosome, complete genome
GCA_001601315.1_ASM160131v1_genomic	LPZR01000074.1	1	10446	20675	True	cellulose-like				LPZR01000074.1 Tistrella mobilis strain MCCC 1A02139 contig165, whole genome shotgun sequence
GOMC.bin.9899	k63_89393	1	0	20727	True	wzy_dependent_putative_NO_OPX				k63_89393
OceanDNA-b41592	OceanDNA-b41592_00004	1	48706	79959	False	wzy_dependent_putative				OceanDNA-b41592_00004 megahit:SRS2350596_N0000028
