genome_id	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_%	record_desc	Category	n_Category	MAG_status.x	OLD_gtdb_classification	gtdbtk_organism_name	ncbi_organism_name	Contamination (%)	Completeness (%)	cluster95	Database	Domain	Phylum	Class	Order	Family	Genus	Species	MAG_status.y	shared_name	product_1
GCF_002159835.1_ASM215983v1_genomic	krakentaxid3012715HumGut_12715_4	1	72566	115799	TRUE	putative_ABC_dependent_NO_OPX				kraken:taxid|3012715|HumGut_12715_4 NZ_NFJL01000012.1 Blautia sp. An249 An249_contig_12, whole genome shotgun sequence	Uncharacterised	1	HQ	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp002159835	s__Blautia_A sp002159835	Blautia sp. An249	0.949367088607595	99.367088607595	1669	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A avistercoris	HQ	krakentaxid3012715HumGut_12715_4.region001.gbk_region_1	Uncharacterised
GUT_GENOME231257	krakentaxid3019174HumGut_19174_3	1	89271	120418	FALSE	colanic				kraken:taxid|3019174|HumGut_19174_3 GUT_GENOME231257_3	Wzx/Wzy	3	HQ	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter_D;s__Enterobacter_D kobei_A	s__Enterobacter_D kobei_A	Enterobacter kobei	1.25	98.64	2872	HumGut	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter_D	s__Enterobacter_D kobei_A	HQ	krakentaxid3019174HumGut_19174_3.region001.gbk_region_1	colanic
GUT_GENOME231257	krakentaxid3019174HumGut_19174_17	1	33483	53229	FALSE	putative_wzy_dependent_NO_OPX				kraken:taxid|3019174|HumGut_19174_17 GUT_GENOME231257_17	Uncharacterised	1	HQ	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter_D;s__Enterobacter_D kobei_A	s__Enterobacter_D kobei_A	Enterobacter kobei	1.25	98.64	2872	HumGut	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter_D	s__Enterobacter_D kobei_A	HQ	krakentaxid3019174HumGut_19174_17.region001.gbk_region_1	Uncharacterised
GUT_GENOME231257	krakentaxid3019174HumGut_19174_30	1	33019	66049	FALSE	cellulose-type-1				kraken:taxid|3019174|HumGut_19174_30 GUT_GENOME231257_30	Synthase	2	HQ	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter_D;s__Enterobacter_D kobei_A	s__Enterobacter_D kobei_A	Enterobacter kobei	1.25	98.64	2872	HumGut	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter_D	s__Enterobacter_D kobei_A	HQ	krakentaxid3019174HumGut_19174_30.region001.gbk_region_1	cellulose-type-1
GUT_GENOME231257	krakentaxid3019174HumGut_19174_30	1	33019	66049	FALSE	cellulose-type-2				kraken:taxid|3019174|HumGut_19174_30 GUT_GENOME231257_30	Synthase	2	HQ	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter_D;s__Enterobacter_D kobei_A	s__Enterobacter_D kobei_A	Enterobacter kobei	1.25	98.64	2872	HumGut	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter_D	s__Enterobacter_D kobei_A	HQ	krakentaxid3019174HumGut_19174_30.region001.gbk_region_1	cellulose-type-2
GUT_GENOME231257	krakentaxid3019174HumGut_19174_36	1	83484	96656	TRUE	PNAG-pga				kraken:taxid|3019174|HumGut_19174_36 GUT_GENOME231257_36	Synthase	2	HQ	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter_D;s__Enterobacter_D kobei_A	s__Enterobacter_D kobei_A	Enterobacter kobei	1.25	98.64	2872	HumGut	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter_D	s__Enterobacter_D kobei_A	HQ	krakentaxid3019174HumGut_19174_36.region001.gbk_region_1	PNAG-pga
GUT_GENOME231257	krakentaxid3019174HumGut_19174_44	1	70789	86370	FALSE	PNAG-pga				kraken:taxid|3019174|HumGut_19174_44 GUT_GENOME231257_44	Synthase	2	HQ	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter_D;s__Enterobacter_D kobei_A	s__Enterobacter_D kobei_A	Enterobacter kobei	1.25	98.64	2872	HumGut	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter_D	s__Enterobacter_D kobei_A	HQ	krakentaxid3019174HumGut_19174_44.region001.gbk_region_1	PNAG-pga
GCF_014287855.1_ASM1428785v1_genomic	krakentaxid3011369HumGut_11369_1	1	112172	144987	FALSE	PNAG_eps				kraken:taxid|3011369|HumGut_11369_1 NZ_JACOOV010000001.1 Blautia sp. M16 M6_ctg001, whole genome shotgun sequence	Wzx/Wzy	3	HQ	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp001916075	s__Clostridium sp001916075	Clostridium sp. 29_15	0.967741935483871	99.1705069124424	1455	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium lentum	HQ	krakentaxid3011369HumGut_11369_1.region001.gbk_region_1	PNAG_eps
GCF_014287855.1_ASM1428785v1_genomic	krakentaxid3011369HumGut_11369_1	2	172694	231210	FALSE	putative_wzy_dependent_NO_OPX				kraken:taxid|3011369|HumGut_11369_1 NZ_JACOOV010000001.1 Blautia sp. M16 M6_ctg001, whole genome shotgun sequence	Uncharacterised	1	HQ	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp001916075	s__Clostridium sp001916075	Clostridium sp. 29_15	0.967741935483871	99.1705069124424	1455	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium lentum	HQ	krakentaxid3011369HumGut_11369_1.region002.gbk_region_1	Uncharacterised
GCF_000449425.2_ASM44942v2_genomic	krakentaxid3029805HumGut_29805_88	1	67273	84289	FALSE	cellulose-gram-positive				kraken:taxid|3029805|HumGut_29805_88 NZ_AVHW01000089.1 Clostridioides difficile CD160 gcdCD160.contig.89, whole genome shotgun sequence	Synthase	2	HQ	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile_E	s__Clostridioides difficile_E	Clostridioides difficile CD160	0.721153846153846	99.3006993006993	5018	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Clostridioides	s__Clostridioides difficile_E	HQ	krakentaxid3029805HumGut_29805_88.region001.gbk_region_1	cellulose-gram-positive
