genome_id	exoPS_GCF
099-UY-16.bin.1.78_contig_1883.region001	MiDAS_GCF_1
099-UY-16.bin.1.31_contig_35780.region001	MiDAS_GCF_1
099-UY-16.bin.1.292_contig_2969.region001	MiDAS_GCF_1
099-UY-16.bin.1.230_contig_44951.region001	MiDAS_GCF_1
099-UY-16.bin.1.104_contig_2982.region001	MiDAS_GCF_1
097-US2-29.bin.2.1_contig_24435.region001	MiDAS_GCF_1
097-US2-29.bin.1.641_contig_3890.region001	MiDAS_GCF_1
097-US2-29.bin.1.370_contig_168.region001	MiDAS_GCF_1
096-US2-26.bin.1.37_contig_5030.region001	MiDAS_GCF_1
095-US2-13.bin.1.198_contig_4565.region002	MiDAS_GCF_1
094-US2-01.bin.1.206_contig_160881.region001	MiDAS_GCF_1
093-US1-47.bin.1.82_contig_12206.region002	MiDAS_GCF_1
093-US1-47.bin.1.585_contig_43010.region001	MiDAS_GCF_1
093-US1-47.bin.1.520_contig_776.region001	MiDAS_GCF_1
092-US1-44.bin.1.556_contig_138.region001	MiDAS_GCF_1
092-US1-44.bin.1.26_contig_10871.region001	MiDAS_GCF_1
092-US1-44.bin.1.172_contig_5654.region001	MiDAS_GCF_1
090-US1-124.bin.3.266_contig_7347.region001	MiDAS_GCF_1
090-US1-124.bin.1.454_contig_15071.region001	MiDAS_GCF_1
090-US1-124.bin.1.385_contig_7085.region001	MiDAS_GCF_1
090-US1-124.bin.1.320_contig_53019.region001	MiDAS_GCF_1
090-US1-124.bin.1.255_contig_45513.region001	MiDAS_GCF_1
090-US1-124.bin.1.128_contig_19462.region001	MiDAS_GCF_1
089-SG-01.bin.1.137_contig_39005.region001	MiDAS_GCF_1
077-MX-09.bin.2.218_contig_204384.region001	MiDAS_GCF_1
077-MX-09.bin.1.99_contig_88290.region001	MiDAS_GCF_1
077-MX-09.bin.1.440_contig_84455.region001	MiDAS_GCF_1
077-MX-09.bin.1.399_contig_88301.region001	MiDAS_GCF_1
077-MX-09.bin.1.375_contig_20606.region001	MiDAS_GCF_1
077-MX-09.bin.1.361_contig_109050.region002	MiDAS_GCF_1
077-MX-09.bin.1.256_contig_92494.region001	MiDAS_GCF_1
076-IN-18.bin.1.5_contig_1156.region001	MiDAS_GCF_1
076-IN-18.bin.1.572_contig_87014.region001	MiDAS_GCF_1
076-IN-18.bin.1.539_contig_301289.region001	MiDAS_GCF_1
076-IN-18.bin.1.529_contig_78622.region001	MiDAS_GCF_1
076-IN-18.bin.1.355_contig_10501.region001	MiDAS_GCF_1
076-IN-18.bin.1.340_contig_298901.region001	MiDAS_GCF_1
076-IN-18.bin.1.302_contig_33055.region001	MiDAS_GCF_1
076-IN-18.bin.1.101_contig_168568.region001	MiDAS_GCF_1
074-IN-03.bin.2.33_contig_12346.region001	MiDAS_GCF_1
073-IL-01.bin.2.443_contig_92462.region001	MiDAS_GCF_1
073-IL-01.bin.1.537_contig_153591.region001	MiDAS_GCF_1
073-IL-01.bin.1.167_contig_66698.region001	MiDAS_GCF_1
072-HK-05.bin.1.88_contig_3729.region001	MiDAS_GCF_1
072-HK-05.bin.1.550_contig_6862.region001	MiDAS_GCF_1
072-HK-05.bin.1.194_contig_27759.region001	MiDAS_GCF_1
071-HK-01.bin.2.140_contig_16423.region001	MiDAS_GCF_1
071-HK-01.bin.1.8_contig_31619.region001	MiDAS_GCF_1
071-HK-01.bin.1.52_contig_39160.region001	MiDAS_GCF_1
071-HK-01.bin.1.449_contig_127067.region001	MiDAS_GCF_1
071-HK-01.bin.1.363_contig_101169.region001	MiDAS_GCF_1
071-HK-01.bin.1.358_contig_127709.region001	MiDAS_GCF_1
071-HK-01.bin.1.345_contig_18019.region001	MiDAS_GCF_1
067-CH-23.bin.2.260_contig_36100.region001	MiDAS_GCF_1
067-CH-23.bin.2.151_contig_15146.region001	MiDAS_GCF_1
067-CH-23.bin.1.88_contig_5281.region002	MiDAS_GCF_1
067-CH-23.bin.1.381_contig_110852.region001	MiDAS_GCF_1
067-CH-23.bin.1.378_contig_2512.region001	MiDAS_GCF_1
067-CH-23.bin.1.322_contig_5699.region002	MiDAS_GCF_1
067-CH-23.bin.1.14_contig_3711.region001	MiDAS_GCF_1
067-CH-23.bin.1.146_contig_9554.region001	MiDAS_GCF_1
066-CH-22.bin.1.28_contig_38177.region001	MiDAS_GCF_1
065-CA-03.bin.1.640_contig_8687.region001	MiDAS_GCF_1
064-CA-01.bin.1.25_contig_33149.region002	MiDAS_GCF_1
062-AU-26.bin.2.356_contig_15919.region001	MiDAS_GCF_1
062-AU-26.bin.1.682_contig_27808.region001	MiDAS_GCF_1
061-AU-11.bin.1.16_contig_29346.region001	MiDAS_GCF_1
