HumGut_name	HumGut_tax_id	cluster975	cluster95	gtdbtk_tax_id	gtdbtk_organism_name	gtdbtk_taxonomy	ncbi_tax_id	ncbi_organism_name	ncbi_rank	prevalence_score	metagenomes_present	completeness	contamination	GC	genome_size	source	genome_type	cluster975_size	cluster95_size	genome_file	ftp_download
HumGut_1	3000001	1	1	4020169	s__Phocaeicola vulgatus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	435590	Bacteroides vulgatus ATCC 8482	strain	0.9537932014714204	2511	57.71	0.03	0.4338	2552229	UHGG	MAG	4398	5904	GUT_GENOME080427.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-024/MGYG-HGUT-02478/genomes8/GUT_GENOME080427.gff.gz
HumGut_2	3000002	2	1	4020169	s__Phocaeicola vulgatus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	435590	Bacteroides vulgatus ATCC 8482	strain	0.9499776477079797	2514	73.06	2.39	0.42979999999999996	2741740	UHGG	MAG	1368	5904	GUT_GENOME228281.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-024/MGYG-HGUT-02478/genomes9/GUT_GENOME228281.gff.gz
HumGut_3	3000003	3	1	4020169	s__Phocaeicola vulgatus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	435590	Bacteroides vulgatus ATCC 8482	strain	0.9497262371250708	2484	62.62	1.95	0.4386	2906451	UHGG	MAG	3	5904	GUT_GENOME088923.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-024/MGYG-HGUT-02478/genomes7/GUT_GENOME088923.gff.gz
HumGut_4	3000004	4	2	4020107	s__Bacteroides uniformis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	411479	Bacteroides uniformis ATCC 8492	strain	0.9484678950198075	2330	81.18	4.63	0.4857	3442629	UHGG	MAG	5822	6195	GUT_GENOME069448.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01346/genomes7/GUT_GENOME069448.gff.gz
HumGut_5	3000005	5	1	4020132	s__Phocaeicola dorei	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei	483217	Bacteroides dorei DSM 17855	strain	0.9448980594227504	2456	65.81	1.33	0.4301	2832714	UHGG	MAG	95	5904	GUT_GENOME076412.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-024/MGYG-HGUT-02478/genomes3/GUT_GENOME076412.gff.gz
HumGut_6	3000006	6	1	4020169	s__Phocaeicola vulgatus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	435590	Bacteroides vulgatus ATCC 8482	strain	0.9425553435200905	2509	76.12	2.74	0.4243	2964152	UHGG	MAG	13	5904	GUT_GENOME071646.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-024/MGYG-HGUT-02478/genomes6/GUT_GENOME071646.gff.gz
HumGut_7	3000007	7	2	4020107	s__Bacteroides uniformis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	411479	Bacteroides uniformis ATCC 8492	strain	0.9421496293152235	2265	62.49	1.5	0.4744	1958913	UHGG	MAG	243	6195	GUT_GENOME072460.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01346/genomes5/GUT_GENOME072460.gff.gz
HumGut_8	3000008	8	3	4027194	s__Blautia_A wexlerae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	1121115	Blautia wexlerae DSM 19850	strain	0.9416404844368987	2139	66.22	0.65	0.4288	1607815	UHGG	MAG	1671	2298	GUT_GENOME087869.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01338/genomes2/GUT_GENOME087869.gff.gz
HumGut_9	3000009	9	2	4020107	s__Bacteroides uniformis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	411479	Bacteroides uniformis ATCC 8492	strain	0.9415269029428409	2271	62.59	0.68	0.48829999999999996	2519746	UHGG	MAG	3	6195	GUT_GENOME229217.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01346/genomes7/GUT_GENOME229217.gff.gz
HumGut_10	3000010	10	2	4020107	s__Bacteroides uniformis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	411479	Bacteroides uniformis ATCC 8492	strain	0.9412218271080928	2279	63.94	1.53	0.4843	2063688	UHGG	MAG	7	6195	GUT_GENOME086324.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01346/genomes7/GUT_GENOME086324.gff.gz
