accession	ambiguous_bases	checkm2_completeness	checkm2_contamination	checkm2_model	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	domain	phylum	class	order	family	genus	species	gtdb_type_designation_ncbi_taxa	gtdb_type_designation_ncbi_taxa_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
RS_GCF_020782245.1	0	99.98	0.42	Specific	99.66	0.34	569	o__Sphingomonadales (UID3310)	293	0	3687925	90.9792307559472	60	2568987	63.3756003937251	4053590	RS_GCF_020782245.1	t	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium soli	not type material	none	f	6	6	542432	542432	2918	2	2592	NZ_JAJGNP010000038.1	2918	1	110	NZ_JAJGNP010000038.1	2587	4765	0	99.923	AAQG01000001.527098.531423	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;Sphingomonas sp. SKA58	67559	67559	t	f	f	211679	211679	Contig	ASM2078224v1	na	PRJNA224116	SAMN22211688	60	211679	China: Wuhan	2021-11-06	GCA_020782245.1	none	full	na	seawater layers	none	0	0	Sphingobium soli	none	representative genome	4	none	none	none	none	none	2021/11/06	0	1591116	1	FXH275-2	Institute of Oceanology Chinese Academy of Sciences	1591116	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium soli	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium soli	0	4053590	11	56	na	4053590	0	JAJGNP000000000.1	3869	60	1734	1	none	none	none	none	none	none	1486	NZ_JAJGNP010000041.1	1489	2682	0	99.261	ATDP01000095.26818.28309	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;Sphingobium lactosutens DS20	0	19	61	0
RS_GCF_032337075.1	0	100	0.06	Specific	99.59	0.11	569	o__Sphingomonadales (UID3310)	293	0	2252208	93.0701383195366	14	1524981	63.0182436989236	2419904	RS_GCF_032337075.1	t	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium sp032337075	not type material	none	f	3	3	514498	514498	312142	1	2769	NZ_JAVYAB010000004.1	312142	1	110	NZ_JAVYAB010000004.1	2774	4553	0	96.359	KT342858.11677.14453	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;uncultured bacterium 5H7	172850	172850	t	f	f	322316	322316	Contig	ASM3233707v1	na	PRJNA224116	SAMN37542096	14	322316	none	2023-10-03	GCA_032337075.1	none	full	na	none	none	0	0	Novosphingobium sp. APW14	none	na	3	none	none	none	none	none	2023/10/03	0	3077237	1	APW14	Dongguk university	3077237	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;x__unclassified Novosphingobium;s__Novosphingobium sp. APW14	0	2419904	11	44	na	2419904	0	JAVYAB000000000.1	2353	14	312142	1	none	none	none	none	none	none	1482	NZ_JAVYAB010000004.1	1385	2551	0	99.928	AB599904.1.1384	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;alpha proteobacterium INB3	0	19	44	0
RS_GCF_023516455.1	0	100	0.02	Specific	99.12	0.09	345	c__Alphaproteobacteria (UID3305)	226	0	2556646	92.0183788702019	6	1735635	62.4686871042698	2778408	RS_GCF_023516455.1	t	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomicrobium	Sphingomicrobium caseinilyticum	type strain of species	LPSN	f	2	2	1335928	1335928	1065865	1	2771	NZ_JAMGBA010000002.1	1065865	1	110	NZ_JAMGBA010000002.1	2775	4612	0	96.721	JFBW01000002.287361.290140	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas jaspsi DSM 18422	463068	463068	t	f	f	1065865	1065865	Contig	ASM2351645v1	na	PRJNA224116	SAMN24662248	6	1065865	South Korea: Seoul	2022-05-22	GCA_023516455.1	none	full	na	wet soil	none	0	0	Sphingomonas caseinilyticus	none	representative genome	3	none	none	none	none	none	2022/05/22	0	2908205	1	NSE70-1	Hankyong National University	2908205	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas caseinilyticus	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas caseinilyticus	0	2778408	11	46	assembly from type material	2778408	0	JAMGBA000000000.1	2720	6	1065865	1	none	none	none	none	none	none	1482	NZ_JAMGBA010000002.1	1465	2634	0	99.113	AUOQ02000015.13719.15183	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas sp. JGI 0001002-A17	0	19	47	0
RS_GCF_019711655.1	0	100	0.02	Specific	99.82	0.55	569	o__Sphingomonadales (UID3310)	293	16.67	2867243	91.4300592220143	8	2038079	64.9898469258252	3135996	RS_GCF_019711655.1	t	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Qipengyuania	Qipengyuania mesophila	type strain of species	LPSN	f	1	1	1905267	1905267	1905267	3	2771	NZ_JAIGNU010000001.1	1905267	2	110	NZ_JAIGNU010000001.1	2771	4905	0	98.629	LXYL01000010.701.3499	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Erythrobacter;Erythrobacter sp. EhN03	391999	391999	t	f	f	1905267	1905267	Contig	ASM1971165v1	na	PRJNA224116	SAMN20702960	8	1905267	China: Huizhou	2021-08-22	GCA_019711655.1	none	full	na	Tidal flat sediment	22.7042 N 114.5319 E	0	0	Qipengyuania mesophila	none	representative genome	6	none	none	none	none	none	2021/08/22	0	2867246	2	YG27	Guangdong Academy of Sciences	2867246	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Qipengyuania;s__Qipengyuania mesophila	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Qipengyuania;s__Qipengyuania mesophila	0	3135996	11	49	assembly from type material	3135996	0	JAIGNU000000000.1	3019	8	1905267	2	none	none	none	none	none	none	1483	NZ_JAIGNU010000001.1	1484	2645	0	98.854	CP022528.384422.385916	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Qipengyuania;Erythrobacter flavus	0	19	49	0
RS_GCF_000331245.1	0	100	0.12	Specific	99.14	1.02	569	o__Sphingomonadales (UID3310)	293	0	3290625	90.9963619429813	28	2299918	63.600127868468	3616216	RS_GCF_000331245.1	t	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Blastomonas	Blastomonas sp000331245	not type material	none	f	3	3	895180	895180	350459	1	2765	NZ_ANFZ01000002.1	350459	1	110	NZ_ANFZ01000002.1	2765	5107	0	100	ANFZ01000002.5937.8723	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Blastomonas;Blastomonas sp. AAP53	129150	129150	t	f	f	350459	350459	Contig	BlaAAP53ver1.0	na	PRJNA224116	SAMN02470020	28	350459	China	2013-01-09	GCA_000331245.1	none	full	na	surface water from a freshwater lake in the southern Gobi Desert in Inner Mongolia	none	0	1	Blastomonas sp. AAP53	3345	na	3	none	none	none	none	none	2013/01/09	0	1248760	1	AAP53	Institute of Microbiology, ASCR	1248760	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Blastomonas;s__	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Blastomonas;x__unclassified Blastomonas;s__Blastomonas sp. AAP53	0	3616216	11	42	na	3616216	0	ANFZ00000000.1	3352	28	350459	1	1477	2612	0	98.578	4359203	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Blastomonas;s__	1486	NZ_ANFZ01000002.1	1486	2684	0	99.26	CP020083.1172265.1173759	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Blastomonas;Blastomonas fulva	0	19	42	0
GB_GCA_017302615.1	0	99.84	0.04	Specific	99.23	0.05	569	o__Sphingomonadales (UID3310)	293	0	2785512	92.2692880240247	33	1983139	65.6909119697479	3018894	GB_GCA_017302615.1	t	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium sp017302615	not type material	none	f	6	6	456896	456896	141194	1	2768	JAFLDB010000008.1	141194	1	110	JAFLDB010000008.1	2771	4650	0	97.005	KT342858.11677.14453	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;uncultured bacterium 5H7	91481	91481	t	f	f	162539	162539	Contig	ASM1730261v1	na	PRJNA704939	SAMN18059884	33	162539	USA: WI	2021-03-08	GCA_017302615.1	derived from metagenome	full	UWPOB_SPHING2	activated sludge	43.071 N 89.401 W	0	0	Sphingomonadales bacterium	none	na	3	none	none	none	none	none	2021/03/08	0	1978525	1	UWPOB_SPHING2	University of Wisconsin-Madison	1978525	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__;g__;s__	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;x__unclassified Sphingomonadales;s__Sphingomonadales bacterium	0	3018894	11	43	na	3018894	0	JAFLDB000000000.1	2966	33	141194	1	none	none	none	none	none	none	1486	JAFLDB010000008.1	1455	2573	0	98.625	FR690819.1.1453	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;uncultured bacterium	0	19	44	0
RS_GCF_019793235.1	0	99.87	0.01	Specific	99.64	1.1	569	o__Sphingomonadales (UID3310)	293	0	2802023	91.1710865734269	6	1988779	64.7100835305112	3073368	RS_GCF_019793235.1	t	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis jiangsuensis	type strain of species	LPSN	f	1	1	1705527	1705527	1705527	2	2771	NZ_JAILXK010000001.1	1705527	1	110	NZ_JAILXK010000001.1	2774	4891	0	98.522	LNSI01000005.21924.24723	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis;Sphingopyxis sp. H100	512228	512228	t	f	f	1705527	1705527	Contig	ASM1979323v1	na	PRJNA224116	SAMN20857034	6	1705527	China: Jiangsu	2021-08-28	GCA_019793235.1	none	full	na	surface water of the Yellow Sea	none	0	0	Sphingopyxis jiangsuensis	none	na	3	none	none	none	none	none	2021/08/28	0	2871171	1	XHP0097	Hohai University	2871171	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__Sphingopyxis jiangsuensis	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__Sphingopyxis jiangsuensis	0	3073368	11	45	assembly from type material	3073368	0	JAILXK000000000.1	2900	6	1705527	3	none	none	none	none	none	none	1486	NZ_JAILXK010000001.1	1487	2612	0	98.386	CP012700.60855.62351	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis;Sphingopyxis macrogoltabida	0	19	46	0
RS_GCF_014489515.1	0	90.61	1.14	General	94.61	0	345	c__Alphaproteobacteria (UID3305)	226	0	2477291	89.8537735421333	1	1733336	62.8697962477671	2757025	RS_GCF_014489515.1	t	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomicrobium	Sphingomicrobium sediminicola_A	not type material	none	f	1	1	2757025	2757025	2757025	1	2762	NZ_CP060782.1	2757025	1	110	NZ_CP060782.1	2779	4242	0	94.422	JONN01000001.1921662.1924453	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas astaxanthinifaciens DSM 22298	2757025	2757025	t	f	f	2757025	2757025	Complete Genome	ASM1448951v1	na	PRJNA224116	SAMN15892487	none	none	South Korea	2020-09-06	GCA_014489515.1	none	full	na	freshwater sediment	none	1	0	Sphingomonas sediminicola	none	representative genome	3	1	1	2757025	2757025	2757025	2020/09/06	0	386874	1	KACC 15039	Kyung Hee University	386874	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas sediminicola	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas sediminicola	0	2757025	11	46	na	2757025	0	na	3284	1	2757025	1	none	none	none	none	none	none	1483	NZ_CP060782.1	1440	2652	0	99.931	AB258386.1.1440	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas sediminicola	0	19	45	0
RS_GCF_002556635.1	0	99.99	1.22	Specific	99.42	0.14	569	o__Sphingomonadales (UID3310)	293	0	4546640	90.4890057203451	57	3307659	65.8303217699117	5024522	RS_GCF_002556635.1	t	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium sp002556635	not type material	none	f	6	6	788089	788089	143814	1	2768	NZ_MWMO01000013.1	143814	1	110	NZ_MWMO01000013.1	2776	4536	0	96.254	CCBH010000005.417.3208	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;Novosphingobium sp. KN65.2	88149	88149	t	f	f	212400	212400	Contig	ASM255663v1	na	PRJNA224116	SAMN06444841	57	212400	Indian Ocean	2017-10-16	GCA_002556635.1	none	full	na	deep-sea water	none	0	0	Novosphingobium sp. PC22D	4672	na	3	none	none	none	none	none	2017/10/16	0	1962403	1	PC22D	The Third Institute of Oceanography, Key Laboratory of Marine Biogenetic Resources	1962403	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;x__unclassified Novosphingobium;s__Novosphingobium sp. PC22D	0	5024522	11	47	na	5024522	0	MWMO00000000.1	4703	57	143814	1	1446	2470	0	97.51	4327616	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__;s__	1483	NZ_MWMO01000013.1	1467	2481	0	97.205	FPLS01030861.22.1488	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;metagenome	0	19	47	0
RS_GCF_023516495.1	0	99.95	0.02	Specific	98.34	0.44	345	c__Alphaproteobacteria (UID3305)	226	0	2079618	93.4189951211054	2	1437626	64.5799258709889	2226119	RS_GCF_023516495.1	t	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomicrobium	Sphingomicrobium anseongensis	type strain of species	LPSN	f	1	1	2225188	2225188	2225188	1	2772	NZ_JAMGBC010000001.1	2225188	1	110	NZ_JAMGBC010000001.1	2780	4314	0	94.784	JONN01000001.1921662.1924453	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas astaxanthinifaciens DSM 22298	1113059	1113059	t	f	f	2225188	2225188	Contig	ASM2351649v1	na	PRJNA224116	SAMN24662250	2	2225188	South Korea: Seoul	2022-05-22	GCA_023516495.1	none	full	na	wet soil	none	0	1	Sphingomonas anseongensis	none	representative genome	3	none	none	none	none	none	2022/05/22	0	2908207	1	RG327	Hankyong National University	2908207	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas anseongensis	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas anseongensis	0	2226119	11	45	assembly from type material	2226119	0	JAMGBC000000000.1	2257	2	2225188	1	none	none	none	none	none	none	1484	NZ_JAMGBC010000001.1	1441	2639	0	99.722	HM447765.1.1441	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;uncultured Sphingomonadaceae bacterium	0	19	45	0
