genome_id	product	start	end	region	contig_edge	gtdb_classification	Database
GOMC.bin.3623	putative_ABC_dependent_NO_OPX	0	41388	1	TRUE	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__WAKM01;s__WAKM01 sp027064525	Global Ocean Microbiome Catalogue
GCA_005310945.1_ASM531094v1_genomic	fructansucrase	902493	913831	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula marismortui	Global Ocean Microbiome Catalogue
MARD_SAMN09668325_REFG_MMP09668325	fructansucrase	155436	166768	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula taiwanensis	Global Ocean Microbiome Catalogue
MARD_SAMN05216559_REFG_MMP05216559	fructansucrase	225616	236894	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomicrobium;s__Halomicrobium zhouii	Global Ocean Microbiome Catalogue
GCA_009831455.1_ASM983145v1_genomic	putative_ABC_dependent_NO_OPX	830445	892241	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Salinirussus;s__Salinirussus salinus	Global Ocean Microbiome Catalogue
GOMC.bin.9277	fructansucrase	0	7949	1	TRUE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__A07HB70;s__	Global Ocean Microbiome Catalogue
GCA_002952775.1_ASM295277v1_genomic	fructansucrase	951412	962708	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halalkaliarchaeum;s__Halalkaliarchaeum desulfuricum	Global Ocean Microbiome Catalogue
GOMC.bin.9243	fructansucrase	0	6036	1	TRUE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobaculum;s__	Global Ocean Microbiome Catalogue
GCA_900129775.1_IMG-taxon_2695420988_annotated_assembly_genomic	fructansucrase	60004	71384	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobaculum;s__Halobaculum gomorrense	Global Ocean Microbiome Catalogue
GCA_900129775.1_IMG-taxon_2695420988_annotated_assembly_genomic	putative_ABC_dependent_NO_OPX	9012	51542	1	TRUE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobaculum;s__Halobaculum gomorrense	Global Ocean Microbiome Catalogue
GCA_004799685.1_ASM479968v1_genomic	fructansucrase	2732682	2744125	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobellus;s__Halobellus limi	Global Ocean Microbiome Catalogue
MARD_SAMN02471641_REFG_MMP02471641	fructansucrase	248834	260142	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloferax;s__Haloferax elongans	Global Ocean Microbiome Catalogue
GCA_009674625.1_ASM967462v1_genomic	fructansucrase	2109735	2121025	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloferax;s__Haloferax marinum	Global Ocean Microbiome Catalogue
GCA_001469875.2_ASM146987v2_genomic	fructansucrase	121514	132801	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloferax;s__Haloferax marisrubri	Global Ocean Microbiome Catalogue
MARD_SAMN08382978_REFG_MMP08382978	fructansucrase	1220135	1231425	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloferax;s__Haloferax prahovense	Global Ocean Microbiome Catalogue
MARD_SAMN04318427_REFG_MMP04318427	fructansucrase	18567	29860	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloferax;s__Haloferax profundi	Global Ocean Microbiome Catalogue
MARD_SAMN04488124_REFG_MMP04488124	fructansucrase	46624	57917	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halogeometricum;s__Halogeometricum limi	Global Ocean Microbiome Catalogue
MARD_SAMN04487947_REFG_MMP04487947	fructansucrase	1005073	1016372	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halogeometricum;s__Halogeometricum rufum	Global Ocean Microbiome Catalogue
MARD_SAMN04487948_REFG_MMP04487948	fructansucrase	55033	68013	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halogranum;s__Halogranum amylolyticum	Global Ocean Microbiome Catalogue
MARD_SAMN04487948_REFG_MMP04487948	fructansucrase	291359	302655	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halogranum;s__Halogranum amylolyticum	Global Ocean Microbiome Catalogue
MARD_SAMN04487949_REFG_MMP04487949	fructansucrase	611196	622495	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halogranum;s__Halogranum gelatinilyticum	Global Ocean Microbiome Catalogue
MARD_SAMN04487950_REFG_MMP04487950	fructansucrase	978739	990026	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halogranum;s__Halogranum rubrum	Global Ocean Microbiome Catalogue
MARD_SAMN05216277_REFG_MMP05216277	putative_wzy_dependent_NO_OPX	0	41565	1	TRUE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halolamina;s__Halolamina pelagica	Global Ocean Microbiome Catalogue
GCA_002025255.1_ASM202525v1_genomic	putative_wzy_dependent_NO_OPX	1518375	1569049	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halolamina;s__Halolamina sp002025255	Global Ocean Microbiome Catalogue
MARD_SAMN04488063_REFG_MMP04488063	fructansucrase	889212	900517	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halopelagius;s__Halopelagius inordinatus	Global Ocean Microbiome Catalogue
GCA_005155585.1_ASM515558v1_genomic	fructansucrase	206922	218254	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloprofundus;s__Haloprofundus halophilus	Global Ocean Microbiome Catalogue
GCA_005155585.1_ASM515558v1_genomic	putative_wzy_dependent_NO_OPX	1181186	1218285	2	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloprofundus;s__Haloprofundus halophilus	Global Ocean Microbiome Catalogue
GCA_005155585.1_ASM515558v1_genomic	putative_wzy_dependent_NO_OPX	1938871	1992759	3	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloprofundus;s__Haloprofundus halophilus	Global Ocean Microbiome Catalogue
GCA_001469955.1_ASM146995v1_genomic	putative_wzy_dependent_NO_OPX	347155	395166	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloprofundus;s__Haloprofundus marisrubri	Global Ocean Microbiome Catalogue
GCA_001469955.1_ASM146995v1_genomic	fructansucrase	141369	152680	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloprofundus;s__Haloprofundus marisrubri	Global Ocean Microbiome Catalogue
MARD_SAMN10386377_REFG_MMP10386377	fructansucrase	1504291	1515698	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sp003721435	Global Ocean Microbiome Catalogue
MARD_SAMN10346711_REFG_MMP10346711	fructansucrase	0	9349	1	TRUE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sp003781945	Global Ocean Microbiome Catalogue
GCA_002906575.1_ASM290657v1_genomic	fructansucrase	3592401	3603721	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Salinigranum;s__Salinigranum rubrum	Global Ocean Microbiome Catalogue
GCA_009176545.1_ASM917654v1_genomic	fructansucrase	566606	577920	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Salinigranum;s__Salinigranum salinum	Global Ocean Microbiome Catalogue
GCA_009176545.1_ASM917654v1_genomic	putative_wzy_dependent_NO_OPX	956443	999979	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Salinigranum;s__Salinigranum salinum	Global Ocean Microbiome Catalogue
GCA_009176545.1_ASM917654v1_genomic	putative_wzy_dependent_NO_OPX	1177118	1235285	2	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Salinigranum;s__Salinigranum salinum	Global Ocean Microbiome Catalogue
MARD_SAMN04488556_REFG_MMP04488556	fructansucrase	29590	40946	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Halostagnicola;s__Halostagnicola kamekurae	Global Ocean Microbiome Catalogue
GCA_008122205.1_ASM812220v1_genomic	fructansucrase	118828	130181	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natronococcus;s__Natronococcus pandeyae	Global Ocean Microbiome Catalogue
GCA_008122205.1_ASM812220v1_genomic	fructansucrase	180561	193304	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natronococcus;s__Natronococcus pandeyae	Global Ocean Microbiome Catalogue
MARD_SAMN10220147_REFG_MMP10220147	fructansucrase	589218	600523	1	FALSE	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__QS-9-68-17;g__Halostella;s__Halostella salina	Global Ocean Microbiome Catalogue
GCA_001017125.1_ASM101712v1_genomic	putative_ABC_dependent_NO_OPX	4445	74462	1	TRUE	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoculleaceae;g__Methanoculleus;s__Methanoculleus sediminis	Global Ocean Microbiome Catalogue
MARD_SAMN02738432_REFG_MMP02738432	putative_ABC_dependent_NO_OPX	6151	53292	1	TRUE	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoculleaceae;g__Methanoculleus;s__Methanoculleus sp000691865	Global Ocean Microbiome Catalogue
