file	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_%	record_desc
C59.CMAG_7	C59_contig_469	1	442243	469907	False	wzy_dependent_putative_NO_OPX				C59_contig_469
C59.CMAG_7	C59_contig_469	2	1777217	1800208	False	wzy_dependent_putative_NO_OPX				C59_contig_469
B37.bin_17	B37_contig_1159	1	30229	52813	True	pel-positive				B37_contig_1159
A37.bin_25	A37_contig_80_corr_1_np12	1	680698	703805	False	wzy_dependent_putative_NO_OPX				A37_contig_80_corr_1_np12
A37.bin_25	A37_contig_80_corr_1_np12	2	1971326	1998990	False	wzy_dependent_putative_NO_OPX				A37_contig_80_corr_1_np12
A103.CMAG_4	A103_contig_203	1	1693002	1731126	False	wzy_dependent_putative_NO_OPX				A103_contig_203
A82.bin_22	A82_contig_284	1	1341062	1406164	False	wzy_dependent_putative_NO_OPX				A82_contig_284
C163.bin_26	C163_contig_351	1	325081	383034	True	wzy_dependent_putative_NO_OPX				C163_contig_351
C163.bin_26	C163_contig_350	1	931206	951480	False	pel-positive				C163_contig_350
A104.bin_16	A104_contig_6160	1	130167	179068	False	wzy_dependent_putative				A104_contig_6160
A104.bin_16	A104_contig_2407	1	1349711	1394310	False	wzy_dependent_putative				A104_contig_2407
B31.CMAG_2	B31_contig_1809	1	896649	928393	False	wzy_dependent_putative_NO_OPX				B31_contig_1809
A46.CMAG_3	A46_contig_1152	1	1205783	1223670	False	pel-positive				A46_contig_1152
C73.bin_16	C73_contig_608	1	2176544	2224064	False	wzy_dependent_putative_NO_OPX				C73_contig_608
B49.bin_3	B49_contig_2611	1	792133	816098	False	wzy_dependent_putative				B49_contig_2611
A19.bin_33	A19_contig_5890	1	380427	411303	False	wzy_dependent_putative_NO_OPX				A19_contig_5890
A19.bin_33	A19_contig_479	1	441356	469754	True	ABC_wzy_dependent_putative_NO_OPX				A19_contig_479
C15.bin_2	C15_contig_1817	1	1668356	1728688	False	wzy_dependent_putative_NO_OPX				C15_contig_1817
B6.bin_3	B6_contig_338	1	20099	37817	False	pel-positive				B6_contig_338
B6.bin_3	B6_contig_79	1	617057	662674	False	wzy_dependent_putative_NO_OPX				B6_contig_79
C62.bin_32	C62_contig_788	1	39661	54011	False	alpha-glucansucrase				C62_contig_788
C62.bin_32	C62_contig_788	2	90827	113888	False	alpha-glucansucrase				C62_contig_788
C62.bin_32	C62_contig_788	3	480330	503498	False	wzy_dependent_putative_NO_OPX				C62_contig_788
C62.bin_32	C62_contig_788	4	557115	566710	True	pel-like				C62_contig_788
C62.bin_32	C62_contig_1923	1	7516	20429	False	fructansucrase				C62_contig_1923
C62.bin_32	C62_contig_1812	1	63038	87541	False	alpha-glucansucrase				C62_contig_1812
A57.bin_11	A57_contig_1876	1	196612	244133	False	wzy_dependent_putative_NO_OPX				A57_contig_1876
C171.CMAG_1	C171_contig_930	1	1145374	1196032	False	wzy_dependent_putative_NO_OPX				C171_contig_930
C171.CMAG_1	C171_contig_930	2	1857787	1875621	False	pel-positive				C171_contig_930
A137.bin_69	A137_contig_138	1	283322	315578	True	wzy_dependent_putative				A137_contig_138
A137.bin_69	A137_contig_1403	1	331649	367743	False	wzy_dependent_putative				A137_contig_1403
C57.bin_30	C57_contig_3439	1	210657	240544	False	wzy_dependent_putative_NO_OPX				C57_contig_3439
A38.bin_4	A38_contig_2473	1	18659	63971	True	wzy_dependent_putative_NO_OPX				A38_contig_2473
C72.bin_8	C72_contig_2240	1	727450	768058	False	ABC_wzy_dependent_putative_NO_OPX				C72_contig_2240
C64.bin_70	C64_contig_3656	1	227115	262194	False	ABC_wzy_dependent_putative_NO_OPX				C64_contig_3656
A91.bin_46	A91_contig_2653	1	237382	253613	True	ABC_wzy_dependent_putative_NO_OPX				A91_contig_2653
A73.bin_10	A73_contig_500	1	1320885	1366601	False	wzy_dependent_putative_NO_OPX				A73_contig_500
B95.bin_10	B95_contig_1635	1	652216	676422	False	wzy_dependent_putative				B95_contig_1635
B95.bin_10	B95_contig_540_corr_1_np12	1	954042	990903	False	wzy_dependent_putative				B95_contig_540_corr_1_np12
B72.bin_21	B72_contig_705	1	471222	491665	False	pel-positive				B72_contig_705
A54.bin_18	A54_contig_1015	1	131449	188357	False	wzy_dependent_putative				A54_contig_1015
C97.bin_18	C97_contig_1073	1	353483	411797	False	wzy_dependent_putative_NO_OPX				C97_contig_1073
C97.bin_18	C97_contig_1091	1	337484	355355	False	pel-positive				C97_contig_1091
C124.bin_34	C124_contig_797	1	675021	699215	False	type-2-cellulose				C124_contig_797
C124.bin_34	C124_contig_5065	1	0	26915	True	colanic				C124_contig_5065
C124.bin_34	C124_contig_5021	1	144526	160295	False	PNAG-pga				C124_contig_5021
C104.bin_20	C104_contig_110	1	518482	556719	False	wzy_dependent_putative_NO_OPX				C104_contig_110
B112.bin_25	B112_contig_2573	1	116334	136735	False	pel-positive				B112_contig_2573
B82.bin_3	B82_contig_141	1	2030079	2047013	False	cellulose-gram-positive				B82_contig_141
B65.bin_7	B65_contig_907	1	230453	304068	False	wzy_dependent_putative				B65_contig_907
B65.bin_7	B65_contig_737	1	1292168	1328114	False	wzy_dependent_putative				B65_contig_737
B65.bin_7	B65_contig_737	2	1576019	1623973	False	wzy_dependent_putative				B65_contig_737
B162.bin_44	B162_contig_337	1	181187	198976	False	pel-positive				B162_contig_337
B162.bin_44	B162_contig_337	2	417693	437603	False	ABC_wzy_dependent_putative_NO_OPX				B162_contig_337
A1.bin_17	A1_contig_840	1	189201	243481	False	wzy_dependent_putative_NO_OPX				A1_contig_840
C41.bin_4	C41_contig_1165	1	961288	977457	False	cellulose-like				C41_contig_1165
A103.bin_39	A103_contig_1016	1	33010	71655	False	wzy_dependent_putative				A103_contig_1016
B127.bin_13	B127_contig_890	1	434062	467197	False	wzy_dependent_putative_NO_OPX				B127_contig_890
A95.bin_23	A95_contig_925	1	2817756	2841587	False	wzy_dependent_putative_NO_OPX				A95_contig_925
A95.bin_23	A95_contig_925	2	3655718	3696811	False	wzy_dependent_putative				A95_contig_925
A11.bin_4	A11_contig_1116	1	1392271	1416463	False	type-2-cellulose				A11_contig_1116
A11.bin_4	A11_contig_1116	2	3015910	3047310	False	colanic				A11_contig_1116
B102.CMAG_5	B102_contig_1	1	144761	162651	False	pel-positive				B102_contig_1
B1.bin_8	B1_contig_364	1	803173	826578	False	wzy_dependent_putative_NO_OPX				B1_contig_364
C91.bin_10	C91_contig_250	1	359802	386805	False	wzy_dependent_putative_NO_OPX				C91_contig_250
C40.bin_35	C40_contig_71	1	125797	171936	False	wzy_dependent_putative_NO_OPX				C40_contig_71
A94.bin_36	A94_contig_2361	1	46838	85946	False	wzy_dependent_putative_NO_OPX				A94_contig_2361
A94.bin_36	A94_contig_3516	1	87053	129444	False	wzy_dependent_putative_NO_OPX				A94_contig_3516
C165.bin_13	C165_contig_1704	1	1974247	1995529	False	wzy_dependent_putative_NO_OPX				C165_contig_1704
B38.bin_24	B38_contig_5482	1	63713	101590	True	wzy_dependent_putative_NO_OPX				B38_contig_5482
C73.bin_30	C73_contig_2797	1	2108444	2176529	False	wzy_dependent_putative_NO_OPX				C73_contig_2797
C103.CMAG_3	C103_contig_142	1	1765586	1790776	False	wzy_dependent_putative_NO_OPX				C103_contig_142
A83.bin_25	A83_contig_1119	1	23277	80222	False	wzy_dependent_putative				A83_contig_1119
A163.bin_3	A163_contig_1	1	1001462	1058702	False	wzy_dependent_putative				A163_contig_1
A130.bin_22	A130_contig_21	1	151334	187714	False	wzy_dependent_putative_NO_OPX				A130_contig_21
A37.bin_31	A37_contig_1982	1	0	27564	True	wzy_dependent_putative_NO_OPX				A37_contig_1982
B64.bin_9	B64_scaffold_8028	1	373719	408798	False	ABC_wzy_dependent_putative_NO_OPX				B64_scaffold_8028
A82.bin_20	A82_contig_2570	1	3075840	3095998	False	wzy_dependent_putative				A82_contig_2570
A124.bin_21	A124_contig_7696	1	81115	117731	False	wzy_dependent_putative				A124_contig_7696
A124.bin_21	A124_contig_1403	1	6681	60296	True	wzy_dependent_putative				A124_contig_1403
A124.bin_21	A124_contig_1405	1	714272	773371	False	wzy_dependent_putative				A124_contig_1405
A124.bin_21	A124_contig_1401	1	159563	204402	False	wzy_dependent_putative				A124_contig_1401
B129.CMAG_1	B129_contig_3	1	1770602	1830934	False	wzy_dependent_putative_NO_OPX				B129_contig_3
A15.CMAG_6	A15_contig_2226	1	2554890	2579240	False	wzy_dependent_putative_NO_OPX				A15_contig_2226
A15.CMAG_6	A15_contig_2226	2	2609911	2643409	False	wzy_dependent_putative_NO_OPX				A15_contig_2226
B74.bin_36	B74_contig_1244	1	119496	149317	False	wzy_dependent_putative				B74_contig_1244
A108.bin_9	A108_contig_499	1	1928384	1975746	False	wzy_dependent_putative_NO_OPX				A108_contig_499
C72.bin_25	C72_contig_1085	1	17493	94472	True	wzy_dependent_putative				C72_contig_1085
C72.bin_25	C72_contig_1311	1	23916	55496	False	wzy_dependent_putative				C72_contig_1311
C72.bin_25	C72_contig_1311	2	125209	169998	False	wzy_dependent_putative				C72_contig_1311
C72.bin_25	C72_contig_922	1	87954	131873	False	wzy_dependent_putative				C72_contig_922
B62.bin_9	B62_contig_1782	1	42057	73297	False	wzy_dependent_putative_NO_OPX				B62_contig_1782
C54.bin_55	C54_contig_2941	1	294389	330460	False	wzy_dependent_putative				C54_contig_2941
C54.bin_55	C54_contig_2941	2	437172	522888	False	wzy_dependent_putative				C54_contig_2941
C91.bin_5	C91_contig_2965	1	80538	110268	False	wzy_dependent_putative				C91_contig_2965
C91.bin_5	C91_contig_1005	1	2859787	2909463	False	wzy_dependent_putative				C91_contig_1005
C91.bin_5	C91_contig_1042	1	7057	51682	True	wzy_dependent_putative				C91_contig_1042
A149.bin_10	A149_contig_4530	1	113370	179148	True	wzy_dependent_putative_NO_OPX				A149_contig_4530
C97.bin_2	C97_contig_270	1	2130068	2184890	False	wzy_dependent_putative_NO_OPX				C97_contig_270
B36.bin_14	B36_contig_225	1	161823	190353	False	wzy_dependent_putative_NO_OPX				B36_contig_225
C162.bin_58	C162_contig_1427	1	42017	61927	False	ABC_wzy_dependent_putative_NO_OPX				C162_contig_1427
C162.bin_58	C162_contig_1427	2	280644	298433	False	pel-positive				C162_contig_1427
B126.bin_10	B126_contig_276	1	357835	419759	False	ABC_dependent_putative_NO_OPX				B126_contig_276
C130.bin_5	C130_contig_114	1	1466767	1524824	False	wzy_dependent_putative				C130_contig_114
B59.bin_9	B59_contig_104	1	456480	474203	False	pel-positive				B59_contig_104
B59.bin_9	B59_contig_104	2	2846157	2879381	False	wzy_dependent_putative_NO_OPX				B59_contig_104
A171.bin_3	A171_contig_112	1	273910	288026	False	alpha-glucansucrase				A171_contig_112
A171.bin_3	A171_contig_112	2	299640	318530	False	wzy_dependent_putative_NO_OPX				A171_contig_112
A171.bin_3	A171_contig_112	3	815407	835651	False	lactobacillus_eps				A171_contig_112
A130.bin_2	A130_contig_1257	1	2979862	3037844	False	wzy_dependent_putative				A130_contig_1257
B89.bin_16	B89_contig_311	1	661806	685960	False	wzy_dependent_putative_NO_OPX				B89_contig_311
A89.bin_26	A89_contig_214	1	472019	522032	False	wzy_dependent_putative_NO_OPX				A89_contig_214
A89.bin_26	A89_contig_138_corr_10_s2_np12	1	659635	707803	False	wzy_dependent_putative_NO_OPX				A89_contig_138_corr_10_s2_np12
B59.bin_28	B59_contig_1665	1	150520	177997	True	wzy_dependent_putative_NO_OPX				B59_contig_1665
B59.bin_28	B59_contig_2316	1	17382	37625	False	pel-positive				B59_contig_2316
B19.bin_31	B19_contig_2020	1	775130	830387	False	wzy_dependent_putative				B19_contig_2020
B37.bin_16	B37_contig_854	1	287810	326383	False	wzy_dependent_putative_NO_OPX				B37_contig_854
C135.bin_1	C135_contig_1102	1	827547	852023	False	wzy_dependent_putative_NO_OPX				C135_contig_1102
B58.bin_3	B58_contig_2151	1	1368805	1384412	False	PNAG-pga				B58_contig_2151
A1.bin_9	A1_contig_2076	1	1644	27110	True	wzy_dependent_putative				A1_contig_2076
A1.bin_9	A1_contig_3183	1	12262	51349	True	wzy_dependent_putative				A1_contig_3183
A1.bin_9	A1_contig_3183	2	307138	356143	False	wzy_dependent_putative				A1_contig_3183
A1.bin_9	A1_contig_1795	1	1135356	1209372	False	wzy_dependent_putative				A1_contig_1795
B38.bin_17	B38_contig_2140	1	329933	346867	False	cellulose-gram-positive				B38_contig_2140
