genome_id	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_sim	record_desc	Category	n_Category	Domain	Phylum	Class	Order	Family	Genus	Species	MiDAS_classification	MAG_status	shared_name	product_1_GCF
026-AT-03.bin.1.637	026-AT-03.bin.1.637_contig_3227	1	390845	428346	FALSE	putative_wzy_dependent_NO_OPX				026-AT-03.bin.1.637_contig_3227	Uncharacterised	1	d__Bacteria	p__Hydrogenedentota	c__Hydrogenedentia	o__Hydrogenedentiales	f__JAEUWI01	g__JAEUWI01	s__	FLASV3211.1469;tax=d:Bacteria,p:Hydrogenedentes,c:Hydrogenedentia,o:Hydrogenedentiales,f:Hydrogenedensaceae,g:midas_g_1166,s:midas_s_1166;	HQ	026-AT-03.bin.1.637_contig_3227.region001.gbk_region_1	NA
026-AT-03.bin.1.637	026-AT-03.bin.1.637_contig_3227	2	1130024	1171979	FALSE	putative_wzy_dependent_NO_OPX				026-AT-03.bin.1.637_contig_3227	Uncharacterised	1	d__Bacteria	p__Hydrogenedentota	c__Hydrogenedentia	o__Hydrogenedentiales	f__JAEUWI01	g__JAEUWI01	s__	FLASV3211.1469;tax=d:Bacteria,p:Hydrogenedentes,c:Hydrogenedentia,o:Hydrogenedentiales,f:Hydrogenedensaceae,g:midas_g_1166,s:midas_s_1166;	HQ	026-AT-03.bin.1.637_contig_3227.region002.gbk_region_1	NA
006-MY-06.bin.1.147	006-MY-06.bin.1.147_contig_10444	1	860002	884670	FALSE	exoPS_GCF_12				006-MY-06.bin.1.147_contig_10444	NA		d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Bryobacterales	f__Bryobacteraceae	g__TMP-7	s__TMP-7 sp018268715	FLASV57563.1318;tax=d:Bacteria,p:Acidobacteriota,c:Acidobacteriae,o:Bryobacterales,f:Bryobacteraceae,g:Bryobacter,s:midas_s_57563;	HQ	006-MY-06.bin.1.147_contig_10444.region001.gbk_region_1	exoPS_GCF_12
006-MY-06.bin.1.147	006-MY-06.bin.1.147_contig_22161	1	43488	100070	FALSE	putative_wzy_dependent				006-MY-06.bin.1.147_contig_22161	Uncharacterised	1	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Bryobacterales	f__Bryobacteraceae	g__TMP-7	s__TMP-7 sp018268715	FLASV57563.1318;tax=d:Bacteria,p:Acidobacteriota,c:Acidobacteriae,o:Bryobacterales,f:Bryobacteraceae,g:Bryobacter,s:midas_s_57563;	HQ	006-MY-06.bin.1.147_contig_22161.region001.gbk_region_1	NA
006-MY-06.bin.1.147	006-MY-06.bin.1.147_contig_3179	1	300409	336841	FALSE	putative_wzy_dependent				006-MY-06.bin.1.147_contig_3179	Uncharacterised	1	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Bryobacterales	f__Bryobacteraceae	g__TMP-7	s__TMP-7 sp018268715	FLASV57563.1318;tax=d:Bacteria,p:Acidobacteriota,c:Acidobacteriae,o:Bryobacterales,f:Bryobacteraceae,g:Bryobacter,s:midas_s_57563;	HQ	006-MY-06.bin.1.147_contig_3179.region001.gbk_region_1	NA
087-SA-04.bin.1.691	087-SA-04.bin.1.691_contig_1245	1	152863	199878	FALSE	putative_wzy_dependent				087-SA-04.bin.1.691_contig_1245	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Aquisediminimonas	s__	FLASV4673.1411;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:midas_g_59,s:midas_s_1157;	HQ	087-SA-04.bin.1.691_contig_1245.region001.gbk_region_1	NA
087-SA-04.bin.1.691	087-SA-04.bin.1.691_contig_28186	1	1475668	1531736	FALSE	putative_wzy_dependent				087-SA-04.bin.1.691_contig_28186	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Aquisediminimonas	s__	FLASV4673.1411;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:midas_g_59,s:midas_s_1157;	HQ	087-SA-04.bin.1.691_contig_28186.region001.gbk_region_1	NA
095-US2-13.bin.1.627	095-US2-13.bin.1.627_contig_21206	1	555417	616897	TRUE	putative_ABC_dependent_NO_OPX				095-US2-13.bin.1.627_contig_21206	Uncharacterised	1	d__Bacteria	p__Myxococcota_A	c__UBA9160	o__UBA9160	f__UBA4427	g__UBA4427	s__	FLASV78237.1376;tax=d:Bacteria,p:SAR324_cladeMarine_group_B,c:midas_c_814,o:midas_o_928,f:midas_f_50335,g:midas_g_50335,s:midas_s_60778;	HQ	095-US2-13.bin.1.627_contig_21206.region001.gbk_region_1	NA
095-US2-13.bin.1.627	095-US2-13.bin.1.627_contig_3801	1	137311	168723	FALSE	putative_ABC_or_wzy_dependent				095-US2-13.bin.1.627_contig_3801	Uncharacterised	1	d__Bacteria	p__Myxococcota_A	c__UBA9160	o__UBA9160	f__UBA4427	g__UBA4427	s__	FLASV78237.1376;tax=d:Bacteria,p:SAR324_cladeMarine_group_B,c:midas_c_814,o:midas_o_928,f:midas_f_50335,g:midas_g_50335,s:midas_s_60778;	HQ	095-US2-13.bin.1.627_contig_3801.region001.gbk_region_1	NA
095-US2-13.bin.1.627	095-US2-13.bin.1.627_contig_8686	1	2094527	2154894	FALSE	putative_wzy_dependent_NO_OPX				095-US2-13.bin.1.627_contig_8686	Uncharacterised	1	d__Bacteria	p__Myxococcota_A	c__UBA9160	o__UBA9160	f__UBA4427	g__UBA4427	s__	FLASV78237.1376;tax=d:Bacteria,p:SAR324_cladeMarine_group_B,c:midas_c_814,o:midas_o_928,f:midas_f_50335,g:midas_g_50335,s:midas_s_60778;	HQ	095-US2-13.bin.1.627_contig_8686.region001.gbk_region_1	NA
