genome_id	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_%	record_desc	Category	n_Category	Domain	Phylum	Class	Order	Family	Genus	Species	shared_name
OceanDNA-b41242	OceanDNA-b41242_00001	1	13982	39856	TRUE	alginate				OceanDNA-b41242_00001 megahit:Arc_Ant_S06_N0000011	Synthase	2	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E alcaliphila_B	OceanDNA-b41242_OceanDNA-b41242_00001.region001.gbk_region_1
OceanDNA-b41242	OceanDNA-b41242_00002	1	163480	189223	FALSE	alginate				OceanDNA-b41242_00002 megahit:Arc_Ant_S06_N0000019	Synthase	2	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E alcaliphila_B	OceanDNA-b41242_OceanDNA-b41242_00002.region001.gbk_region_1
GOMC.bin.8588	k63_383928	1	35447	66503	FALSE	Uncharacterised				k63_383928	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__Hyphomonadaceae	g__Hyphomonas	s__	GOMC.bin.8588_k63_383928.region001.gbk_region_1
GOMC.bin.8588	k63_245702	1	36259	53241	FALSE	cellulose-like				k63_245702	Synthase	2	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__Hyphomonadaceae	g__Hyphomonas	s__	GOMC.bin.8588_k63_245702.region001.gbk_region_1
GCA_002954645.1_ASM295464v1_genomic	MSCL01000001.1	1	21814	77671	FALSE	Uncharacterised				MSCL01000001.1 Polaribacter gangjinensis strain KCTC 22729 scaffold00001, whole genome shotgun sequence	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Polaribacter	s__Polaribacter gangjinensis	GCA_002954645.1_ASM295464v1_genomic_MSCL01000001.1.region001.gbk_region_1
GOMC.bin.2175	SRR5189949_k53_43482_1	1	0	12112	TRUE	Uncharacterised				SRR5189949_k53_43482_1	Uncharacterised	1	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Sulfurovaceae	g__Sulfurovum	s__	GOMC.bin.2175_SRR5189949_k53_43482_1.region001.gbk_region_1
GOMC.bin.11744	k63_100279	1	28087	65285	TRUE	Uncharacterised				k63_100279	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Pararheinheimera	s__	GOMC.bin.11744_k63_100279.region001.gbk_region_1
GOMC.bin.11744	k63_229348	1	0	27014	TRUE	Uncharacterised				k63_229348	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Pararheinheimera	s__	GOMC.bin.11744_k63_229348.region001.gbk_region_1
GOMC.bin.15938	k141_282837	1	199710	259777	FALSE	Uncharacterised				k141_282837	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__JAFMPW01	s__	GOMC.bin.15938_k141_282837.region001.gbk_region_1
GOMC.bin.15938	k141_282837	2	331418	372488	FALSE	Uncharacterised				k141_282837	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__JAFMPW01	s__	GOMC.bin.15938_k141_282837.region002.gbk_region_1
GOMC.bin.15938	k141_527095	1	70678	101509	FALSE	Uncharacterised				k141_527095	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__JAFMPW01	s__	GOMC.bin.15938_k141_527095.region001.gbk_region_1
GOMC.bin.15780	k63_174	1	0	30565	TRUE	Uncharacterised				k63_174	Uncharacterised	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__SW10	s__SW10 sp029253285	GOMC.bin.15780_k63_174.region001.gbk_region_1
GCA_002863765.1_ASM286376v1_genomic	CP019174.1	1	228280	252486	FALSE	cellulose-type-2				CP019174.1 Salmonella enterica subsp. enterica serovar Give strain CFSAN024229 chromosome, complete genome	Synthase	2	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Salmonella	s__Salmonella enterica	GCA_002863765.1_ASM286376v1_genomic_CP019174.1.region001.gbk_region_1
GCA_002863765.1_ASM286376v1_genomic	CP019174.1	2	1715968	1747177	FALSE	colanic				CP019174.1 Salmonella enterica subsp. enterica serovar Give strain CFSAN024229 chromosome, complete genome	Wzx/Wzy	3	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Salmonella	s__Salmonella enterica	GCA_002863765.1_ASM286376v1_genomic_CP019174.1.region002.gbk_region_1
GCA_001601315.1_ASM160131v1_genomic	LPZR01000074.1	1	10446	20675	TRUE	cellulose-like				LPZR01000074.1 Tistrella mobilis strain MCCC 1A02139 contig165, whole genome shotgun sequence	Synthase	2	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Tistrellales	f__Tistrellaceae	g__Tistrella	s__Tistrella mobilis	GCA_001601315.1_ASM160131v1_genomic_LPZR01000074.1.region001.gbk_region_1
GOMC.bin.9899	k63_89393	1	0	20727	TRUE	Uncharacterised				k63_89393	Uncharacterised	1	d__Bacteria	p__Desulfobacterota	c__Desulfobacteria	o__Desulfobacterales	f__Desulfosudaceae	g__	s__	GOMC.bin.9899_k63_89393.region001.gbk_region_1
OceanDNA-b41592	OceanDNA-b41592_00004	1	48706	79959	FALSE	Uncharacterised				OceanDNA-b41592_00004 megahit:SRS2350596_N0000028	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__UBA6940	g__UBA6940	s__	OceanDNA-b41592_OceanDNA-b41592_00004.region001.gbk_region_1
OceanDNA-b41592	OceanDNA-b41592_00006	1	134914	161034	TRUE	Uncharacterised				OceanDNA-b41592_00006 megahit:SRS2350596_N0000039	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__UBA6940	g__UBA6940	s__	OceanDNA-b41592_OceanDNA-b41592_00006.region001.gbk_region_1
