MAG	MiDAS4_tax	MiDAS_core_species	Exopolysaccharide	Query	Function	Target_CDS	Percent_id
AalE_18-Q3-R2-46_BAT3C.116	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_38;	No	Pel	pelA	Hydrolase	AalE_18-Q3-R2-46_BAT3C.116_01326	37.991
AalE_18-Q3-R2-46_BAT3C.116	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_38;	No	Pel	pelB	Export	AalE_18-Q3-R2-46_BAT3C.116_01327	21.145
AalE_18-Q3-R2-46_BAT3C.116	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_38;	No	Pel	pelC	Export	AalE_18-Q3-R2-46_BAT3C.116_01328	42.857
AalE_18-Q3-R2-46_BAT3C.116	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_38;	No	Pel	pelD	Regulatory	AalE_18-Q3-R2-46_BAT3C.116_01329	31.49
AalE_18-Q3-R2-46_BAT3C.116	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_38;	No	Pel	pelE	Polymerization	AalE_18-Q3-R2-46_BAT3C.116_01330	27.811
AalE_18-Q3-R2-46_BAT3C.116	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_38;	No	Pel	pelF	Synthase	AalE_18-Q3-R2-46_BAT3C.116_01331	49.213
AalE_18-Q3-R2-46_BAT3C.116	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_38;	No	Pel	pelG	Export	AalE_18-Q3-R2-46_BAT3C.116_01332	52.632
AalE_18-Q3-R2-46_BAT3C.211	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Ferribacterium;s:Ferribacterium_limneticum;	No	Pel	pelA	Hydrolase	AalE_18-Q3-R2-46_BAT3C.211_00228	35.326
AalE_18-Q3-R2-46_BAT3C.211	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Ferribacterium;s:Ferribacterium_limneticum;	No	Pel	pelB	Export	AalE_18-Q3-R2-46_BAT3C.211_00227	21.151
AalE_18-Q3-R2-46_BAT3C.211	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Ferribacterium;s:Ferribacterium_limneticum;	No	Pel	pelC	Export	AalE_18-Q3-R2-46_BAT3C.211_00226	44.444
AalE_18-Q3-R2-46_BAT3C.211	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Ferribacterium;s:Ferribacterium_limneticum;	No	Pel	pelD	Regulatory	AalE_18-Q3-R2-46_BAT3C.211_00225	28.774
AalE_18-Q3-R2-46_BAT3C.211	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Ferribacterium;s:Ferribacterium_limneticum;	No	Pel	pelE	Polymerization	AalE_18-Q3-R2-46_BAT3C.211_00224	30
AalE_18-Q3-R2-46_BAT3C.211	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Ferribacterium;s:Ferribacterium_limneticum;	No	Pel	pelF	Synthase	AalE_18-Q3-R2-46_BAT3C.211_00223	52.86
AalE_18-Q3-R2-46_BAT3C.211	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Ferribacterium;s:Ferribacterium_limneticum;	No	Pel	pelG	Export	AalE_18-Q3-R2-46_BAT3C.211_00222	50
AalE_18-Q3-R2-46_BAT3C.357	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Steroidobacterales;f:Steroidobacteraceae;g:midas_g_98;	No	Cellulose 1	bcsAI	Synthase	AalE_18-Q3-R2-46_BAT3C.357_00957	23.967
AalE_18-Q3-R2-46_BAT3C.357	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Steroidobacterales;f:Steroidobacteraceae;g:midas_g_98;	No	Cellulose 1	bgl	Hydrolase	AalE_18-Q3-R2-46_BAT3C.357_00958	26.036
AalE_18-Q3-R2-46_BATAC.155	d:Bacteria;p:Acidobacteriota;c:Blastocatellia;o:DS-100;f:midas_f_502;g:midas_g_502;	No	Cellulose 1	bcsAI	Synthase	AalE_18-Q3-R2-46_BATAC.155_01757	20.705
AalE_18-Q3-R2-46_BATAC.155	d:Bacteria;p:Acidobacteriota;c:Blastocatellia;o:DS-100;f:midas_f_502;g:midas_g_502;	No	Cellulose 1	bgl	Hydrolase	AalE_18-Q3-R2-46_BATAC.155_01761	20.225
AalE_18-Q3-R2-46_BATAC.345	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:SC-I-84;g:midas_g_1341;s:midas_s_3347;	No	Cellulose 1	bcsAI	Synthase	AalE_18-Q3-R2-46_BATAC.345_00195	20.168
AalE_18-Q3-R2-46_BATAC.345	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:SC-I-84;g:midas_g_1341;s:midas_s_3347;	No	Cellulose 1	bcsCI	Export	AalE_18-Q3-R2-46_BATAC.345_00193	20.209
AalE_18-Q3-R2-46_MAXAC.025	d:Bacteria;p:Bacteroidota;c:Bacteroidia;o:Sphingobacteriales;f:Lentimicrobiaceae;g:Lentimicrobium;s:midas_s_1390;	No	Hyaluronic acid (has)	hasA	Synthase	AalE_18-Q3-R2-46_MAXAC.025_04000	20.199
AalE_18-Q3-R2-46_MAXAC.025	d:Bacteria;p:Bacteroidota;c:Bacteroidia;o:Sphingobacteriales;f:Lentimicrobiaceae;g:Lentimicrobium;s:midas_s_1390;	No	Hyaluronic acid (has)	hasB	Precursor synthesis	AalE_18-Q3-R2-46_MAXAC.025_04006	29.412
