genome_id	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_sim	record_desc	Category	n_Category	shared_name	product_1
033-IN-11.bin.1.164	033-IN-11.bin.1.164_contig_1831	1	40122	78775	FALSE	Uncharacterised				033-IN-11.bin.1.164_contig_1831	Uncharacterised	1	033-IN-11.bin.1.164_contig_1831.region001.gbk_region_1	Uncharacterised
033-IN-11.bin.1.164	033-IN-11.bin.1.164_contig_1831	2	1096158	1151475	FALSE	Uncharacterised				033-IN-11.bin.1.164_contig_1831	Uncharacterised	1	033-IN-11.bin.1.164_contig_1831.region002.gbk_region_1	Uncharacterised
033-IN-11.bin.1.164	033-IN-11.bin.1.164_contig_1831	3	2780038	2815849	FALSE	Uncharacterised				033-IN-11.bin.1.164_contig_1831	Uncharacterised	1	033-IN-11.bin.1.164_contig_1831.region003.gbk_region_1	Uncharacterised
033-IN-11.bin.1.164	033-IN-11.bin.1.164_contig_1831	4	3082183	3103725	TRUE	MiDAS_GCF_4				033-IN-11.bin.1.164_contig_1831	Uncharacterised	1	033-IN-11.bin.1.164_contig_1831.region004.gbk_region_1	MiDAS_GCF_4
067-CH-23.bin.1.14	067-CH-23.bin.1.14_contig_3711	1	160937	187738	FALSE	MiDAS_GCF_1				067-CH-23.bin.1.14_contig_3711	Uncharacterised	1	067-CH-23.bin.1.14_contig_3711.region001.gbk_region_1	MiDAS_GCF_1
067-CH-23.bin.1.14	067-CH-23.bin.1.14_contig_7153	1	699593	736246	FALSE	Uncharacterised				067-CH-23.bin.1.14_contig_7153	Uncharacterised	1	067-CH-23.bin.1.14_contig_7153.region001.gbk_region_1	Uncharacterised
096-US2-26.bin.1.660	096-US2-26.bin.1.660_contig_4263	1	2429730	2456619	FALSE	MiDAS_GCF_6				096-US2-26.bin.1.660_contig_4263	Uncharacterised	1	096-US2-26.bin.1.660_contig_4263.region001.gbk_region_1	MiDAS_GCF_6
096-US2-26.bin.1.660	096-US2-26.bin.1.660_contig_4263	2	2627964	2661518	FALSE	Uncharacterised				096-US2-26.bin.1.660_contig_4263	Uncharacterised	1	096-US2-26.bin.1.660_contig_4263.region002.gbk_region_1	Uncharacterised
096-US2-26.bin.1.660	096-US2-26.bin.1.660_contig_4263	3	3051119	3121749	FALSE	Uncharacterised				096-US2-26.bin.1.660_contig_4263	Uncharacterised	1	096-US2-26.bin.1.660_contig_4263.region003.gbk_region_1	Uncharacterised
096-US2-26.bin.1.660	096-US2-26.bin.1.660_contig_4263	4	3847151	3864840	FALSE	Cellulose				096-US2-26.bin.1.660_contig_4263	Synthase	2	096-US2-26.bin.1.660_contig_4263.region004.gbk_region_1	Cellulose
038-SE-10.bin.1.190	038-SE-10.bin.1.190_contig_31923	1	4606	19420	TRUE	PNAG (pga)				038-SE-10.bin.1.190_contig_31923	Synthase	2	038-SE-10.bin.1.190_contig_31923.region001.gbk_region_1	PNAG (pga)
038-SE-10.bin.1.190	038-SE-10.bin.1.190_contig_44922	1	138762	167328	TRUE	Uncharacterised				038-SE-10.bin.1.190_contig_44922	Uncharacterised	1	038-SE-10.bin.1.190_contig_44922.region001.gbk_region_1	Uncharacterised
038-SE-10.bin.1.190	038-SE-10.bin.1.190_contig_90893	1	0	54095	TRUE	Uncharacterised				038-SE-10.bin.1.190_contig_90893	Uncharacterised	1	038-SE-10.bin.1.190_contig_90893.region001.gbk_region_1	Uncharacterised
035-MX-06.bin.1.227	035-MX-06.bin.1.227_contig_24088	1	255534	291265	FALSE	Zooglan				035-MX-06.bin.1.227_contig_24088	Wzx/Wzy	3	035-MX-06.bin.1.227_contig_24088.region001.gbk_region_1	Zooglan
035-MX-06.bin.1.227	035-MX-06.bin.1.227_contig_24127	1	33966	48788	FALSE	PNAG (pga)				035-MX-06.bin.1.227_contig_24127	Synthase	2	035-MX-06.bin.1.227_contig_24127.region001.gbk_region_1	PNAG (pga)
001-SG-02.bin.1.36	001-SG-02.bin.1.36_contig_3744	1	736509	788909	FALSE	Uncharacterised				001-SG-02.bin.1.36_contig_3744	Uncharacterised	1	001-SG-02.bin.1.36_contig_3744.region001.gbk_region_1	Uncharacterised
001-SG-02.bin.1.36	001-SG-02.bin.1.36_contig_43419	1	223073	302849	FALSE	Uncharacterised				001-SG-02.bin.1.36_contig_43419	Uncharacterised	1	001-SG-02.bin.1.36_contig_43419.region001.gbk_region_1	Uncharacterised
043-US1-27.bin.1.318	043-US1-27.bin.1.318_contig_13786	1	76243	118373	FALSE	Uncharacterised				043-US1-27.bin.1.318_contig_13786	Uncharacterised	1	043-US1-27.bin.1.318_contig_13786.region001.gbk_region_1	Uncharacterised
043-US1-27.bin.1.318	043-US1-27.bin.1.318_contig_15623	1	49846	77149	TRUE	Uncharacterised				043-US1-27.bin.1.318_contig_15623	Uncharacterised	1	043-US1-27.bin.1.318_contig_15623.region001.gbk_region_1	Uncharacterised
043-US1-27.bin.1.318	043-US1-27.bin.1.318_contig_26012	1	104705	185662	FALSE	Uncharacterised				043-US1-27.bin.1.318_contig_26012	Uncharacterised	1	043-US1-27.bin.1.318_contig_26012.region001.gbk_region_1	Uncharacterised
043-US1-27.bin.1.318	043-US1-27.bin.1.318_contig_3392	1	741419	775607	FALSE	MiDAS_GCF_8				043-US1-27.bin.1.318_contig_3392	Uncharacterised	1	043-US1-27.bin.1.318_contig_3392.region001.gbk_region_1	MiDAS_GCF_8
