genome_id	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_%	record_desc	Category	n_Category	Domain	Phylum	Class	Order	Family	Genus	Species	Database	derep	HQ	file_name
025-FI-01.bin.1.30	contig_1962	1	255462	330500	FALSE	Uncharacterised				025-FI-01.bin.1.30_contig_1962	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	""	MiDAS Global	TRUE	TRUE	025-FI-01.bin.1.30_contig_1962.region001
089-SG-01.bin.2.399	contig_21373	1	17713	129760	TRUE	zooglan				contig_21373	Wzx/Wzy	3	d__Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azonexus	""	MiDAS Global	TRUE	FALSE	089-SG-01.bin.2.399_contig_21373.region001
089-SG-01.bin.2.399	contig_3133	1	499584	539854	TRUE	Uncharacterised				contig_3133	Uncharacterised	1	d__Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azonexus	""	MiDAS Global	TRUE	FALSE	089-SG-01.bin.2.399_contig_3133.region001
025-FI-01.bin.2.353	contig_138502	1	7908	69833	TRUE	Uncharacterised				025-FI-01.bin.2.353_contig_138502	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	""	MiDAS Global	TRUE	TRUE	025-FI-01.bin.2.353_contig_138502.region001
015-DE-14.bin.1.360	contig_90128	1	381207	466159	FALSE	Uncharacterised				015-DE-14.bin.1.360_contig_90128	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp029561105	MiDAS Global	TRUE	TRUE	015-DE-14.bin.1.360_contig_90128.region001
071-HK-01.bin.2.140	contig_40225	1	246284	294175	FALSE	Uncharacterised				071-HK-01.bin.2.140_contig_40225	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	""	MiDAS Global	TRUE	TRUE	071-HK-01.bin.2.140_contig_40225.region001
076-IN-18.bin.2.442	contig_158452	1	10869	49506	TRUE	Uncharacterised				contig_158452	Uncharacterised	1	d__Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azonexus	""	MiDAS Global	TRUE	FALSE	076-IN-18.bin.2.442_contig_158452.region001
035-MX-06.bin.2.129	contig_33531	1	0	78358	TRUE	Uncharacterised				contig_33531	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp018413465	MiDAS Global	TRUE	FALSE	035-MX-06.bin.2.129_contig_33531.region001
054-AR-04.bin.2.93	contig_9892	1	0	26400	TRUE	Uncharacterised				contig_9892	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium_C	""	MiDAS Global	TRUE	FALSE	054-AR-04.bin.2.93_contig_9892.region001
031-CZ-17.bin.1.502	contig_10131	1	1584946	1611069	FALSE	Uncharacterised				031-CZ-17.bin.1.502_contig_10131	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium_B	""	MiDAS Global	TRUE	TRUE	031-CZ-17.bin.1.502_contig_10131.region001
031-CZ-17.bin.1.502	contig_10131	2	1822904	1840280	FALSE	Uncharacterised				031-CZ-17.bin.1.502_contig_10131	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium_B	""	MiDAS Global	TRUE	TRUE	031-CZ-17.bin.1.502_contig_10131.region002
031-CZ-17.bin.1.502	contig_10131	3	2360414	2393266	FALSE	Uncharacterised				031-CZ-17.bin.1.502_contig_10131	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium_B	""	MiDAS Global	TRUE	TRUE	031-CZ-17.bin.1.502_contig_10131.region003
029-CA-06.bin.2.90	contig_67868	1	1454	83604	TRUE	Uncharacterised				contig_67868	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	""	MiDAS Global	TRUE	FALSE	029-CA-06.bin.2.90_contig_67868.region001
010-BE-17.bin.3.1211	contig_224601	1	6807	73107	TRUE	Uncharacterised				contig_224601	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	""	MiDAS Global	TRUE	FALSE	010-BE-17.bin.3.1211_contig_224601.region001
099-UY-16.bin.2.144	contig_11354	1	35734	86680	FALSE	Uncharacterised				contig_11354	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	""	MiDAS Global	TRUE	FALSE	099-UY-16.bin.2.144_contig_11354.region001
099-UY-16.bin.2.144	contig_11354	2	823475	842396	FALSE	pel-like				contig_11354	Synthase	2	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	""	MiDAS Global	TRUE	FALSE	099-UY-16.bin.2.144_contig_11354.region002
090-US1-124.bin.1.320	contig_15642	1	896106	927224	FALSE	Uncharacterised				090-US1-124.bin.1.320_contig_15642	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	""	MiDAS Global	TRUE	TRUE	090-US1-124.bin.1.320_contig_15642.region001
090-US1-124.bin.1.320	contig_15642	2	1399986	1423918	FALSE	Uncharacterised				090-US1-124.bin.1.320_contig_15642	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	""	MiDAS Global	TRUE	TRUE	090-US1-124.bin.1.320_contig_15642.region002
038-SE-10.bin.2.24	contig_37568	1	1599397	1644109	FALSE	Uncharacterised				038-SE-10.bin.2.24_contig_37568	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	""	MiDAS Global	TRUE	TRUE	038-SE-10.bin.2.24_contig_37568.region001
003-CA-05.bin.2.103	contig_13598	1	53017	109683	TRUE	Uncharacterised				contig_13598	Uncharacterised	1	d__Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azonexus	""	MiDAS Global	TRUE	FALSE	003-CA-05.bin.2.103_contig_13598.region001
003-CA-05.bin.2.103	contig_81504	1	26252	48799	TRUE	pel				contig_81504	Synthase	2	d__Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azonexus	""	MiDAS Global	TRUE	FALSE	003-CA-05.bin.2.103_contig_81504.region001
092-US1-44.bin.2.114	contig_12994	1	129376	157661	FALSE	Uncharacterised				contig_12994	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium_B	""	MiDAS Global	TRUE	FALSE	092-US1-44.bin.2.114_contig_12994.region001
092-US1-44.bin.2.114	contig_62383	1	200022	254619	TRUE	Uncharacterised				contig_62383	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium_B	""	MiDAS Global	TRUE	FALSE	092-US1-44.bin.2.114_contig_62383.region001
029-CA-06.bin.2.60	contig_3924	1	200311	253877	FALSE	Uncharacterised				029-CA-06.bin.2.60_contig_3924	Uncharacterised	1	d__Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Sulfuritalea	""	MiDAS Global	TRUE	TRUE	029-CA-06.bin.2.60_contig_3924.region001
053-PL-24.bin.1.138	contig_68179	1	512015	556696	FALSE	Uncharacterised				053-PL-24.bin.1.138_contig_68179	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	""	MiDAS Global	TRUE	TRUE	053-PL-24.bin.1.138_contig_68179.region001
