genome_id	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_sim	record_desc	Category	n_Category	Domain	Phylum	Class	Order	Family	Genus	Species	shared_name	product_1
GCF_009746585.1_genomic	NZ_WRPO01000012.1	1	10895	34622	TRUE	putative_wzy_dependent				NZ_WRPO01000012.1 Novosphingobium aquimarinum strain M24A2M contig12, whole genome shotgun sequence	Uncharacterised	1								NZ_WRPO01000012.1.region001.gbk_region_1	Uncharacterised
GCF_009746585.1_genomic	NZ_WRPO01000018.1	1	52565	74687	TRUE	sphingomonadales_eps				NZ_WRPO01000018.1 Novosphingobium aquimarinum strain M24A2M contig18, whole genome shotgun sequence	NA									NZ_WRPO01000018.1.region001.gbk_region_1	sphingomonadales_eps
GCF_009746585.1_genomic	NZ_WRPO01000003.1	1	150247	244130	FALSE	putative_wzy_dependent				NZ_WRPO01000003.1 Novosphingobium aquimarinum strain M24A2M contig3, whole genome shotgun sequence	Uncharacterised	1								NZ_WRPO01000003.1.region001.gbk_region_1	Uncharacterised
GCF_009746585.1_genomic	NZ_WRPO01000004.1	1	267294	289897	TRUE	putative_ABC_dependent				NZ_WRPO01000004.1 Novosphingobium aquimarinum strain M24A2M contig4, whole genome shotgun sequence	Uncharacterised	1								NZ_WRPO01000004.1.region001.gbk_region_1	Uncharacterised
GCF_011044255.1_genomic	NZ_CP049107.1	1	1568108	1631896	FALSE	putative_wzy_dependent				NZ_CP049107.1 Rhizorhabdus phycosphaerae strain MK52 chromosome, complete genome	Uncharacterised	1								NZ_CP049107.1.region001.gbk_region_1	Uncharacterised
GCF_011044255.1_genomic	NZ_CP049107.1	2	2885523	2928647	FALSE	putative_wzy_dependent				NZ_CP049107.1 Rhizorhabdus phycosphaerae strain MK52 chromosome, complete genome	Uncharacterised	1								NZ_CP049107.1.region002.gbk_region_1	Uncharacterised
GCF_011044255.1_genomic	NZ_CP049107.1	3	3179026	3196316	FALSE	putative_ABC_or_wzy_dependent				NZ_CP049107.1 Rhizorhabdus phycosphaerae strain MK52 chromosome, complete genome	Uncharacterised	1								NZ_CP049107.1.region003.gbk_region_1	Uncharacterised
GCF_011044255.1_genomic	NZ_CP049107.1	4	4020689	4059218	FALSE	putative_wzy_dependent_NO_OPX				NZ_CP049107.1 Rhizorhabdus phycosphaerae strain MK52 chromosome, complete genome	Uncharacterised	1								NZ_CP049107.1.region004.gbk_region_1	Uncharacterised
GCF_024628865.1_genomic	NZ_CP102384.1	1	641779	668524	FALSE	sphingomonadales_eps				NZ_CP102384.1 Sphingopyxis sp. DBS4 chromosome, complete genome	NA									NZ_CP102384.1.region001.gbk_region_1	sphingomonadales_eps
GCF_024628865.1_genomic	NZ_CP102384.1	2	2026207	2066908	FALSE	putative_wzy_dependent				NZ_CP102384.1 Sphingopyxis sp. DBS4 chromosome, complete genome	Uncharacterised	1								NZ_CP102384.1.region002.gbk_region_1	Uncharacterised
