file	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_sim	record_desc
033-IN-11.bin.1.164	033-IN-11.bin.1.164_contig_1831	1	40122	78775	False	putative_wzy_dependent_NO_OPX				033-IN-11.bin.1.164_contig_1831
033-IN-11.bin.1.164	033-IN-11.bin.1.164_contig_1831	2	1096158	1151475	False	putative_wzy_dependent_NO_OPX				033-IN-11.bin.1.164_contig_1831
033-IN-11.bin.1.164	033-IN-11.bin.1.164_contig_1831	3	2780038	2815849	False	putative_wzy_dependent				033-IN-11.bin.1.164_contig_1831
033-IN-11.bin.1.164	033-IN-11.bin.1.164_contig_1831	4	3082183	3103725	True	exoPS_GCF_2				033-IN-11.bin.1.164_contig_1831
067-CH-23.bin.1.14	067-CH-23.bin.1.14_contig_3711	1	160937	187738	False	sphingomonadales_exops				067-CH-23.bin.1.14_contig_3711
067-CH-23.bin.1.14	067-CH-23.bin.1.14_contig_7153	1	699593	736246	False	putative_wzy_dependent				067-CH-23.bin.1.14_contig_7153
096-US2-26.bin.1.660	096-US2-26.bin.1.660_contig_4263	1	2429730	2456619	False	exoPS_GCF_4_1				096-US2-26.bin.1.660_contig_4263
096-US2-26.bin.1.660	096-US2-26.bin.1.660_contig_4263	2	2627964	2661518	False	putative_wzy_dependent_NO_OPX				096-US2-26.bin.1.660_contig_4263
096-US2-26.bin.1.660	096-US2-26.bin.1.660_contig_4263	3	3051119	3121749	False	putative_wzy_dependent				096-US2-26.bin.1.660_contig_4263
096-US2-26.bin.1.660	096-US2-26.bin.1.660_contig_4263	4	3847151	3864840	False	type-3-cellulose				096-US2-26.bin.1.660_contig_4263
038-SE-10.bin.1.190	038-SE-10.bin.1.190_contig_31923	1	4606	19420	True	PNAG-pga				038-SE-10.bin.1.190_contig_31923
038-SE-10.bin.1.190	038-SE-10.bin.1.190_contig_44922	1	138762	167328	True	putative_ABC_dependent_NO_OPX				038-SE-10.bin.1.190_contig_44922
038-SE-10.bin.1.190	038-SE-10.bin.1.190_contig_90893	1	0	54095	True	putative_wzy_dependent				038-SE-10.bin.1.190_contig_90893
035-MX-06.bin.1.227	035-MX-06.bin.1.227_contig_24088	1	255534	291265	False	zooglan				035-MX-06.bin.1.227_contig_24088
035-MX-06.bin.1.227	035-MX-06.bin.1.227_contig_24127	1	33966	48788	False	PNAG-pga				035-MX-06.bin.1.227_contig_24127
001-SG-02.bin.1.36	001-SG-02.bin.1.36_contig_3744	1	736509	788909	False	putative_ABC_dependent_NO_OPX				001-SG-02.bin.1.36_contig_3744
001-SG-02.bin.1.36	001-SG-02.bin.1.36_contig_43419	1	223073	302849	False	putative_wzy_dependent				001-SG-02.bin.1.36_contig_43419
043-US1-27.bin.1.318	043-US1-27.bin.1.318_contig_13786	1	76243	118373	False	putative_wzy_dependent_NO_OPX				043-US1-27.bin.1.318_contig_13786
