genome_id	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_sim	record_desc	Category	n_Category	Domain	Phylum	Class	Order	Family	Genus	Species	MiDAS_classification	MAG_status	shared_name	product_1
073-IL-01.bin.1.315	073-IL-01.bin.1.315_contig_101306	1	309718	348868	FALSE	putative_wzy_dependent_NO_OPX				073-IL-01.bin.1.315_contig_101306	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__JAIUNP01	s__	FLASV50411.1289;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae,g:midas_g_2400,s:midas_s_20570;	HQ	073-IL-01.bin.1.315_contig_101306.region001.gbk_region_1	Uncharacterised
073-IL-01.bin.1.315	073-IL-01.bin.1.315_contig_101306	2	598311	624342	FALSE	putative_wzy_dependent				073-IL-01.bin.1.315_contig_101306	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__JAIUNP01	s__	FLASV50411.1289;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae,g:midas_g_2400,s:midas_s_20570;	HQ	073-IL-01.bin.1.315_contig_101306.region002.gbk_region_1	Uncharacterised
073-IL-01.bin.1.315	073-IL-01.bin.1.315_contig_115005	1	840220	876777	FALSE	putative_wzy_dependent				073-IL-01.bin.1.315_contig_115005	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__JAIUNP01	s__	FLASV50411.1289;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae,g:midas_g_2400,s:midas_s_20570;	HQ	073-IL-01.bin.1.315_contig_115005.region001.gbk_region_1	Uncharacterised
073-IL-01.bin.1.315	073-IL-01.bin.1.315_contig_24311	1	926688	950731	FALSE	cellulose-type-3				073-IL-01.bin.1.315_contig_24311	Synthase	2	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__JAIUNP01	s__	FLASV50411.1289;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae,g:midas_g_2400,s:midas_s_20570;	HQ	073-IL-01.bin.1.315_contig_24311.region001.gbk_region_1	cellulose-type-3
087-SA-04.bin.1.257	087-SA-04.bin.1.257_contig_20517	1	1166966	1200206	FALSE	putative_wzy_dependent				087-SA-04.bin.1.257_contig_20517	Uncharacterised	1	d__Bacteria	p__JADJOY01	c__JADJOY01	o__JADJOY01	f__JADJOY01	g__	s__	FLASV681.1478;tax=d:Bacteria,p:Desulfobacterota,c:midas_c_41,o:midas_o_41,f:midas_f_681,g:midas_g_681,s:midas_s_681;	HQ	087-SA-04.bin.1.257_contig_20517.region001.gbk_region_1	Uncharacterised
087-SA-04.bin.1.257	087-SA-04.bin.1.257_contig_32161	1	360468	383482	FALSE	putative_wzy_dependent_NO_OPX				087-SA-04.bin.1.257_contig_32161	Uncharacterised	1	d__Bacteria	p__JADJOY01	c__JADJOY01	o__JADJOY01	f__JADJOY01	g__	s__	FLASV681.1478;tax=d:Bacteria,p:Desulfobacterota,c:midas_c_41,o:midas_o_41,f:midas_f_681,g:midas_g_681,s:midas_s_681;	HQ	087-SA-04.bin.1.257_contig_32161.region001.gbk_region_1	Uncharacterised
087-SA-04.bin.1.257	087-SA-04.bin.1.257_contig_69113	1	577954	628081	FALSE	putative_ABC_or_wzy_dependent				087-SA-04.bin.1.257_contig_69113	Uncharacterised	1	d__Bacteria	p__JADJOY01	c__JADJOY01	o__JADJOY01	f__JADJOY01	g__	s__	FLASV681.1478;tax=d:Bacteria,p:Desulfobacterota,c:midas_c_41,o:midas_o_41,f:midas_f_681,g:midas_g_681,s:midas_s_681;	HQ	087-SA-04.bin.1.257_contig_69113.region001.gbk_region_1	Uncharacterised
088-SA-05.bin.2.319	088-SA-05.bin.2.319_contig_12033	1	44602	76643	FALSE	putative_wzy_dependent_NO_OPX				088-SA-05.bin.2.319_contig_12033	Uncharacterised	1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Anaerolineales	f__UBA6663	g__DSNW01	s__	FLASV28697.1324;tax=d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae,g:midas_g_11967,s:midas_s_20126;	HQ	088-SA-05.bin.2.319_contig_12033.region001.gbk_region_1	Uncharacterised
088-SA-05.bin.2.319	088-SA-05.bin.2.319_contig_12847	1	388574	433791	FALSE	putative_wzy_dependent_NO_OPX				088-SA-05.bin.2.319_contig_12847	Uncharacterised	1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Anaerolineales	f__UBA6663	g__DSNW01	s__	FLASV28697.1324;tax=d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae,g:midas_g_11967,s:midas_s_20126;	HQ	088-SA-05.bin.2.319_contig_12847.region001.gbk_region_1	Uncharacterised
088-SA-05.bin.2.319	088-SA-05.bin.2.319_contig_46320	1	150244	167492	FALSE	putative_wzy_dependent_NO_OPX				088-SA-05.bin.2.319_contig_46320	Uncharacterised	1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Anaerolineales	f__UBA6663	g__DSNW01	s__	FLASV28697.1324;tax=d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae,g:midas_g_11967,s:midas_s_20126;	HQ	088-SA-05.bin.2.319_contig_46320.region001.gbk_region_1	Uncharacterised
018-CH-08.bin.1.223	018-CH-08.bin.1.223_contig_224025	1	0	16803	TRUE	putative_wzy_dependent_NO_OPX				018-CH-08.bin.1.223_contig_224025	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__	s__	FLASV6821.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_6821,s:midas_s_6821;	HQ	018-CH-08.bin.1.223_contig_224025.region001.gbk_region_1	Uncharacterised
018-CH-08.bin.1.223	018-CH-08.bin.1.223_contig_224025	2	94497	148138	TRUE	putative_wzy_dependent_NO_OPX				018-CH-08.bin.1.223_contig_224025	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__	s__	FLASV6821.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_6821,s:midas_s_6821;	HQ	018-CH-08.bin.1.223_contig_224025.region002.gbk_region_1	Uncharacterised
018-CH-08.bin.1.223	018-CH-08.bin.1.223_contig_81464	1	19581	34424	TRUE	putative_wzy_dependent_NO_OPX				018-CH-08.bin.1.223_contig_81464	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__	s__	FLASV6821.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_6821,s:midas_s_6821;	HQ	018-CH-08.bin.1.223_contig_81464.region001.gbk_region_1	Uncharacterised
061-AU-11.bin.1.137	061-AU-11.bin.1.137_contig_3151	1	2037218	2078882	FALSE	putative_ABC_dependent				061-AU-11.bin.1.137_contig_3151	Uncharacterised	1	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Gemmatales	f__Gemmataceae	g__JALHQU01	s__	FLASV56319.1328;tax=d:Bacteria,p:Planctomycetota,c:Planctomycetes,o:Gemmatales,f:Gemmataceae,g:Fimbriiglobus,s:midas_s_56319;	HQ	061-AU-11.bin.1.137_contig_3151.region001.gbk_region_1	Uncharacterised
067-CH-23.bin.1.14	067-CH-23.bin.1.14_contig_3711	1	132640	192809	FALSE	putative_ABC_dependent				067-CH-23.bin.1.14_contig_3711	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__	FLASV11336.1304;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Novosphingobium,s:midas_s_11336;	HQ	067-CH-23.bin.1.14_contig_3711.region001.gbk_region_1	Uncharacterised
067-CH-23.bin.1.14	067-CH-23.bin.1.14_contig_7153	1	704593	731246	FALSE	putative_wzy_dependent				067-CH-23.bin.1.14_contig_7153	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__	FLASV11336.1304;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Novosphingobium,s:midas_s_11336;	HQ	067-CH-23.bin.1.14_contig_7153.region001.gbk_region_1	Uncharacterised
