file	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_%	record_desc
NC_003155	NC_003155	1	3852046	3891117	False	putative_ABC_dependent_NO_OPX				Streptomyces avermitilis MA-4680 = NBRC 14893, complete sequence
NC_003155	NC_003155	2	7772814	7844784	False	putative_ABC_dependent_NO_OPX				Streptomyces avermitilis MA-4680 = NBRC 14893, complete sequence
NC_018524	NC_018524	1	1173133	1201309	False	putative_wzy_dependent_NO_OPX				Nocardiopsis alba ATCC BAA-2165, complete sequence
NC_018524	NC_018524	2	3550282	3596113	False	putative_ABC_dependent_NO_OPX				Nocardiopsis alba ATCC BAA-2165, complete sequence
NC_021039	NC_021039	1	324700	349936	False	putative_wzy_dependent_NO_OPX				Ruminococcus champanellensis 18P13 = JCM 17042, complete sequence
NC_018632	NC_018632	1	1701352	1740626	False	putative_wzy_dependent				Alteromonas macleodii ATCC 27126, complete sequence
NC_018632	NC_018632	2	3031498	3086454	False	putative_wzy_dependent				Alteromonas macleodii ATCC 27126, complete sequence
NC_018632	NC_018632	3	3728406	3746425	False	generic-cellulose				Alteromonas macleodii ATCC 27126, complete sequence
NC_019978	NC_019978	1	2365798	2410635	False	putative_wzy_dependent_NO_OPX				Halobacteroides halobius DSM 5150, complete sequence
NC_002696	NC_002696	1	2625667	2644691	False	putative_wzy_dependent				Caulobacter vibrioides CB15, complete sequence
NC_014550	NC_014550	1	1556055	1577655	False	putative_wzy_dependent_NO_OPX				Glutamicibacter arilaitensis Re117, complete sequence
NC_012968	NC_012968	1	1951305	1978339	False	putative_wzy_dependent				Methylotenera mobilis JLW8, complete sequence
NC_006370	NC_006370	1	341380	364487	False	putative_wzy_dependent				Photobacterium profundum SS9 chromosome 1, complete sequence
NC_006370	NC_006370	2	1956412	1980810	False	type-2-cellulose				Photobacterium profundum SS9 chromosome 1, complete sequence
NC_006370	NC_006370	3	3099766	3150096	False	putative_wzy_dependent				Photobacterium profundum SS9 chromosome 1, complete sequence
NC_014759	NC_014759	1	739197	810207	False	putative_wzy_dependent				Marivirga tractuosa DSM 4126, complete sequence
NC_014759	NC_014759	2	3131512	3169940	False	putative_wzy_dependent				Marivirga tractuosa DSM 4126, complete sequence
NC_018405	NC_018405	1	3098722	3129846	False	colanic				Enterobacter kobei, complete sequence
NC_018405	NC_018405	2	3999346	4015067	False	PNAG-pga				Enterobacter kobei, complete sequence
NC_018405	NC_018405	3	4478708	4500458	False	cellulose-like				Enterobacter kobei, complete sequence
NC_018405	NC_018405	4	4557408	4577140	False	putative_wzy_dependent_NO_OPX				Enterobacter kobei, complete sequence
NC_017960	NC_017960	1	1874786	1922976	False	putative_wzy_dependent_NO_OPX				Enterococcus faecium DO, complete sequence
NC_007722	NC_007722	1	1409564	1428837	False	putative_ABC_dependent				Erythrobacter litoralis HTCC2594, complete sequence
NC_007722	NC_007722	2	2437863	2483635	False	putative_wzy_dependent				Erythrobacter litoralis HTCC2594, complete sequence
NC_007722	NC_007722	3	2653414	2706278	False	putative_wzy_dependent				Erythrobacter litoralis HTCC2594, complete sequence
NC_008618	NC_008618	1	488598	506435	False	pel-positive				Bifidobacterium adolescentis ATCC 15703, complete sequence
