file	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_%	record_desc
088-SA-05.bin.2.157	088-SA-05.bin.2.157_contig_14061	1	41469	78467	False	putative_wzy_dependent_NO_OPX				088-SA-05.bin.2.157_contig_14061
088-SA-05.bin.2.157	088-SA-05.bin.2.157_contig_14061	2	385347	428180	False	putative_wzy_dependent_NO_OPX				088-SA-05.bin.2.157_contig_14061
088-SA-05.bin.2.157	088-SA-05.bin.2.157_contig_14600	1	407693	453204	False	putative_wzy_dependent_NO_OPX				088-SA-05.bin.2.157_contig_14600
088-SA-05.bin.2.157	088-SA-05.bin.2.157_contig_20511	1	811590	848976	False	putative_wzy_dependent_NO_OPX				088-SA-05.bin.2.157_contig_20511
088-SA-05.bin.2.157	088-SA-05.bin.2.157_contig_60319	1	120228	145224	False	putative_ABC_dependent_NO_OPX				088-SA-05.bin.2.157_contig_60319
091-US1-126.bin.1.841	091-US1-126.bin.1.841_contig_13514	1	896209	926486	False	putative_wzy_dependent_NO_OPX				091-US1-126.bin.1.841_contig_13514
091-US1-126.bin.1.841	091-US1-126.bin.1.841_contig_13514	2	1512925	1566653	False	putative_wzy_dependent_NO_OPX				091-US1-126.bin.1.841_contig_13514
091-US1-126.bin.1.841	091-US1-126.bin.1.841_contig_13514	3	3259721	3292994	False	putative_ABC_dependent_NO_OPX				091-US1-126.bin.1.841_contig_13514
008-AR-23.bin.4.1000	008-AR-23.bin.4.1000_contig_141513	1	14879	47365	True	putative_wzy_dependent				008-AR-23.bin.4.1000_contig_141513
008-AR-23.bin.4.1000	008-AR-23.bin.4.1000_contig_142152	1	212221	272477	True	putative_wzy_dependent				008-AR-23.bin.4.1000_contig_142152
008-AR-23.bin.4.1000	008-AR-23.bin.4.1000_contig_76173	1	245679	274468	True	putative_wzy_dependent				008-AR-23.bin.4.1000_contig_76173
099-UY-16.bin.1.217	099-UY-16.bin.1.217_contig_32475	1	85211	98483	False	PNAG-pga-like				099-UY-16.bin.1.217_contig_32475
099-UY-16.bin.1.217	099-UY-16.bin.1.217_contig_32475	2	305010	336674	False	putative_wzy_dependent				099-UY-16.bin.1.217_contig_32475
013-IT-11.bin.2.205	013-IT-11.bin.2.205_contig_132234	1	722536	785270	False	putative_ABC_dependent_NO_OPX				013-IT-11.bin.2.205_contig_132234
013-IT-11.bin.2.205	013-IT-11.bin.2.205_contig_132234	2	1114375	1150071	False	putative_wzy_dependent				013-IT-11.bin.2.205_contig_132234
060-AU-05.bin.1.463	060-AU-05.bin.1.463_contig_1947	1	40381	78194	False	putative_wzy_dependent_NO_OPX				060-AU-05.bin.1.463_contig_1947
060-AU-05.bin.1.463	060-AU-05.bin.1.463_contig_1947	2	454758	487117	False	putative_wzy_dependent				060-AU-05.bin.1.463_contig_1947
060-AU-05.bin.1.463	060-AU-05.bin.1.463_contig_1947	3	842277	886218	False	putative_wzy_dependent				060-AU-05.bin.1.463_contig_1947
048-UY-15.bin.2.133	048-UY-15.bin.2.133_contig_11114	1	0	19351	True	putative_wzy_dependent_NO_OPX				048-UY-15.bin.2.133_contig_11114
095-US2-13.bin.3.538	095-US2-13.bin.3.538_contig_10953	1	705589	826570	False	putative_wzy_dependent				095-US2-13.bin.3.538_contig_10953
095-US2-13.bin.3.538	095-US2-13.bin.3.538_contig_9278	1	203969	265887	False	putative_wzy_dependent				095-US2-13.bin.3.538_contig_9278
096-US2-26.bin.1.431	096-US2-26.bin.1.431_contig_10089	1	149974	168102	True	type-3-cellulose				096-US2-26.bin.1.431_contig_10089
096-US2-26.bin.1.431	096-US2-26.bin.1.431_contig_965	1	1178	30693	True	putative_wzy_dependent_NO_OPX				096-US2-26.bin.1.431_contig_965
096-US2-26.bin.1.431	096-US2-26.bin.1.431_contig_965	2	1626422	1643581	False	putative_wzy_dependent				096-US2-26.bin.1.431_contig_965
017-IL-02.bin.2.238	017-IL-02.bin.2.238_contig_22686	1	518360	544925	False	putative_wzy_dependent				017-IL-02.bin.2.238_contig_22686
017-IL-02.bin.2.238	017-IL-02.bin.2.238_contig_37632	1	360579	388859	False	putative_wzy_dependent_NO_OPX				017-IL-02.bin.2.238_contig_37632
017-IL-02.bin.2.238	017-IL-02.bin.2.238_contig_53937	1	131695	146008	False	putative_ABC_or_wzy_dependent				017-IL-02.bin.2.238_contig_53937
017-IL-02.bin.2.238	017-IL-02.bin.2.238_contig_53937	2	331176	387952	False	putative_wzy_dependent_NO_OPX				017-IL-02.bin.2.238_contig_53937
061-AU-11.bin.1.86	061-AU-11.bin.1.86_contig_19885	1	682671	723145	False	putative_wzy_dependent				061-AU-11.bin.1.86_contig_19885
061-AU-11.bin.1.86	061-AU-11.bin.1.86_contig_29913	1	1285404	1309651	False	putative_wzy_dependent				061-AU-11.bin.1.86_contig_29913
061-AU-11.bin.1.86	061-AU-11.bin.1.86_contig_47158	1	432345	458222	False	putative_wzy_dependent_NO_OPX				061-AU-11.bin.1.86_contig_47158
061-AU-11.bin.1.86	061-AU-11.bin.1.86_contig_9537	1	1041809	1083378	False	putative_ABC_dependent_NO_OPX				061-AU-11.bin.1.86_contig_9537
040-UK-14.bin.1.558	040-UK-14.bin.1.558_contig_12853	1	120143	222803	True	putative_wzy_dependent				040-UK-14.bin.1.558_contig_12853
025-FI-01.bin.1.30	025-FI-01.bin.1.30_contig_1962	1	255462	330500	False	putative_wzy_dependent				025-FI-01.bin.1.30_contig_1962
029-CA-06.bin.1.18	029-CA-06.bin.1.18_contig_7259	1	596398	658398	True	putative_wzy_dependent_NO_OPX				029-CA-06.bin.1.18_contig_7259
029-CA-06.bin.1.18	029-CA-06.bin.1.18_contig_9166	1	524247	542970	False	putative_wzy_dependent_NO_OPX				029-CA-06.bin.1.18_contig_9166
031-CZ-17.bin.c.23	031-CZ-17.bin.c.23_contig_37095	1	2846286	2885995	False	putative_ABC_dependent_NO_OPX				031-CZ-17.bin.c.23_contig_37095
