query,target,evalue,bitscore,inclusion,genome,coordinates,accession
PEP_CTERM,NZ_LSJM01000058.1_2,2.5,7.1,0,GCF_001557215.1,813_1526_-1,NZ_LSJM01000058.1
PEP_CTERM,NZ_CANMPJ010000001.1_1149,4.8e-09,34.1,1,GCF_947499705.1,1248071_1248298_-1,NZ_CANMPJ010000001.1
PEP_CTERM,NZ_RSEK01000026.1_7,9.6e-06,23.6,1,GCF_003958635.1,4101_4691_1,NZ_RSEK01000026.1
PEP_CTERM,NZ_RSEK01000028.1_10,1.5e-05,22.9,1,GCF_003958635.1,8044_8625_1,NZ_RSEK01000028.1
PEP_CTERM,NZ_RSEK01000055.1_3,2.9e-05,22.1,1,GCF_003958635.1,1655_2215_1,NZ_RSEK01000055.1
PEP_CTERM,NZ_RSEK01000056.1_2,7.7e-05,20.8,1,GCF_003958635.1,522_1034_-1,NZ_RSEK01000056.1
PEP_CTERM,NZ_RSEK01000037.1_8,0.001,17.2,1,GCF_003958635.1,5789_6511_1,NZ_RSEK01000037.1
PEP_CTERM,NZ_RSEK01000019.1_6,0.0011,17.1,1,GCF_003958635.1,4924_5541_1,NZ_RSEK01000019.1
PEP_CTERM,NZ_RSEK01000026.1_12,0.0016,16.6,1,GCF_003958635.1,8858_9532_-1,NZ_RSEK01000026.1
PEP_CTERM,NZ_RSEK01000001.1_369,0.017,13.4,0,GCF_003958635.1,394850_396415_-1,NZ_RSEK01000001.1
PEP_CTERM,NZ_JARBWD010000001.1_2533,0.0017,16.5,1,GCF_030140925.1,2634899_2635084_-1,NZ_JARBWD010000001.1
PEP_CTERM,NZ_CANLMB010000001.1_1045,1.2e-06,26.5,1,GCF_947492365.1,1093847_1094440_1,NZ_CANLMB010000001.1
PEP_CTERM,NZ_NMUA01000011.1_77,0.0062,15.5,1,GCF_002312805.1,73849_74118_1,NZ_NMUA01000011.1
PEP_CTERM,NZ_NMUA01000005.1_110,0.15,11.2,0,GCF_002312805.1,111767_112582_1,NZ_NMUA01000005.1
PEP_CTERM,NZ_JAIUZO010000001.1_75,1.6e-05,22.7,1,GCF_020171365.1,78872_79585_1,NZ_JAIUZO010000001.1
PEP_CTERM,NZ_JAINVV010000011.1_331,4.0,6.9,0,GCF_019880585.1,371897_372769_1,NZ_JAINVV010000011.1
PEP_CTERM,NZ_VLKJ01000008.1_17,5e-06,24.9,1,GCF_007830315.1,15949_16665_-1,NZ_VLKJ01000008.1
PEP_CTERM,NZ_VLKJ01000008.1_19,9.3e-05,20.9,1,GCF_007830315.1,18396_18770_-1,NZ_VLKJ01000008.1
PEP_CTERM,NZ_VLKJ01000006.1_271,0.39,9.6,0,GCF_007830315.1,279687_279905_-1,NZ_VLKJ01000006.1
PEP_CTERM,NZ_NBBI01000001.1_647,0.01,14.2,0,GCF_002197685.1,710139_710894_-1,NZ_NBBI01000001.1
PEP_CTERM,NZ_CP031155.1_2141,8.1e-06,23.7,1,GCF_003344885.1,2223820_2223996_1,NZ_CP031155.1
PEP_CTERM,NZ_CP031155.1_2330,0.037,12.2,0,GCF_003344885.1,2442360_2442467_-1,NZ_CP031155.1
PEP_CTERM,NZ_CP102384.1_1294,4e-06,25.3,1,GCF_024628865.1,1427530_1428255_1,NZ_CP102384.1
PEP_CTERM,NZ_CP102384.1_336,0.39,9.8,0,GCF_024628865.1,367124_367642_1,NZ_CP102384.1
PEP_CTERM,JAJTEF010000054.1_13,2.8,6.1,0,GCA_021300355.1,9509_9922_1,JAJTEF010000054.1
PEP_CTERM,NZ_ALBQ01000027.1_95,9.1e-06,24.0,1,GCF_000282895.1,121981_122571_1,NZ_ALBQ01000027.1
PEP_CTERM,NZ_ALBQ01000011.1_367,2.9e-05,22.4,1,GCF_000282895.1,378078_378656_-1,NZ_ALBQ01000011.1
PEP_CTERM,NZ_ALBQ01000062.1_32,3.3e-05,22.2,1,GCF_000282895.1,27258_28427_1,NZ_ALBQ01000062.1
PEP_CTERM,NZ_ALBQ01000011.1_86,8e-05,21.0,1,GCF_000282895.1,82253_82753_-1,NZ_ALBQ01000011.1
PEP_CTERM,NZ_ALBQ01000059.1_77,8.8e-05,20.9,1,GCF_000282895.1,68473_68976_-1,NZ_ALBQ01000059.1
PEP_CTERM,NZ_ALBQ01000021.1_30,0.00013,20.4,1,GCF_000282895.1,30208_30705_1,NZ_ALBQ01000021.1
PEP_CTERM,NZ_ALBQ01000062.1_27,0.00048,18.6,1,GCF_000282895.1,20632_21288_-1,NZ_ALBQ01000062.1
PEP_CTERM,NZ_ALBQ01000002.1_17,0.00049,18.6,1,GCF_000282895.1,19022_19630_1,NZ_ALBQ01000002.1
PEP_CTERM,NZ_ALBQ01000053.1_50,0.00083,17.8,1,GCF_000282895.1,53374_54045_-1,NZ_ALBQ01000053.1
PEP_CTERM,NZ_ALBQ01000003.1_79,0.00085,17.8,1,GCF_000282895.1,102716_103336_-1,NZ_ALBQ01000003.1
PEP_CTERM,NZ_ALBQ01000016.1_8,0.00092,17.7,1,GCF_000282895.1,7413_8669_1,NZ_ALBQ01000016.1
PEP_CTERM,NZ_ALBQ01000053.1_52,0.0035,15.9,1,GCF_000282895.1,56401_57102_-1,NZ_ALBQ01000053.1
PEP_CTERM,NZ_ALBQ01000040.1_16,0.0037,15.8,1,GCF_000282895.1,14200_14751_1,NZ_ALBQ01000040.1
PEP_CTERM,NZ_ALBQ01000021.1_71,0.0044,15.6,1,GCF_000282895.1,74276_75451_-1,NZ_ALBQ01000021.1
PEP_CTERM,NZ_ALBQ01000021.1_220,0.012,14.2,0,GCF_000282895.1,227524_228165_-1,NZ_ALBQ01000021.1
PEP_CTERM,NZ_ALBQ01000005.1_33,0.013,14.1,0,GCF_000282895.1,37588_38256_-1,NZ_ALBQ01000005.1
PEP_CTERM,NZ_ALBQ01000005.1_88,3.5,6.5,0,GCF_000282895.1,109433_111028_-1,NZ_ALBQ01000005.1
PEP_CTERM,NZ_PGEN01000001.1_1031,4e-06,25.2,1,GCF_002797435.1,1082086_1082349_1,NZ_PGEN01000001.1
PEP_CTERM,NZ_PGEN01000001.1_2326,9.4,5.3,0,GCF_002797435.1,2470406_2470768_-1,NZ_PGEN01000001.1
PEP_CTERM,CANLCX010000002.1_808,8.8e-06,24.0,1,GCA_947489315.1,807606_808241_-1,CANLCX010000002.1
PEP_CTERM,CANLCX010000002.1_576,1e-05,23.8,1,GCA_947489315.1,581085_581771_-1,CANLCX010000002.1
PEP_CTERM,CANLCX010000002.1_18,2.6e-05,22.5,1,GCA_947489315.1,18534_19496_-1,CANLCX010000002.1
PEP_CTERM,CANLCX010000005.1_58,3.9e-05,22.0,1,GCA_947489315.1,64323_65561_-1,CANLCX010000005.1
PEP_CTERM,CANLCX010000002.1_75,5.1e-05,21.6,1,GCA_947489315.1,78592_79266_1,CANLCX010000002.1
PEP_CTERM,CANLCX010000002.1_196,0.0003,19.2,1,GCA_947489315.1,189604_190296_-1,CANLCX010000002.1
PEP_CTERM,CANLCX010000001.1_182,0.00071,18.0,1,GCA_947489315.1,213918_214631_1,CANLCX010000001.1
PEP_CTERM,CANLCX010000005.1_201,0.0011,17.5,1,GCA_947489315.1,202873_203454_1,CANLCX010000005.1
PEP_CTERM,CANLCX010000005.1_35,0.0013,17.2,1,GCA_947489315.1,40646_41314_1,CANLCX010000005.1
PEP_CTERM,CANLCX010000002.1_1038,0.0017,16.8,1,GCA_947489315.1,1060781_1061365_-1,CANLCX010000002.1
PEP_CTERM,CANLCX010000001.1_664,0.0022,16.5,1,GCA_947489315.1,714869_715396_-1,CANLCX010000001.1
PEP_CTERM,CANLCX010000003.1_115,0.0032,16.0,1,GCA_947489315.1,117023_117658_1,CANLCX010000003.1
PEP_CTERM,CANLCX010000002.1_680,0.0034,15.9,1,GCA_947489315.1,672122_672652_-1,CANLCX010000002.1
PEP_CTERM,CANLCX010000002.1_1094,0.0056,15.2,1,GCA_947489315.1,1118190_1118762_1,CANLCX010000002.1
PEP_CTERM,CANLCX010000003.1_54,0.0063,15.1,1,GCA_947489315.1,55150_55755_-1,CANLCX010000003.1
PEP_CTERM,CANLCX010000003.1_386,0.013,14.0,0,GCA_947489315.1,397250_397903_-1,CANLCX010000003.1
PEP_CTERM,NZ_LDES01000040.1_108,8.5e-05,21.4,1,GCF_001015195.1,123308_124255_-1,NZ_LDES01000040.1
PEP_CTERM,NZ_LDES01000038.1_117,0.00089,18.2,1,GCF_001015195.1,112915_114009_1,NZ_LDES01000038.1
PEP_CTERM,NZ_LDES01000055.1_68,0.0084,15.2,1,GCF_001015195.1,73295_74005_1,NZ_LDES01000055.1
PEP_CTERM,NZ_LDES01000033.1_91,0.014,14.5,0,GCF_001015195.1,80702_81202_1,NZ_LDES01000033.1
PEP_CTERM,NZ_LMPG01000012.1_301,2.3e-07,28.8,1,GCF_001423765.1,310137_311102_-1,NZ_LMPG01000012.1
