genome	contig	length
001-SG-02.bin.1.102.fa	001-SG-02.bin.1.102_contig_63574	2133647
001-SG-02.bin.1.108.fa	001-SG-02.bin.1.108_contig_7784	2490098
001-SG-02.bin.1.111.fa	001-SG-02.bin.1.111_contig_26574	1201885
001-SG-02.bin.1.111.fa	001-SG-02.bin.1.111_contig_37516	686671
001-SG-02.bin.1.111.fa	001-SG-02.bin.1.111_contig_39646	484921
001-SG-02.bin.1.111.fa	001-SG-02.bin.1.111_contig_40306	779012
001-SG-02.bin.1.114.fa	001-SG-02.bin.1.114_contig_102426	114344
001-SG-02.bin.1.114.fa	001-SG-02.bin.1.114_contig_121449	67116
001-SG-02.bin.1.114.fa	001-SG-02.bin.1.114_contig_123013	393198
001-SG-02.bin.1.114.fa	001-SG-02.bin.1.114_contig_15491	960933
001-SG-02.bin.1.114.fa	001-SG-02.bin.1.114_contig_28472	610442
001-SG-02.bin.1.114.fa	001-SG-02.bin.1.114_contig_3027	913934
001-SG-02.bin.1.114.fa	001-SG-02.bin.1.114_contig_47901	828125
001-SG-02.bin.1.114.fa	001-SG-02.bin.1.114_contig_47906	25540
001-SG-02.bin.1.114.fa	001-SG-02.bin.1.114_contig_49127	558673
001-SG-02.bin.1.114.fa	001-SG-02.bin.1.114_contig_86893	391281
001-SG-02.bin.1.119.fa	001-SG-02.bin.1.119_contig_1881	1969664
001-SG-02.bin.1.119.fa	001-SG-02.bin.1.119_contig_19377	2790363
001-SG-02.bin.1.12.fa	001-SG-02.bin.1.12_contig_114817	635938
001-SG-02.bin.1.12.fa	001-SG-02.bin.1.12_contig_118318	34263
001-SG-02.bin.1.12.fa	001-SG-02.bin.1.12_contig_120127	212249
001-SG-02.bin.1.12.fa	001-SG-02.bin.1.12_contig_120148	300351
001-SG-02.bin.1.12.fa	001-SG-02.bin.1.12_contig_122169	255206
001-SG-02.bin.1.12.fa	001-SG-02.bin.1.12_contig_122975	91785
001-SG-02.bin.1.12.fa	001-SG-02.bin.1.12_contig_16615	367661
001-SG-02.bin.1.12.fa	001-SG-02.bin.1.12_contig_20987	239833
001-SG-02.bin.1.12.fa	001-SG-02.bin.1.12_contig_42534	577723
001-SG-02.bin.1.12.fa	001-SG-02.bin.1.12_contig_46319	45406
001-SG-02.bin.1.12.fa	001-SG-02.bin.1.12_contig_48540	272014
001-SG-02.bin.1.12.fa	001-SG-02.bin.1.12_contig_59257	53244
001-SG-02.bin.1.12.fa	001-SG-02.bin.1.12_contig_61442	251785
001-SG-02.bin.1.12.fa	001-SG-02.bin.1.12_contig_75074	488559
001-SG-02.bin.1.12.fa	001-SG-02.bin.1.12_contig_80774	299132
001-SG-02.bin.1.12.fa	001-SG-02.bin.1.12_contig_89380	97466
001-SG-02.bin.1.12.fa	001-SG-02.bin.1.12_contig_92134	90219
001-SG-02.bin.1.126.fa	001-SG-02.bin.1.126_contig_113300	71042
