file	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_%	record_desc
TLL44_bin.38	opera_contig_269842	1	377097	458955	False	putative_wzy_dependent_NO_OPX				opera_contig_269842
TLL84_bin.26	opera_contig_162843	1	10872	23771	False	pel-like				opera_contig_162843
TLL57_bin.33	opera_contig_232805	1	0	18953	True	putative_wzy_dependent_NO_OPX				opera_contig_232805
TLL36_bin.51	opera_contig_40	1	15491	35789	False	pel-positive				opera_contig_40
TLL36_bin.51	opera_contig_50	1	0	45859	True	putative_wzy_dependent_NO_OPX				opera_contig_50
TLL36_bin.51	opera_contig_151420	1	930390	952421	False	putative_wzy_dependent_NO_OPX				opera_contig_151420
TLL64_bin.56	opera_contig_128080	1	1108397	1153993	True	putative_wzy_dependent_NO_OPX				opera_contig_128080
TLL64_bin.56	opera_contig_128082	1	319214	365110	True	putative_ABC_dependent_NO_OPX				opera_contig_128082
TLL99_bin.69	opera_contig_160031	1	0	25668	True	putative_wzy_dependent_NO_OPX				opera_contig_160031
TLL107_bin.11	opera_contig_97303	1	43347	75046	False	putative_wzy_dependent_NO_OPX				opera_contig_97303
TLL65_bin.78	opera_contig_109410	1	12385	28154	False	PNAG-pga				opera_contig_109410
TLL65_bin.78	opera_contig_109411	1	12942	44870	False	colanic				opera_contig_109411
TLL65_bin.78	opera_contig_110494	1	1139389	1161055	False	putative_wzy_dependent_NO_OPX				opera_contig_110494
TLL44_bin.9	opera_contig_268560	1	776588	823095	False	putative_wzy_dependent_NO_OPX				opera_contig_268560
TLL38_bin.104	opera_contig_437	1	0	27757	True	putative_wzy_dependent_NO_OPX				opera_contig_437
TLL19_bin.43	opera_contig_162616	1	0	23111	True	putative_wzy_dependent_NO_OPX				opera_contig_162616
TLL44_bin.43	opera_contig_269472	1	372319	408345	False	putative_wzy_dependent_NO_OPX				opera_contig_269472
TLL97_bin.10	opera_contig_307579	1	72936	87175	False	alpha-glucansucrase				opera_contig_307579
TLL109_bin.9	opera_contig_57779	1	0	12921	True	pel-positive				opera_contig_57779
TLL02_bin.10	opera_contig_152032	1	266018	301515	False	putative_wzy_dependent_NO_OPX				opera_contig_152032
TLL16_bin.18	opera_contig_211885	1	524106	569975	False	putative_wzy_dependent_NO_OPX				opera_contig_211885
TLL82_bin.31	opera_contig_169728	1	0	25885	True	putative_wzy_dependent_NO_OPX				opera_contig_169728
TLL26_bin.41	opera_contig_94	1	20978	58015	True	putative_wzy_dependent_NO_OPX				opera_contig_94
TLL74_bin.71	opera_contig_231755	1	0	28343	True	putative_wzy_dependent_NO_OPX				opera_contig_231755
TLL05_bin.112	opera_contig_254	1	0	19147	True	alpha-glucansucrase				opera_contig_254
TLL06_bin.9	opera_contig_189589	1	55446	76018	False	putative_wzy_dependent_NO_OPX				opera_contig_189589
TLL99_bin.14	opera_contig_159529	1	79842	97080	False	pel-positive				opera_contig_159529
TLL59_bin.59	opera_contig_121331	1	897054	941214	False	putative_wzy_dependent_NO_OPX				opera_contig_121331
TLL59_bin.59	opera_contig_121332	1	448197	475149	False	putative_wzy_dependent_NO_OPX				opera_contig_121332
TLL34_bin.6	opera_contig_107381	1	598523	633337	True	putative_wzy_dependent_NO_OPX				opera_contig_107381
TLL44_bin.134	opera_contig_266749	1	112118	178370	False	putative_wzy_dependent_NO_OPX				opera_contig_266749
