file	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_%	record_desc
SPMP08_bin.11	k99_60866	1	0	41917	True	putative_ABC_dependent				k99_60866
SPMP106_bin.30	k99_64910	1	0	7990	True	putative_wzy_dependent_NO_OPX				k99_64910
SPMP32_bin.8	k99_52500	1	0	5946	True	pel-like				k99_52500
SPMP41_bin.3	k99_130598	1	0	14264	True	pel-positive				k99_130598
SPMP09_bin.28	k99_112450	1	1394	17796	True	pel-positive				k99_112450
SPMP31_bin.2	k99_443349	1	5	18502	True	putative_wzy_dependent_NO_OPX				k99_443349
SPMP03_bin.16	k99_94015	1	0	15124	True	pel-positive				k99_94015
SPMP91_bin.16	k99_228610	1	7000	21658	True	pel-positive				k99_228610
SPMP51_bin.33	k99_6174	1	0	22192	True	putative_wzy_dependent_NO_OPX				k99_6174
SPMP67_bin.8	k99_64604	1	5491	23008	True	pel-positive				k99_64604
SPMP67_bin.8	k99_100762	1	7925	24964	True	putative_wzy_dependent_NO_OPX				k99_100762
SPMP79_bin.17	k99_21498	1	0	23798	True	putative_ABC_dependent				k99_21498
SPMP66_bin.6	k99_105582	1	0	4822	True	putative_ABC_or_wzy_dependent				k99_105582
SPMP28_bin.56	k99_17694	1	0	15761	True	putative_wzy_dependent_NO_OPX				k99_17694
SPMP20_bin.20	k99_56549	1	478	21123	True	putative_wzy_dependent_NO_OPX				k99_56549
SPMP21_bin.17	k99_19959	1	0	6880	True	cellulose-like				k99_19959
SPMP35_bin.69	k99_295900	1	0	6727	True	putative_wzy_dependent				k99_295900
SPMP35_bin.59	k99_154581	1	0	8142	True	cellulose-like				k99_154581
SPMP100_bin.28	k99_336209	1	0	3079	True	alpha-glucansucrase				k99_336209
SPMP99_bin.16	k99_24607	1	2949	23301	True	pel-positive				k99_24607
SPMP39_bin.8	k99_32972	1	0	16317	True	putative_wzy_dependent				k99_32972
SPMP20_bin.27	k99_71685	1	0	28379	True	putative_wzy_dependent_NO_OPX				k99_71685
SPMP65_bin.44	k99_40127	1	0	6003	True	alpha-glucansucrase				k99_40127
SPMP65_bin.44	k99_63513	1	0	13411	True	pel-positive				k99_63513
SPMP65_bin.44	k99_68669	1	0	5144	True	alpha-glucansucrase				k99_68669
SPMP74_bin.31	k99_208034	1	0	18840	True	putative_wzy_dependent_NO_OPX				k99_208034
SPMP16_bin.33	k99_15047	1	0	5119	True	pel-like				k99_15047
SPMP59_bin.27	k99_54212	1	0	10808	True	pel-positive				k99_54212
SPMP75_bin.41	k99_5532	1	0	22000	True	putative_ABC_dependent_NO_OPX				k99_5532
SPMP87_bin.5	k99_81248	1	10311	21199	True	cellulose-gram-positive-like				k99_81248
SPMP57_bin.38	k99_79545	1	0	13433	True	putative_wzy_dependent_NO_OPX				k99_79545
SPMP57_bin.38	k99_82883	1	0	11317	True	putative_wzy_dependent_NO_OPX				k99_82883
SPMP57_bin.38	k99_362879	1	2530	14771	True	PNAG-pga				k99_362879
SPMP57_bin.38	k99_421867	1	0	15994	True	generic-cellulose				k99_421867
SPMP58_bin.19	k99_76100	1	0	6673	True	pel-like				k99_76100
SPMP30_bin.82	k99_332135	1	0	8631	True	putative_wzy_dependent_NO_OPX				k99_332135
SPMP14_bin.56	k99_56436	1	11750	31885	True	putative_wzy_dependent_NO_OPX				k99_56436
SPMP01_bin.40	k99_113984	1	0	17500	True	putative_wzy_dependent				k99_113984
SPMP01_bin.40	k99_360043	1	0	24214	True	putative_wzy_dependent				k99_360043
SPMP01_bin.40	k99_511750	1	0	25686	True	putative_ABC_or_wzy_dependent				k99_511750
