genome_id	contig_id	region_id	gene_id	location	product	Query	e-value	bitscore	pfam_hit
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_350	[1351:1762](-)	pel-like				PF00034.24 (Cytochrome c): [27:134] (score: 38.0, e-value: 2.90E-09)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_351	[1910:2849](+)	pel-like	l_galE_emulsan	7.9e-49	162.9	PF01370.24 (NAD dependent epimerase/dehydratase family): [4:241] (score: 168.8, e-value: 1.50E-49)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_351	[1910:2849](+)	pel-like	l_rmlB_sphingans	1.6e-10	36.7	PF01370.24 (NAD dependent epimerase/dehydratase family): [4:241] (score: 168.8, e-value: 1.50E-49)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_351	[1910:2849](+)	pel-like	wgaI_galactoglucan	4.1e-57	190.0	PF01370.24 (NAD dependent epimerase/dehydratase family): [4:241] (score: 168.8, e-value: 1.50E-49)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_351	[1910:2849](+)	pel-like	l_wgaI_galactoglucan	4.1e-57	190.0	PF01370.24 (NAD dependent epimerase/dehydratase family): [4:241] (score: 168.8, e-value: 1.50E-49)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_351	[1910:2849](+)	pel-like	galE_amylovoran	3.7e-33	110.9	PF01370.24 (NAD dependent epimerase/dehydratase family): [4:241] (score: 168.8, e-value: 1.50E-49)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_351	[1910:2849](+)	pel-like	l_galE_amylovoran	3.7e-33	110.9	PF01370.24 (NAD dependent epimerase/dehydratase family): [4:241] (score: 168.8, e-value: 1.50E-49)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_351	[1910:2849](+)	pel-like	l_exoB_succinoglycan	2.1e-21	72.0	PF01370.24 (NAD dependent epimerase/dehydratase family): [4:241] (score: 168.8, e-value: 1.50E-49)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_351	[1910:2849](+)	pel-like	Polysacc_synt_2	1.5e-06	23.7	PF01370.24 (NAD dependent epimerase/dehydratase family): [4:241] (score: 168.8, e-value: 1.50E-49)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_351	[1910:2849](+)	pel-like	l_wgaJ_galactoglucan	8.3e-06	21.1	PF01370.24 (NAD dependent epimerase/dehydratase family): [4:241] (score: 168.8, e-value: 1.50E-49)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_351	[1910:2849](+)	pel-like	l_wcaG_colanic	1.2e-06	24.0	PF01370.24 (NAD dependent epimerase/dehydratase family): [4:241] (score: 168.8, e-value: 1.50E-49)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_352	[2848:5182](+)	pel-like	pelA	6.2e-71	235.4	
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_353	[5188:5977](-)	pel-like				PF01627.26 (Hpt domain): [172:243] (score: 38.6, e-value: 1.10E-09)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_353	[5188:5977](-)	pel-like				PF00072.27 (Response regulator receiver domain): [16:129] (score: 97.7, e-value: 4.90E-28)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_354	[6125:7556](+)	pel-like	pelD	2.4e-40	134.1	PF13492.9 (GAF domain): [195:323] (score: 39.3, e-value: 8.40E-10)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_355	[7536:8622](+)	pel-like	pelE	8e-38	126.4	
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_356	[8630:9491](+)	pel-like				PF03537.16 (Glycoside-hydrolase family GH114): [36:278] (score: 88.0, e-value: 6.00E-25)
