file	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_sim	record_desc
026-AT-03.bin.1.637	026-AT-03.bin.1.637_contig_3227	1	390845	428346	False	putative_wzy_dependent_NO_OPX				026-AT-03.bin.1.637_contig_3227
026-AT-03.bin.1.637	026-AT-03.bin.1.637_contig_3227	2	1130024	1171979	False	putative_wzy_dependent_NO_OPX				026-AT-03.bin.1.637_contig_3227
006-MY-06.bin.1.147	006-MY-06.bin.1.147_contig_10444	1	860002	884670	False	exoPS_GCF_12				006-MY-06.bin.1.147_contig_10444
006-MY-06.bin.1.147	006-MY-06.bin.1.147_contig_22161	1	43488	100070	False	putative_wzy_dependent				006-MY-06.bin.1.147_contig_22161
006-MY-06.bin.1.147	006-MY-06.bin.1.147_contig_3179	1	300409	336841	False	putative_wzy_dependent				006-MY-06.bin.1.147_contig_3179
087-SA-04.bin.1.691	087-SA-04.bin.1.691_contig_1245	1	152863	199878	False	putative_wzy_dependent				087-SA-04.bin.1.691_contig_1245
087-SA-04.bin.1.691	087-SA-04.bin.1.691_contig_28186	1	1475668	1531736	False	putative_wzy_dependent				087-SA-04.bin.1.691_contig_28186
095-US2-13.bin.1.627	095-US2-13.bin.1.627_contig_21206	1	555417	616897	True	putative_ABC_dependent_NO_OPX				095-US2-13.bin.1.627_contig_21206
095-US2-13.bin.1.627	095-US2-13.bin.1.627_contig_3801	1	137311	168723	False	putative_ABC_or_wzy_dependent				095-US2-13.bin.1.627_contig_3801
095-US2-13.bin.1.627	095-US2-13.bin.1.627_contig_8686	1	2094527	2154894	False	putative_wzy_dependent_NO_OPX				095-US2-13.bin.1.627_contig_8686
072-HK-05.bin.1.65	072-HK-05.bin.1.65_contig_28378	1	818860	854117	False	putative_wzy_dependent_NO_OPX				072-HK-05.bin.1.65_contig_28378
072-HK-05.bin.1.65	072-HK-05.bin.1.65_contig_28982	1	243885	300384	False	putative_wzy_dependent_NO_OPX				072-HK-05.bin.1.65_contig_28982
072-HK-05.bin.1.65	072-HK-05.bin.1.65_contig_47516	1	973598	996576	False	pel-like				072-HK-05.bin.1.65_contig_47516
072-HK-05.bin.1.65	072-HK-05.bin.1.65_contig_47516	2	1240414	1263602	False	pel-like				072-HK-05.bin.1.65_contig_47516
004-NL-18.bin.1.353	004-NL-18.bin.1.353_contig_93889	1	306528	333504	False	exoPS_GCF_2				004-NL-18.bin.1.353_contig_93889
014-ES-23.bin.1.435	014-ES-23.bin.1.435_contig_137295	1	23571	79898	False	putative_wzy_dependent				014-ES-23.bin.1.435_contig_137295
043-US1-27.bin.1.149	043-US1-27.bin.1.149_contig_31707	1	319861	356682	False	zooglan				043-US1-27.bin.1.149_contig_31707
043-US1-27.bin.1.149	043-US1-27.bin.1.149_contig_31707	2	471990	531909	False	putative_wzy_dependent				043-US1-27.bin.1.149_contig_31707
043-US1-27.bin.1.149	043-US1-27.bin.1.149_contig_31707	3	1767781	1818756	False	putative_wzy_dependent				043-US1-27.bin.1.149_contig_31707
072-HK-05.bin.2.78	072-HK-05.bin.2.78_contig_15720	1	119758	142642	False	pel-like				072-HK-05.bin.2.78_contig_15720
072-HK-05.bin.2.78	072-HK-05.bin.2.78_contig_32174	1	180219	223643	False	putative_wzy_dependent				072-HK-05.bin.2.78_contig_32174
072-HK-05.bin.2.78	072-HK-05.bin.2.78_contig_32174	2	347619	383570	False	putative_ABC_dependent_NO_OPX				072-HK-05.bin.2.78_contig_32174
072-HK-05.bin.2.78	072-HK-05.bin.2.78_contig_42404	1	269374	337614	False	putative_ABC_dependent_NO_OPX				072-HK-05.bin.2.78_contig_42404
072-HK-05.bin.2.78	072-HK-05.bin.2.78_contig_82156	1	229874	260447	False	exoPS_GCF_13				072-HK-05.bin.2.78_contig_82156
001-SG-02.bin.1.17	001-SG-02.bin.1.17_contig_29952	1	499670	529347	False	exoPS_GCF_4				001-SG-02.bin.1.17_contig_29952
032-ES-07.bin.1.188	032-ES-07.bin.1.188_contig_100805	1	6681	41327	True	putative_wzy_dependent				032-ES-07.bin.1.188_contig_100805
032-ES-07.bin.1.188	032-ES-07.bin.1.188_contig_15352	1	517918	577319	False	putative_wzy_dependent_NO_OPX				032-ES-07.bin.1.188_contig_15352
041-UK2-07.bin.2.152	041-UK2-07.bin.2.152_contig_103179	1	9876	46840	True	putative_ABC_dependent				041-UK2-07.bin.2.152_contig_103179
041-UK2-07.bin.2.152	041-UK2-07.bin.2.152_contig_177632	1	16436	52261	True	putative_wzy_dependent_NO_OPX				041-UK2-07.bin.2.152_contig_177632
041-UK2-07.bin.2.152	041-UK2-07.bin.2.152_contig_183938	1	388348	413659	True	putative_wzy_dependent_NO_OPX				041-UK2-07.bin.2.152_contig_183938
041-UK2-07.bin.2.152	041-UK2-07.bin.2.152_contig_72947	1	50192	115364	False	putative_wzy_dependent_NO_OPX				041-UK2-07.bin.2.152_contig_72947
067-CH-23.bin.1.4	067-CH-23.bin.1.4_contig_13872	1	246322	267434	False	type-1-cellulose				067-CH-23.bin.1.4_contig_13872
067-CH-23.bin.1.4	067-CH-23.bin.1.4_contig_33041	1	267475	305655	False	putative_wzy_dependent				067-CH-23.bin.1.4_contig_33041
067-CH-23.bin.1.4	067-CH-23.bin.1.4_contig_36674	1	51951	88138	False	putative_ABC_dependent				067-CH-23.bin.1.4_contig_36674
059-AT-02.bin.1.172	059-AT-02.bin.1.172_contig_548	1	2357157	2399551	False	putative_wzy_dependent_NO_OPX				059-AT-02.bin.1.172_contig_548
059-AT-02.bin.c.21	059-AT-02.bin.c.21_contig_19468	1	956372	999256	False	putative_wzy_dependent				059-AT-02.bin.c.21_contig_19468
059-AT-02.bin.c.21	059-AT-02.bin.c.21_contig_19468	2	1695319	1750266	False	putative_wzy_dependent_NO_OPX				059-AT-02.bin.c.21_contig_19468
037-NO2-03.bin.1.124	037-NO2-03.bin.1.124_contig_107474	1	123045	192055	False	putative_wzy_dependent				037-NO2-03.bin.1.124_contig_107474
037-NO2-03.bin.1.124	037-NO2-03.bin.1.124_contig_18134	1	594412	648430	False	putative_wzy_dependent				037-NO2-03.bin.1.124_contig_18134
076-IN-18.bin.2.475	076-IN-18.bin.2.475_contig_284806	1	52768	91114	True	putative_wzy_dependent_NO_OPX				076-IN-18.bin.2.475_contig_284806
020-NO1-03.bin.1.65	020-NO1-03.bin.1.65_contig_32567	1	660392	690899	False	putative_wzy_dependent_NO_OPX				020-NO1-03.bin.1.65_contig_32567
087-SA-04.bin.2.88	087-SA-04.bin.2.88_contig_100745	1	220390	299975	False	putative_wzy_dependent_NO_OPX				087-SA-04.bin.2.88_contig_100745
087-SA-04.bin.2.88	087-SA-04.bin.2.88_contig_20510	1	311146	381989	False	putative_wzy_dependent				087-SA-04.bin.2.88_contig_20510
087-SA-04.bin.2.88	087-SA-04.bin.2.88_contig_40357	1	380123	429591	False	putative_wzy_dependent				087-SA-04.bin.2.88_contig_40357
087-SA-04.bin.2.88	087-SA-04.bin.2.88_contig_89865	1	390699	454447	False	putative_ABC_dependent				087-SA-04.bin.2.88_contig_89865
078-MX-10.bin.1.600	078-MX-10.bin.1.600_contig_21570	1	0	47904	True	putative_ABC_dependent_NO_OPX				078-MX-10.bin.1.600_contig_21570
037-NO2-03.bin.1.3	037-NO2-03.bin.1.3_contig_1196	1	644292	698086	False	putative_wzy_dependent_NO_OPX				037-NO2-03.bin.1.3_contig_1196
037-NO2-03.bin.1.3	037-NO2-03.bin.1.3_contig_68558	1	594356	660641	False	putative_wzy_dependent				037-NO2-03.bin.1.3_contig_68558
099-UY-16.bin.1.188	099-UY-16.bin.1.188_contig_221	1	122365	177003	False	zooglan				099-UY-16.bin.1.188_contig_221
099-UY-16.bin.1.188	099-UY-16.bin.1.188_contig_221	2	465117	526086	True	putative_wzy_dependent_NO_OPX				099-UY-16.bin.1.188_contig_221
099-UY-16.bin.1.188	099-UY-16.bin.1.188_contig_27129	1	41153	63618	False	pel				099-UY-16.bin.1.188_contig_27129
093-US1-47.bin.1.615	093-US1-47.bin.1.615_contig_32315	1	1559873	1609360	False	putative_wzy_dependent				093-US1-47.bin.1.615_contig_32315
093-US1-47.bin.1.615	093-US1-47.bin.1.615_contig_9228	1	2198093	2253414	False	zooglan				093-US1-47.bin.1.615_contig_9228
012-PT-06.bin.1.290	012-PT-06.bin.1.290_contig_115285	1	107689	147844	False	putative_wzy_dependent				012-PT-06.bin.1.290_contig_115285
012-PT-06.bin.1.290	012-PT-06.bin.1.290_contig_18692	1	92943	147191	False	putative_wzy_dependent				012-PT-06.bin.1.290_contig_18692
012-PT-06.bin.1.290	012-PT-06.bin.1.290_contig_947	1	399110	420206	False	type-1-cellulose				012-PT-06.bin.1.290_contig_947
078-MX-10.bin.1.224	078-MX-10.bin.1.224_contig_16592	1	478167	539851	False	putative_wzy_dependent_NO_OPX				078-MX-10.bin.1.224_contig_16592
078-MX-10.bin.1.224	078-MX-10.bin.1.224_contig_3410	1	0	20112	True	putative_wzy_dependent_NO_OPX				078-MX-10.bin.1.224_contig_3410
076-IN-18.bin.1.391	076-IN-18.bin.1.391_contig_18950	1	9127	38161	True	exoPS_GCF_10				076-IN-18.bin.1.391_contig_18950
076-IN-18.bin.1.391	076-IN-18.bin.1.391_contig_56066	1	189374	260787	False	putative_ABC_dependent_NO_OPX				076-IN-18.bin.1.391_contig_56066
