type,region_id,genes
Hyphomicrobium pel-like,006-MY-06.bin.1.480_006-MY-06.bin.1.480_contig_14588_region001,ctg2_1829-ctg2_1834
Assorted phyla pel-like,087-SA-04.bin.1.123_087-SA-04.bin.1.123_contig_25347_region001,ctg4_68-ctg4_73
Verrucomicrobiales pel-like,003-CA-05.bin.1.230_003-CA-05.bin.1.230_contig_28957_region001,ctg24_65-ctg24_71
