Bin_id,Contig_num,Genome_size (bp),N50 (bp),GC (%),Completeness (%),Contamination (%),Group,Estimated_genome_size (bp),Gene_number,Gene_length (bp),Average_gene_length (bp),Gene_GC (%),Coding_density (%),WD40,BGC,ARG,Cas,MGE,GTDB_taxonomy (v207)
OceanDNA-a1,83,536854,10029,32.97,69.78,0,OMD_OceanDNA,769352,629,450604,716.38,33.14,83.93,0,0,0,0,0,d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__GW2011-AR5;f__GCA-2688965;g__GCA-2688965;s__GCA-2688965 sp002688965
OceanDNA-a14,635,2163879,4521,51.29,84.51,1.17,our_OceanDNA,2530543,2428,1638247,674.73,52.63,75.71,0,0,1,0,0,d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__RBG-16-57-9;s__RBG-16-57-9 sp018652685
OceanDNA-a23,192,577119,3316,30.74,58.2,0,OceanDNA,991613,631,434783,689.04,31.18,75.34,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Geothermarchaeales;f__;g__;s__
OceanDNA-a27,155,937124,8396,31.58,91.91,0,OMD_OceanDNA,1019610,1052,795109,755.81,32.03,84.85,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__JACPRH01;g__;s__
OceanDNA-a32,94,1513062,22214,35.42,96.12,1.12,OceanDNA,1556508,1877,1341239,714.57,35.9,88.64,0,1,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__PXYB01;s__
OceanDNA-a69,274,760336,2934,34.15,73.79,1.51,OceanDNA,1014846,982,591340,602.18,34.37,77.77,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__
OceanDNA-a93,223,770757,3868,35.37,74.29,0.07,OMD_OceanDNA,1036771,1004,607131,604.71,35.83,78.77,0,1,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__
OceanDNA-a96,181,686497,4640,35.4,75,3.8,OceanDNA,880547,827,550799,666.02,35.81,80.23,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__
OceanDNA-a97,133,950273,10450,35.47,81.8,5.09,OMD_OceanDNA,1102572,1207,814410,674.74,35.92,85.7,0,1,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__
OceanDNA-a98,252,1133775,6563,35.4,92.96,3.88,OceanDNA,1172316,1408,937468,665.82,35.86,82.69,0,1,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__
OceanDNA-a113,196,715008,4020,35.78,76.63,1.94,our_OceanDNA,914964,880,565145,642.21,36.15,79.04,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__Nitrosopelagicus sp018263495
OceanDNA-a117,142,900872,9074,35.23,91.67,0.97,OceanDNA,973201,1153,771949,669.51,35.66,85.69,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__
OceanDNA-a124,302,825600,3363,33.1,69.77,0,OMD_OceanDNA,1183317,1077,621848,577.39,33.43,75.32,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__Nitrosopelagicus sp018691945
OceanDNA-a132,40,1081103,41000,34.77,98.54,0,our_OceanDNA,1097121,1351,990726,733.33,35.12,91.64,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__
