file	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_%	record_desc
Fred_18-Q3-R57-64_MAXAC.274	tig00002610-10-11133940	1	933143	970457	False	putative_wzy_dependent				tig00002610-10-11133940
Hjor_18-Q3-R7-51_BAT3C.167	tig00003097-10-3992300	1	82775	129388	False	putative_ABC_dependent_NO_OPX				tig00003097-10-3992300
Hjor_18-Q3-R7-51_BAT3C.167	tig00003545-10-3174110	1	21194	70622	False	putative_ABC_dependent_NO_OPX				tig00003545-10-3174110
Hjor_18-Q3-R7-51_BAT3C.167	tig00004016-10-3337340	1	53405	114711	False	putative_wzy_dependent_NO_OPX				tig00004016-10-3337340
EsbW_18-Q3-R4-48_BAT3C.207	tig00001176-10-9861400	1	241111	281094	False	putative_wzy_dependent				tig00001176-10-9861400
EsbW_18-Q3-R4-48_BAT3C.207	tig00251364-10-3108380	1	106708	159696	False	putative_wzy_dependent				tig00251364-10-3108380
OdNE_18-Q3-R46-58_MAXAC.230	tig00000122-2938940-21812760	1	1805268	1855674	False	putative_wzy_dependent				tig00000122-2938940-21812760
AalE_18-Q3-R2-46_BAT3C.151	tig00001796-10-5138250	1	143817	200948	False	putative_ABC_dependent_NO_OPX				tig00001796-10-5138250
Kalu_18-Q3-R12-55_MAXAC.132v2	tig00001075-10-12603900	1	404182	437685	False	putative_wzy_dependent				tig00001075-10-12603900
Kalu_18-Q3-R12-55_MAXAC.132v2	tig00001075-10-12603900	2	916578	945358	False	putative_wzy_dependent				tig00001075-10-12603900
Kalu_18-Q3-R12-55_MAXAC.132v2	tig00001930-10-7323120	1	301224	346871	False	putative_wzy_dependent				tig00001930-10-7323120
Kalu_18-Q3-R12-55_MAXAC.132v2	tig00001930-10-7323120	2	501835	543771	False	putative_wzy_dependent				tig00001930-10-7323120
Kalu_18-Q3-R12-55_MAXAC.132v2	tig00002484-10-4863410	1	448858	479143	True	putative_wzy_dependent				tig00002484-10-4863410
EsbE_18-Q3-R3-47_MAXAC.085	tig00000236-10-21381660	1	1502652	1521898	False	putative_ABC_or_wzy_dependent				tig00000236-10-21381660
