file	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_%	record_desc
C13F5_hifiasm_r63_metabat2.105	s78.ctg000156l	1	270036	322741	False	putative_wzy_dependent_NO_OPX				s78.ctg000156l
C13F5_hifiasm_r63_metabat2.105	s78.ctg000156l	2	678176	713252	False	putative_wzy_dependent_NO_OPX				s78.ctg000156l
C13F5_hifiasm_r63_metabat2.105	s78.ctg000156l	3	1250634	1272772	False	putative_wzy_dependent_NO_OPX				s78.ctg000156l
C13F5_hifiasm_r63_metabat2.105	s78.ctg000156l	4	1664354	1690989	False	putative_wzy_dependent_NO_OPX				s78.ctg000156l
C04M3_subsampled_40Gb_bin.54	c00004_NODE_42..	1	84499	101943	True	putative_wzy_dependent				NODE_422_length_112828_cov_296.118479
C04M3_subsampled_40Gb_bin.54	c00014_NODE_97..	1	0	30243	True	putative_wzy_dependent_NO_OPX				NODE_972_length_74085_cov_347.683900
C04M3_subsampled_40Gb_bin.54	c00019_NODE_13..	1	19640	59832	True	putative_wzy_dependent				NODE_1341_length_59832_cov_368.774044
C13F5_subsampled_20Gb_Hybrid_bin.1	c00002_NODE_23..	1	387726	418315	False	putative_wzy_dependent_NO_OPX				NODE_23_length_627428_cov_24.366922
C13F5_hifiasm_r63_semibin2_10	s1.ctg000072l	1	1762605	1801875	False	putative_wzy_dependent				s1.ctg000072l
C04M3_subsampled_40Gb_bin.74	c00028_NODE_18..	1	6272	47530	True	putative_wzy_dependent_NO_OPX				NODE_1812_length_48107_cov_3.471380
C13F5_hifiasm_r63_complete.36	s24.ctg000053c	1	959385	984114	False	putative_ABC_or_wzy_dependent				s24.ctg000053c
C13F5_hifiasm_r63_complete.36	s24.ctg000053c	2	1871345	1904909	False	putative_wzy_dependent				s24.ctg000053c
C04M3_subsampled_20Gb_Hybrid_bin.41	c00001_NODE_36..	1	88605	105435	False	cellulose-gram-positive-like				NODE_361_length_152838_cov_2.001781
C04M3_subsampled_40Gb_bin.44	c00295_NODE_23..	1	0	3190	True	pel-like				NODE_23464_length_3190_cov_2.195082
C13F5_subsampled_40Gb_bin.44	c00009_NODE_24..	1	5334	31446	True	putative_wzy_dependent_NO_OPX				NODE_246_length_120808_cov_30.261637
C04M3_subsampled_20Gb_Hybrid_bin.46	c00025_NODE_13..	1	11157	38026	True	putative_wzy_dependent_NO_OPX				NODE_1367_length_47894_cov_2.773177
C13F5_hifiasm_r63_semibin2_34	s4.ctg000185l	1	146038	166027	False	cellulose-gram-positive				s4.ctg000185l
