# If you find multiSMASH useful, please cite the Zenodo DOI: 10.5281/zenodo.8276143
record	total_count	PNAG-pga	PNAG-pga-like	alginate	alginate-like	alpha-glucansucrase	cellulose-gram-positive-like	cellulose-like	curdlan-like	fructansucrase	galactoglucan	generic-cellulose	lactobacillus_eps	pel	pel-like	pel-positive	psl	putative_ABC_dependent	putative_ABC_dependent_NO_OPX	putative_ABC_or_wzy_dependent	putative_wzy_dependent	putative_wzy_dependent_NO_OPX	type-1-cellulose	type-2-cellulose	type-3-cellulose	zooglan	hybrid	description
059-AT-02.bin.c.41.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	059-AT-02.bin.c.41_contig_47543 [1 total record]
073-IL-01.bin.1.315.fa	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	073-IL-01.bin.1.315_contig_101306 [9 total records]
087-SA-04.bin.1.257.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	087-SA-04.bin.1.257_contig_117327 [17 total records]
088-SA-05.bin.2.319.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	088-SA-05.bin.2.319_contig_12033 [15 total records]
018-CH-08.bin.1.223.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	018-CH-08.bin.1.223_contig_101224 [40 total records]
061-AU-11.bin.1.137.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	061-AU-11.bin.1.137_contig_1318 [6 total records]
067-CH-23.bin.1.14.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	067-CH-23.bin.1.14_contig_124356 [7 total records]
054-AR-04.bin.2.262.fa	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	054-AR-04.bin.2.262_contig_11018 [12 total records]
096-US2-26.bin.1.660.fa	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	096-US2-26.bin.1.660_contig_12868 [10 total records]
011-CY-01.bin.1.75.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	011-CY-01.bin.1.75_contig_12086 [25 total records]
087-SA-04.bin.1.227.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	087-SA-04.bin.1.227_contig_5311 [3 total records]
035-MX-06.bin.1.18.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	035-MX-06.bin.1.18_contig_17583 [3 total records]
038-SE-10.bin.1.153.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	038-SE-10.bin.1.153_contig_106783 [5 total records]
088-SA-05.bin.2.137.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	088-SA-05.bin.2.137_contig_13456 [5 total records]
060-AU-05.bin.1.581.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	060-AU-05.bin.1.581_contig_109833 [12 total records]
008-AR-23.bin.1.619.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	008-AR-23.bin.1.619_contig_119859 [3 total records]
096-US2-26.bin.1.408.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	096-US2-26.bin.1.408_contig_17050 [7 total records]
092-US1-44.bin.1.49.fa	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	092-US1-44.bin.1.49_contig_10237 [3 total records]
082-NL-09.bin.1.194.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	082-NL-09.bin.1.194_contig_1742 [1 total record]
075-IN-06.bin.1.172.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	075-IN-06.bin.1.172_contig_18014 [9 total records]
020-NO1-03.bin.2.252.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	020-NO1-03.bin.2.252_contig_100411 [26 total records]
087-SA-04.bin.1.757.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	087-SA-04.bin.1.757_contig_11066 [23 total records]
097-US2-29.bin.c.27.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	097-US2-29.bin.c.27_contig_968 [1 total record]
014-ES-23.bin.1.305.fa	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	014-ES-23.bin.1.305_contig_11696 [28 total records]
033-IN-11.bin.1.320.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	033-IN-11.bin.1.320_contig_153421 [9 total records]
002-MX-07.bin.1.147.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	002-MX-07.bin.1.147_contig_16649 [3 total records]
087-SA-04.bin.c.23.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	087-SA-04.bin.c.23_contig_3919 [1 total record]
037-NO2-03.bin.1.218.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	037-NO2-03.bin.1.218_contig_11009 [6 total records]
028-AU-34.bin.1.387.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	028-AU-34.bin.1.387_contig_10596 [7 total records]
007-SA-08.bin.1.124.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	007-SA-08.bin.1.124_contig_7182 [1 total record]
037-NO2-03.bin.1.356.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	037-NO2-03.bin.1.356_contig_13154 [1 total record]
063-AU-32.bin.2.418.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	063-AU-32.bin.2.418_contig_123468 [11 total records]
011-CY-01.bin.1.196.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	011-CY-01.bin.1.196_contig_1693 [4 total records]
021-CZ-11.bin.1.314.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	021-CZ-11.bin.1.314_contig_123346 [1 total record]
034-IT-09.bin.1.474.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	034-IT-09.bin.1.474_contig_102227 [9 total records]
008-AR-23.bin.1.89.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	008-AR-23.bin.1.89_contig_14959 [1 total record]
086-SA-02.bin.2.39.fa	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	086-SA-02.bin.2.39_contig_1392 [1 total record]
018-CH-08.bin.1.688.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	018-CH-08.bin.1.688_contig_79321 [2 total records]
096-US2-26.bin.c.62.fa	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	096-US2-26.bin.c.62_contig_5175 [1 total record]
020-NO1-03.bin.c.6.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	020-NO1-03.bin.c.6_contig_31823 [1 total record]
045-US1-87.bin.1.142.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	045-US1-87.bin.1.142_contig_138737 [15 total records]
090-US1-124.bin.1.93.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	090-US1-124.bin.1.93_contig_443 [2 total records]
096-US2-26.bin.c.38.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	096-US2-26.bin.c.38_contig_6290 [1 total record]
040-UK-14.bin.1.460.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	040-UK-14.bin.1.460_contig_104424 [19 total records]
077-MX-09.bin.1.87.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	077-MX-09.bin.1.87_contig_114307 [22 total records]
087-SA-04.bin.1.846.fa	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	087-SA-04.bin.1.846_contig_1277 [11 total records]
006-MY-06.bin.1.882.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	006-MY-06.bin.1.882_contig_216701 [11 total records]
043-US1-27.bin.1.104.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	043-US1-27.bin.1.104_contig_198468 [4 total records]
092-US1-44.bin.c.23.fa	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	092-US1-44.bin.c.23_contig_1944 [1 total record]
031-CZ-17.bin.1.176.fa	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	031-CZ-17.bin.1.176_contig_13641 [9 total records]
073-IL-01.bin.1.248.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	073-IL-01.bin.1.248_contig_12608 [8 total records]
